Date,Value
11/29/2019,23.22
1/1/2019,19.6
1/1/2018,24.97
1/1/2017,23.59
1/1/2016,22.18
1/1/2015,20.02
1/1/2014,18.15
1/1/2013,17.03
1/1/2012,14.87
1/1/2011,16.3
1/1/2010,20.7
1/1/2009,70.91
1/1/2008,21.46
1/1/2007,17.36
1/1/2006,18.07
1/1/2005,19.99
1/1/2004,22.73
1/1/2003,31.43
1/1/2002,46.17
1/1/2001,27.55
1/1/2000,29.04
1/1/1999,32.92
1/1/1998,24.29
1/1/1997,19.53
1/1/1996,18.08
1/1/1995,14.89
1/1/1994,21.34
1/1/1993,22.5
1/1/1992,25.93
1/1/1991,15.35
1/1/1990,15.13
1/1/1989,11.82
1/1/1988,14.02
1/1/1987,18.01
1/1/1986,14.28
1/1/1985,10.36
1/1/1984,11.52
1/1/1983,11.48
1/1/1982,7.73
1/1/1981,9.02
1/1/1980,7.39
1/1/1979,7.88
1/1/1978,8.28
1/1/1977,10.41
1/1/1976,11.82
1/1/1975,8.3
1/1/1974,11.68
1/1/1973,18.09
1/1/1972,18.01
1/1/1971,18.12
1/1/1970,15.76
1/1/1969,17.65
1/1/1968,17.71
1/1/1967,15.31
1/1/1966,17.81
1/1/1965,18.75
1/1/1964,18.77
1/1/1963,17.66
1/1/1962,21.25
1/1/1961,18.6
1/1/1960,17.12
1/1/1959,18.77
1/1/1958,12.49
1/1/1957,13.34
1/1/1956,12.12
1/1/1955,12.56
1/1/1954,10.09
1/1/1953,10.86
1/1/1952,9.97
1/1/1951,7.48
1/1/1950,7.22
1/1/1949,6.62
1/1/1948,9.02
1/1/1947,13.46
1/1/1946,19.17
1/1/1945,14.35
1/1/1944,12.65
1/1/1943,9.67
1/1/1942,7.97
1/1/1941,10.02
1/1/1940,13.23
1/1/1939,18.84
1/1/1938,10.5
1/1/1937,16.75
1/1/1936,17.87
1/1/1935,16.25
1/1/1934,23.73
1/1/1933,17.19
1/1/1932,13.99
1/1/1931,17
1/1/1930,13.94
1/1/1929,17.77
1/1/1928,15.47
1/1/1927,10.9
1/1/1926,10.13
1/1/1925,11.06
1/1/1924,9.05
1/1/1923,12.46
1/1/1922,22.58
1/1/1921,9.39
1/1/1920,9.61
1/1/1919,7.97
1/1/1918,5.74
1/1/1917,6.34
1/1/1916,9.99
1/1/1915,13.6
1/1/1914,13.48
1/1/1913,13.4
1/1/1912,15.22
1/1/1911,12.91
1/1/1910,13.31
1/1/1909,15.23
1/1/1908,10.49
1/1/1907,12.72
1/1/1906,14.57
1/1/1905,16.69
1/1/1904,12.68
1/1/1903,13.61
1/1/1902,15.9
1/1/1901,14.68
1/1/1900,12.71
