Date,Value
"Dec 13, 2019",1.61%
"Dec 1, 2019",1.60%
"Nov 1, 2019",1.61%
"Oct 1, 2019",1.55%
"Sep 1, 2019",1.65%
"Aug 1, 2019",1.57%
"Jul 1, 2019",1.84%
"Jun 1, 2019",1.81%
"May 1, 2019",2.21%
"Apr 1, 2019",2.34%
"Mar 1, 2019",2.41%
"Feb 1, 2019",2.50%
"Jan 1, 2019",2.54%
"Dec 1, 2018",2.68%
"Nov 1, 2018",2.86%
"Oct 1, 2018",2.86%
"Sep 1, 2018",2.77%
"Aug 1, 2018",2.64%
"Jul 1, 2018",2.61%
"Jun 1, 2018",2.53%
"May 1, 2018",2.51%
"Apr 1, 2018",2.38%
"Mar 1, 2018",2.28%
"Feb 1, 2018",2.18%
"Jan 1, 2018",2.03%
"Dec 1, 2017",1.84%
"Nov 1, 2017",1.70%
"Oct 1, 2017",1.55%
"Sep 1, 2017",1.38%
"Aug 1, 2017",1.34%
"Jul 1, 2017",1.37%
"Jun 1, 2017",1.34%
"May 1, 2017",1.30%
"Apr 1, 2017",1.18%
"Mar 1, 2017",1.31%
"Feb 1, 2017",1.20%
"Jan 1, 2017",1.21%
"Dec 1, 2016",1.20%
"Nov 1, 2016",0.98%
"Oct 1, 2016",0.84%
"Sep 1, 2016",0.77%
"Aug 1, 2016",0.74%
"Jul 1, 2016",0.67%
"Jun 1, 2016",0.73%
"May 1, 2016",0.82%
"Apr 1, 2016",0.77%
"Mar 1, 2016",0.88%
"Feb 1, 2016",0.73%
"Jan 1, 2016",0.90%
"Dec 1, 2015",0.98%
"Nov 1, 2015",0.88%
"Oct 1, 2015",0.64%
"Sep 1, 2015",0.71%
"Aug 1, 2015",0.70%
"Jul 1, 2015",0.67%
"Jun 1, 2015",0.69%
"May 1, 2015",0.61%
"Apr 1, 2015",0.54%
"Mar 1, 2015",0.64%
"Feb 1, 2015",0.62%
"Jan 1, 2015",0.55%
"Dec 1, 2014",0.64%
"Nov 1, 2014",0.53%
"Oct 1, 2014",0.45%
"Sep 1, 2014",0.57%
"Aug 1, 2014",0.47%
"Jul 1, 2014",0.51%
"Jun 1, 2014",0.45%
"May 1, 2014",0.39%
"Apr 1, 2014",0.42%
"Mar 1, 2014",0.40%
"Feb 1, 2014",0.33%
"Jan 1, 2014",0.39%
"Dec 1, 2013",0.34%
"Nov 1, 2013",0.30%
"Oct 1, 2013",0.34%
"Sep 1, 2013",0.40%
"Aug 1, 2013",0.36%
"Jul 1, 2013",0.34%
"Jun 1, 2013",0.33%
"May 1, 2013",0.25%
"Apr 1, 2013",0.23%
"Mar 1, 2013",0.26%
"Feb 1, 2013",0.27%
"Jan 1, 2013",0.27%
"Dec 1, 2012",0.26%
"Nov 1, 2012",0.27%
"Oct 1, 2012",0.28%
"Sep 1, 2012",0.26%
"Aug 1, 2012",0.27%
"Jul 1, 2012",0.25%
"Jun 1, 2012",0.29%
"May 1, 2012",0.28%
"Apr 1, 2012",0.29%
"Mar 1, 2012",0.34%
"Feb 1, 2012",0.28%
"Jan 1, 2012",0.24%
"Dec 1, 2011",0.26%
"Nov 1, 2011",0.25%
"Oct 1, 2011",0.28%
"Sep 1, 2011",0.21%
"Aug 1, 2011",0.23%
"Jul 1, 2011",0.41%
"Jun 1, 2011",0.41%
"May 1, 2011",0.56%
"Apr 1, 2011",0.73%
"Mar 1, 2011",0.70%
"Feb 1, 2011",0.77%
"Jan 1, 2011",0.61%
"Dec 1, 2010",0.62%
"Nov 1, 2010",0.45%
"Oct 1, 2010",0.38%
"Sep 1, 2010",0.48%
"Aug 1, 2010",0.52%
"Jul 1, 2010",0.62%
"Jun 1, 2010",0.72%
"May 1, 2010",0.83%
"Apr 1, 2010",1.06%
"Mar 1, 2010",0.96%
"Feb 1, 2010",0.86%
"Jan 1, 2010",0.93%
"Dec 1, 2009",0.87%
"Nov 1, 2009",0.80%
"Oct 1, 2009",0.95%
"Sep 1, 2009",0.96%
"Aug 1, 2009",1.12%
"Jul 1, 2009",1.02%
"Jun 1, 2009",1.18%
"May 1, 2009",0.93%
"Apr 1, 2009",0.93%
"Mar 1, 2009",0.93%
"Feb 1, 2009",0.98%
"Jan 1, 2009",0.81%
"Dec 1, 2008",0.82%
