Date,Value
"Dec 13, 2019",0.32%
"Dec 1, 2019",0.33%
"Nov 1, 2019",0.37%
"Oct 1, 2019",0.36%
"Sep 1, 2019",0.32%
"Aug 1, 2019",0.25%
"Jul 1, 2019",0.54%
"Jun 1, 2019",0.59%
"May 1, 2019",0.75%
"Apr 1, 2019",0.79%
"Mar 1, 2019",0.85%
"Feb 1, 2019",0.96%
"Jan 1, 2019",1.07%
"Dec 1, 2018",1.11%
"Nov 1, 2018",1.21%
"Oct 1, 2018",1.14%
"Sep 1, 2018",0.94%
"Aug 1, 2018",0.86%
"Jul 1, 2018",0.84%
"Jun 1, 2018",0.88%
"May 1, 2018",0.92%
"Apr 1, 2018",0.85%
"Mar 1, 2018",0.89%
"Feb 1, 2018",0.89%
"Jan 1, 2018",0.69%
"Dec 1, 2017",0.68%
"Nov 1, 2017",0.72%
"Oct 1, 2017",0.77%
"Sep 1, 2017",0.67%
"Aug 1, 2017",0.74%
"Jul 1, 2017",0.84%
"Jun 1, 2017",0.75%
"May 1, 2017",0.80%
"Apr 1, 2017",0.72%
"Mar 1, 2017",0.79%
"Feb 1, 2017",0.73%
"Jan 1, 2017",0.74%
"Dec 1, 2016",0.89%
"Nov 1, 2016",0.69%
"Oct 1, 2016",0.49%
"Sep 1, 2016",0.47%
"Aug 1, 2016",0.43%
"Jul 1, 2016",0.42%
"Jun 1, 2016",0.62%
"May 1, 2016",0.64%
"Apr 1, 2016",0.60%
"Mar 1, 2016",0.73%
"Feb 1, 2016",0.85%
"Jan 1, 2016",1.05%
"Dec 1, 2015",1.06%
"Nov 1, 2015",1.03%
"Oct 1, 2015",0.98%
"Sep 1, 2015",1.01%
"Aug 1, 2015",0.87%
"Jul 1, 2015",0.87%
"Jun 1, 2015",0.89%
"May 1, 2015",0.70%
"Apr 1, 2015",0.42%
"Mar 1, 2015",0.55%
"Feb 1, 2015",0.52%
"Jan 1, 2015",0.50%
"Dec 1, 2014",0.73%
"Nov 1, 2014",0.77%
"Oct 1, 2014",0.74%
"Sep 1, 2014",0.81%
"Aug 1, 2014",0.64%
"Jul 1, 2014",0.72%
"Jun 1, 2014",0.84%
"May 1, 2014",0.82%
"Apr 1, 2014",0.98%
"Mar 1, 2014",1.05%
"Feb 1, 2014",1.12%
"Jan 1, 2014",1.17%
"Dec 1, 2013",1.32%
"Nov 1, 2013",1.20%
"Oct 1, 2013",1.05%
"Sep 1, 2013",1.22%
"Aug 1, 2013",1.16%
"Jul 1, 2013",1.09%
"Jun 1, 2013",0.98%
"May 1, 2013",0.35%
"Apr 1, 2013",0.07%
"Mar 1, 2013",0.19%
"Feb 1, 2013",0.19%
"Jan 1, 2013",0.20%
"Dec 1, 2012",0.00%
"Nov 1, 2012",-0.06%
"Oct 1, 2012",-0.01%
"Sep 1, 2012",0.02%
"Aug 1, 2012",0.06%
"Jul 1, 2012",-0.01%
"Jun 1, 2012",0.10%
"May 1, 2012",0.44%
"Apr 1, 2012",0.50%
"Mar 1, 2012",0.56%
"Feb 1, 2012",0.45%
"Jan 1, 2012",0.51%
"Dec 1, 2011",0.56%
"Nov 1, 2011",0.55%
"Oct 1, 2011",0.72%
"Sep 1, 2011",0.69%
"Aug 1, 2011",0.81%
"Jul 1, 2011",1.36%
"Jun 1, 2011",1.53%
"May 1, 2011",1.47%
"Apr 1, 2011",1.48%
"Mar 1, 2011",1.58%
