Date,Value
"Dec 13, 2019",1.57%
"Dec 1, 2019",1.56%
"Nov 1, 2019",1.57%
"Oct 1, 2019",1.68%
"Sep 1, 2019",1.93%
"Aug 1, 2019",1.99%
"Jul 1, 2019",2.14%
"Jun 1, 2019",2.22%
"May 1, 2019",2.40%
"Apr 1, 2019",2.43%
"Mar 1, 2019",2.45%
"Feb 1, 2019",2.44%
"Jan 1, 2019",2.42%
"Dec 1, 2018",2.41%
"Nov 1, 2018",2.37%
"Oct 1, 2018",2.29%
"Sep 1, 2018",2.17%
"Aug 1, 2018",2.07%
"Jul 1, 2018",1.99%
"Jun 1, 2018",1.94%
"May 1, 2018",1.90%
"Apr 1, 2018",1.79%
"Mar 1, 2018",1.73%
"Feb 1, 2018",1.59%
"Jan 1, 2018",1.43%
"Dec 1, 2017",1.34%
"Nov 1, 2017",1.25%
"Oct 1, 2017",1.09%
"Sep 1, 2017",1.05%
"Aug 1, 2017",1.03%
"Jul 1, 2017",1.09%
"Jun 1, 2017",1.00%
"May 1, 2017",0.90%
"Apr 1, 2017",0.77%
"Mar 1, 2017",0.75%
"Feb 1, 2017",0.53%
"Jan 1, 2017",0.52%
"Dec 1, 2016",0.51%
"Nov 1, 2016",0.45%
"Oct 1, 2016",0.33%
"Sep 1, 2016",0.29%
"Aug 1, 2016",0.30%
"Jul 1, 2016",0.30%
"Jun 1, 2016",0.27%
"May 1, 2016",0.28%
"Apr 1, 2016",0.23%
"Mar 1, 2016",0.30%
"Feb 1, 2016",0.31%
"Jan 1, 2016",0.26%
"Dec 1, 2015",0.23%
"Nov 1, 2015",0.13%
"Oct 1, 2015",0.02%
"Sep 1, 2015",0.02%
"Aug 1, 2015",0.07%
"Jul 1, 2015",0.03%
"Jun 1, 2015",0.01%
"May 1, 2015",0.02%
"Apr 1, 2015",0.02%
"Mar 1, 2015",0.03%
"Feb 1, 2015",0.02%
"Jan 1, 2015",0.03%
"Dec 1, 2014",0.03%
"Nov 1, 2014",0.02%
"Oct 1, 2014",0.02%
"Sep 1, 2014",0.02%
"Aug 1, 2014",0.03%
"Jul 1, 2014",0.03%
"Jun 1, 2014",0.04%
"May 1, 2014",0.03%
"Apr 1, 2014",0.03%
"Mar 1, 2014",0.05%
"Feb 1, 2014",0.05%
"Jan 1, 2014",0.04%
"Dec 1, 2013",0.07%
"Nov 1, 2013",0.07%
"Oct 1, 2013",0.05%
"Sep 1, 2013",0.02%
"Aug 1, 2013",0.04%
"Jul 1, 2013",0.04%
"Jun 1, 2013",0.05%
"May 1, 2013",0.04%
"Apr 1, 2013",0.06%
"Mar 1, 2013",0.09%
"Feb 1, 2013",0.10%
"Jan 1, 2013",0.07%
"Dec 1, 2012",0.07%
"Nov 1, 2012",0.09%
"Oct 1, 2012",0.10%
"Sep 1, 2012",0.11%
"Aug 1, 2012",0.10%
"Jul 1, 2012",0.10%
"Jun 1, 2012",0.09%
"May 1, 2012",0.09%
"Apr 1, 2012",0.08%
"Mar 1, 2012",0.08%
"Feb 1, 2012",0.09%
"Jan 1, 2012",0.03%
"Dec 1, 2011",0.01%
"Nov 1, 2011",0.01%
"Oct 1, 2011",0.02%
"Sep 1, 2011",0.01%
"Aug 1, 2011",0.02%
"Jul 1, 2011",0.04%
"Jun 1, 2011",0.04%
"May 1, 2011",0.04%
"Apr 1, 2011",0.06%
"Mar 1, 2011",0.10%
"Feb 1, 2011",0.13%
"Jan 1, 2011",0.15%
"Dec 1, 2010",0.14%
"Nov 1, 2010",0.14%
"Oct 1, 2010",0.13%
"Sep 1, 2010",0.15%
"Aug 1, 2010",0.16%
"Jul 1, 2010",0.16%
"Jun 1, 2010",0.12%
"May 1, 2010",0.16%
"Apr 1, 2010",0.16%
"Mar 1, 2010",0.15%
"Feb 1, 2010",0.11%
"Jan 1, 2010",0.06%
"Dec 1, 2009",0.05%
"Nov 1, 2009",0.05%
"Oct 1, 2009",0.07%
"Sep 1, 2009",0.12%
"Aug 1, 2009",0.17%
"Jul 1, 2009",0.18%
"Jun 1, 2009",0.18%
"May 1, 2009",0.18%
"Apr 1, 2009",0.16%
"Mar 1, 2009",0.22%
"Feb 1, 2009",0.30%
"Jan 1, 2009",0.13%
"Dec 1, 2008",0.04%
"Nov 1, 2008",0.19%
"Oct 1, 2008",0.69%
"Sep 1, 2008",1.15%
"Aug 1, 2008",1.75%
"Jul 1, 2008",1.65%
"Jun 1, 2008",1.89%
"May 1, 2008",1.76%
"Apr 1, 2008",1.31%
"Mar 1, 2008",1.28%
"Feb 1, 2008",2.17%
"Jan 1, 2008",2.82%
"Dec 1, 2007",3.07%
"Nov 1, 2007",3.35%
"Oct 1, 2007",4.00%
"Sep 1, 2007",3.99%
"Aug 1, 2007",4.32%
"Jul 1, 2007",4.96%
"Jun 1, 2007",4.74%
"May 1, 2007",4.87%
"Apr 1, 2007",5.01%
"Mar 1, 2007",5.08%
"Feb 1, 2007",5.16%
"Jan 1, 2007",5.11%
"Dec 1, 2006",4.97%
"Nov 1, 2006",5.07%
"Oct 1, 2006",5.05%
"Sep 1, 2006",4.93%
"Aug 1, 2006",5.09%
"Jul 1, 2006",5.08%
"Jun 1, 2006",4.92%
"May 1, 2006",4.84%
"Apr 1, 2006",4.72%
"Mar 1, 2006",4.63%
"Feb 1, 2006",4.54%
"Jan 1, 2006",4.34%
"Dec 1, 2005",3.97%
"Nov 1, 2005",3.97%
"Oct 1, 2005",3.79%
"Sep 1, 2005",3.49%
"Aug 1, 2005",3.52%
"Jul 1, 2005",3.29%
"Jun 1, 2005",3.04%
"May 1, 2005",2.90%
"Apr 1, 2005",2.84%
"Mar 1, 2005",2.80%
"Feb 1, 2005",2.58%
"Jan 1, 2005",2.37%
"Dec 1, 2004",2.22%
"Nov 1, 2004",2.11%
"Oct 1, 2004",1.79%
"Sep 1, 2004",1.68%
"Aug 1, 2004",1.50%
"Jul 1, 2004",1.36%
"Jun 1, 2004",1.29%
"May 1, 2004",1.04%
"Apr 1, 2004",0.96%
"Mar 1, 2004",0.95%
"Feb 1, 2004",0.94%
"Jan 1, 2004",0.90%
"Dec 1, 2003",0.91%
"Nov 1, 2003",0.95%
"Oct 1, 2003",0.94%
"Sep 1, 2003",0.96%
"Aug 1, 2003",0.97%
"Jul 1, 2003",0.92%
"Jun 1, 2003",0.94%
"May 1, 2003",1.09%
"Apr 1, 2003",1.15%
"Mar 1, 2003",1.15%
"Feb 1, 2003",1.19%
