Date,Value
"Oct 1, 2017",203.99
"Sep 1, 2017",203.53
"Aug 1, 2017",204.04
"Jul 1, 2017",203.74
"Jun 1, 2017",202.27
"May 1, 2017",200.62
"Apr 1, 2017",198.68
"Mar 1, 2017",197.11
"Feb 1, 2017",195.66
"Jan 1, 2017",195.87
"Dec 1, 2016",196.76
"Nov 1, 2016",196.61
"Oct 1, 2016",196.06
"Sep 1, 2016",196.20
"Aug 1, 2016",196.34
"Jul 1, 2016",195.82
"Jun 1, 2016",194.30
"May 1, 2016",193.24
"Apr 1, 2016",192.02
"Mar 1, 2016",190.89
"Feb 1, 2016",190.29
"Jan 1, 2016",190.18
"Dec 1, 2015",190.56
"Nov 1, 2015",189.93
"Oct 1, 2015",189.41
"Sep 1, 2015",189.32
"Aug 1, 2015",188.89
"Jul 1, 2015",188.14
"Jun 1, 2015",187.03
"May 1, 2015",185.96
"Apr 1, 2015",184.85
"Mar 1, 2015",183.18
"Feb 1, 2015",182.67
"Jan 1, 2015",183.03
"Dec 1, 2014",182.40
"Nov 1, 2014",181.58
"Oct 1, 2014",180.87
"Sep 1, 2014",180.77
"Aug 1, 2014",181.12
"Jul 1, 2014",180.47
"Jun 1, 2014",179.41
"May 1, 2014",178.10
"Apr 1, 2014",176.87
"Mar 1, 2014",175.51
"Feb 1, 2014",175.21
"Jan 1, 2014",175.29
"Dec 1, 2013",175.85
"Nov 1, 2013",175.92
"Oct 1, 2013",175.76
"Sep 1, 2013",175.43
"Aug 1, 2013",175.32
"Jul 1, 2013",174.31
"Jun 1, 2013",172.34
"May 1, 2013",169.92
"Apr 1, 2013",167.02
"Mar 1, 2013",163.53
"Feb 1, 2013",160.84
"Jan 1, 2013",161.21
"Dec 1, 2012",161.19
"Nov 1, 2012",160.86
"Oct 1, 2012",160.10
"Sep 1, 2012",160.47
"Aug 1, 2012",161.57
"Jul 1, 2012",162.00
"Jun 1, 2012",160.49
"May 1, 2012",157.88
"Apr 1, 2012",154.82
"Mar 1, 2012",152.36
"Feb 1, 2012",151.39
"Jan 1, 2012",152.24
"Dec 1, 2011",154.05
"Nov 1, 2011",155.36
"Oct 1, 2011",157.22
"Sep 1, 2011",158.89
"Aug 1, 2011",160.96
"Jul 1, 2011",162.04
"Jun 1, 2011",161.73
"May 1, 2011",160.13
"Apr 1, 2011",159.14
"Mar 1, 2011",158.59
"Feb 1, 2011",160.08
"Jan 1, 2011",162.39
"Dec 1, 2010",165.03
"Nov 1, 2010",166.71
"Oct 1, 2010",168.31
"Sep 1, 2010",170.25
"Aug 1, 2010",172.48
"Jul 1, 2010",174.07
"Jun 1, 2010",174.28
"May 1, 2010",173.32
"Apr 1, 2010",171.53
"Mar 1, 2010",169.71
"Feb 1, 2010",169.77
"Jan 1, 2010",172.12
"Dec 1, 2009",174.70
"Nov 1, 2009",175.91
"Oct 1, 2009",176.80
"Sep 1, 2009",178.21
"Aug 1, 2009",179.56
"Jul 1, 2009",180.06
"Jun 1, 2009",178.64
"May 1, 2009",178.23
"Apr 1, 2009",177.26
"Mar 1, 2009",177.18
"Feb 1, 2009",178.95
"Jan 1, 2009",181.96
"Dec 1, 2008",186.65
"Nov 1, 2008",188.98
"Oct 1, 2008",189.05
"Sep 1, 2008",190.37
"Aug 1, 2008",192.89
"Jul 1, 2008",193.79
"Jun 1, 2008",195.77
"May 1, 2008",198.32
"Apr 1, 2008",200.34
"Mar 1, 2008",202.27
"Feb 1, 2008",205.59
"Jan 1, 2008",208.48
"Dec 1, 2007",212.28
"Nov 1, 2007",214.38
"Oct 1, 2007",218.56
"Sep 1, 2007",220.99
"Aug 1, 2007",222.98
"Jul 1, 2007",223.50
"Jun 1, 2007",224.12
"May 1, 2007",224.98
"Apr 1, 2007",226.66
"Mar 1, 2007",228.21
"Feb 1, 2007",230.64
"Jan 1, 2007",232.19
"Dec 1, 2006",233.55
"Nov 1, 2006",234.41
"Oct 1, 2006",234.60
"Sep 1, 2006",233.52
"Aug 1, 2006",232.62
"Jul 1, 2006",233.35
"Jun 1, 2006",233.95
"May 1, 2006",234.19
"Apr 1, 2006",234.42
"Mar 1, 2006",235.26
"Feb 1, 2006",234.96
"Jan 1, 2006",234.55
"Dec 1, 2005",235.39
"Nov 1, 2005",233.88
"Oct 1, 2005",230.80
"Sep 1, 2005",229.79
"Aug 1, 2005",230.39
"Jul 1, 2005",229.17
"Jun 1, 2005",227.47
"May 1, 2005",224.32
"Apr 1, 2005",220.73
"Mar 1, 2005",218.99
"Feb 1, 2005",217.15
"Jan 1, 2005",215.99
"Dec 1, 2004",214.46
"Nov 1, 2004",212.10
"Oct 1, 2004",210.59
"Sep 1, 2004",210.09
"Aug 1, 2004",208.77
"Jul 1, 2004",206.88
"Jun 1, 2004",204.09
"May 1, 2004",201.77
"Apr 1, 2004",199.99
"Mar 1, 2004",197.76
"Feb 1, 2004",196.21
"Jan 1, 2004",195.42
"Dec 1, 2003",194.87
"Nov 1, 2003",193.46
"Oct 1, 2003",191.84
"Sep 1, 2003",190.38
"Aug 1, 2003",189.44
"Jul 1, 2003",188.33
"Jun 1, 2003",186.54
"May 1, 2003",184.80
"Apr 1, 2003",182.61
"Mar 1, 2003",180.56
"Feb 1, 2003",180.27
"Jan 1, 2003",180.70
"Dec 1, 2002",180.78
"Nov 1, 2002",179.66
"Oct 1, 2002",178.94
"Sep 1, 2002",178.33
"Aug 1, 2002",177.54
"Jul 1, 2002",176.65
"Jun 1, 2002",174.90
"May 1, 2002",172.79
"Apr 1, 2002",170.53
"Mar 1, 2002",169.65
"Feb 1, 2002",169.14
"Jan 1, 2002",169.11
"Dec 1, 2001",168.94
"Nov 1, 2001",167.95
"Oct 1, 2001",167.44
"Sep 1, 2001",166.57
"Aug 1, 2001",166.63
"Jul 1, 2001",165.53
"Jun 1, 2001",163.67
"May 1, 2001",162.40
"Apr 1, 2001",161.75
"Mar 1, 2001",161.16
"Feb 1, 2001",160.41
"Jan 1, 2001",160.44
"Dec 1, 2000",160.81
"Nov 1, 2000",159.98
"Oct 1, 2000",159.25
"Sep 1, 2000",158.65
"Aug 1, 2000",158.55
"Jul 1, 2000",157.36
"Jun 1, 2000",156.44
"May 1, 2000",155.52
"Apr 1, 2000",153.96
"Mar 1, 2000",152.45
"Feb 1, 2000",152.34
"Jan 1, 2000",152.37
"Dec 1, 1999",152.19
"Nov 1, 1999",151.59
"Oct 1, 1999",151.19
"Sep 1, 1999",150.80
"Aug 1, 1999",150.74
"Jul 1, 1999",150.02
"Jun 1, 1999",149.19
"May 1, 1999",147.64
"Apr 1, 1999",146.20
"Mar 1, 1999",145.97
"Feb 1, 1999",145.43
"Jan 1, 1999",145.18
"Dec 1, 1998",145.11
"Nov 1, 1998",144.65
"Oct 1, 1998",144.33
"Sep 1, 1998",144.29
"Aug 1, 1998",143.94
"Jul 1, 1998",143.25
"Jun 1, 1998",142.38
"May 1, 1998",141.26
"Apr 1, 1998",140.22
"Mar 1, 1998",139.40
"Feb 1, 1998",138.87
"Jan 1, 1998",138.79
"Dec 1, 1997",138.54
"Nov 1, 1997",138.03
"Oct 1, 1997",137.58
"Sep 1, 1997",137.76
"Aug 1, 1997",137.85
"Jul 1, 1997",137.63
"Jun 1, 1997",137.08
"May 1, 1997",136.40
"Apr 1, 1997",135.43
"Mar 1, 1997",134.94
"Feb 1, 1997",134.76
"Jan 1, 1997",135.09
"Dec 1, 1996",135.45
"Nov 1, 1996",135.56
"Oct 1, 1996",135.93
"Sep 1, 1996",136.48
"Aug 1, 1996",136.83
"Jul 1, 1996",136.71
"Jun 1, 1996",136.37
"May 1, 1996",135.72
"Apr 1, 1996",135.19
"Mar 1, 1996",134.95
"Feb 1, 1996",135.20
"Jan 1, 1996",135.68
"Dec 1, 1995",136.63
"Nov 1, 1995",136.73
"Oct 1, 1995",136.80
"Sep 1, 1995",137.27
"Aug 1, 1995",137.39
"Jul 1, 1995",137.34
"Jun 1, 1995",136.77
"May 1, 1995",136.39
"Apr 1, 1995",136.12
"Mar 1, 1995",136.08
"Feb 1, 1995",136.38
"Jan 1, 1995",136.97
"Dec 1, 1994",137.61
"Nov 1, 1994",137.76
"Oct 1, 1994",138.17
"Sep 1, 1994",138.33
"Aug 1, 1994",138.67
"Jul 1, 1994",138.80
"Jun 1, 1994",138.53
"May 1, 1994",138.14
"Apr 1, 1994",137.35
"Mar 1, 1994",136.92
"Feb 1, 1994",137.12
"Jan 1, 1994",137.59
"Dec 1, 1993",137.81
"Nov 1, 1993",137.92
"Oct 1, 1993",138.01
"Sep 1, 1993",138.62
"Aug 1, 1993",138.78
"Jul 1, 1993",138.74
"Jun 1, 1993",138.08
"May 1, 1993",137.40
"Apr 1, 1993",136.95
"Mar 1, 1993",136.83
"Feb 1, 1993",137.20
"Jan 1, 1993",137.80
"Dec 1, 1992",138.61
"Nov 1, 1992",138.73
"Oct 1, 1992",138.94
"Sep 1, 1992",139.49
"Aug 1, 1992",140.07
"Jul 1, 1992",140.43
"Jun 1, 1992",140.53
"May 1, 1992",140.66
"Apr 1, 1992",140.28
"Mar 1, 1992",139.98
"Feb 1, 1992",140.39
"Jan 1, 1992",140.99
"Dec 1, 1991",141.44
"Nov 1, 1991",141.93
