Date,Value
"Dec 31, 2016",11.20 trillion USD
"Dec 31, 2015",11.06 trillion USD
"Dec 31, 2014",10.48 trillion USD
"Dec 31, 2013",9.61 trillion USD
"Dec 31, 2012",8.56 trillion USD
"Dec 31, 2011",7.57 trillion USD
"Dec 31, 2010",6.10 trillion USD
"Dec 31, 2009",5.11 trillion USD
"Dec 31, 2008",4.60 trillion USD
"Dec 31, 2007",3.55 trillion USD
"Dec 31, 2006",2.75 trillion USD
"Dec 31, 2005",2.29 trillion USD
"Dec 31, 2004",1.96 trillion USD
"Dec 31, 2003",1.66 trillion USD
"Dec 31, 2002",1.47 trillion USD
"Dec 31, 2001",1.34 trillion USD
"Dec 31, 2000",1.21 trillion USD
"Dec 31, 1999",1.09 trillion USD
"Dec 31, 1998",1.03 trillion USD
"Dec 31, 1997",0.96 trillion USD
"Dec 31, 1996",0.86 trillion USD
"Dec 31, 1995",0.73 trillion USD
"Dec 31, 1994",0.56 trillion USD
"Dec 31, 1993",0.44 trillion USD
"Dec 31, 1992",0.43 trillion USD
"Dec 31, 1991",0.38 trillion USD
"Dec 31, 1990",0.36 trillion USD
"Dec 31, 1989",0.35 trillion USD
"Dec 31, 1988",0.31 trillion USD
"Dec 31, 1987",0.27 trillion USD
"Dec 31, 1986",0.30 trillion USD
"Dec 31, 1985",0.31 trillion USD
"Dec 31, 1984",0.26 trillion USD
"Dec 31, 1983",0.23 trillion USD
"Dec 31, 1982",0.21 trillion USD
"Dec 31, 1981",0.20 trillion USD
"Dec 31, 1980",0.19 trillion USD
"Dec 31, 1979",0.18 trillion USD
"Dec 31, 1978",0.15 trillion USD
"Dec 31, 1977",0.17 trillion USD
"Dec 31, 1976",0.15 trillion USD
"Dec 31, 1975",0.16 trillion USD
"Dec 31, 1974",0.14 trillion USD
"Dec 31, 1973",0.14 trillion USD
"Dec 31, 1972",0.11 trillion USD
"Dec 31, 1971",0.10 trillion USD
"Dec 31, 1970",0.09 trillion USD
"Dec 31, 1969",0.08 trillion USD
"Dec 31, 1968",0.07 trillion USD
"Dec 31, 1967",0.07 trillion USD
"Dec 31, 1966",0.08 trillion USD
"Dec 31, 1965",0.07 trillion USD
"Dec 31, 1964",0.06 trillion USD
"Dec 31, 1963",0.05 trillion USD
"Dec 31, 1962",0.05 trillion USD
"Dec 31, 1961",0.05 trillion USD
"Dec 31, 1960",0.06 trillion USD
