Date,Value
"Dec 31, 2016",0.54%
"Dec 31, 2015",0.51%
"Dec 31, 2014",0.51%
"Dec 31, 2013",0.49%
"Dec 31, 2012",0.49%
"Dec 31, 2011",0.48%
"Dec 31, 2010",0.48%
"Dec 31, 2009",0.50%
"Dec 31, 2008",0.51%
"Dec 31, 2007",0.52%
"Dec 31, 2006",0.56%
"Dec 31, 2005",0.59%
"Dec 31, 2004",0.59%
"Dec 31, 2003",0.62%
"Dec 31, 2002",0.67%
"Dec 31, 2001",0.73%
"Dec 31, 2000",0.79%
"Dec 31, 1999",0.87%
"Dec 31, 1998",0.96%
"Dec 31, 1997",1.02%
"Dec 31, 1996",1.05%
"Dec 31, 1995",1.09%
"Dec 31, 1994",1.13%
"Dec 31, 1993",1.15%
"Dec 31, 1992",1.23%
"Dec 31, 1991",1.36%
"Dec 31, 1990",1.47%
"Dec 31, 1989",1.53%
"Dec 31, 1988",1.61%
"Dec 31, 1987",1.60%
"Dec 31, 1986",1.49%
"Dec 31, 1985",1.36%
"Dec 31, 1984",1.31%
"Dec 31, 1983",1.44%
"Dec 31, 1982",1.47%
"Dec 31, 1981",1.28%
"Dec 31, 1980",1.25%
"Dec 31, 1979",1.33%
"Dec 31, 1978",1.34%
"Dec 31, 1977",1.36%
"Dec 31, 1976",1.55%
"Dec 31, 1975",1.77%
"Dec 31, 1974",2.07%
"Dec 31, 1973",2.28%
"Dec 31, 1972",2.46%
"Dec 31, 1971",2.75%
"Dec 31, 1970",2.76%
"Dec 31, 1969",2.74%
"Dec 31, 1968",2.61%
"Dec 31, 1967",2.57%
"Dec 31, 1966",2.79%
"Dec 31, 1965",2.38%
"Dec 31, 1964",2.32%
"Dec 31, 1963",2.46%
"Dec 31, 1962",0.82%
"Dec 31, 1961",-1.02%
"Dec 31, 1960",1.83%
