Date,Value
"Dec 31, 2016",1.38 billion
"Dec 31, 2015",1.37 billion
"Dec 31, 2014",1.36 billion
"Dec 31, 2013",1.36 billion
"Dec 31, 2012",1.35 billion
"Dec 31, 2011",1.34 billion
"Dec 31, 2010",1.34 billion
"Dec 31, 2009",1.33 billion
"Dec 31, 2008",1.32 billion
"Dec 31, 2007",1.32 billion
"Dec 31, 2006",1.31 billion
"Dec 31, 2005",1.30 billion
"Dec 31, 2004",1.30 billion
"Dec 31, 2003",1.29 billion
"Dec 31, 2002",1.28 billion
"Dec 31, 2001",1.27 billion
"Dec 31, 2000",1.26 billion
"Dec 31, 1999",1.25 billion
"Dec 31, 1998",1.24 billion
"Dec 31, 1997",1.23 billion
"Dec 31, 1996",1.22 billion
"Dec 31, 1995",1.20 billion
"Dec 31, 1994",1.19 billion
"Dec 31, 1993",1.18 billion
"Dec 31, 1992",1.16 billion
"Dec 31, 1991",1.15 billion
"Dec 31, 1990",1.14 billion
"Dec 31, 1989",1.12 billion
"Dec 31, 1988",1.10 billion
"Dec 31, 1987",1.08 billion
"Dec 31, 1986",1.07 billion
"Dec 31, 1985",1.05 billion
"Dec 31, 1984",1.04 billion
"Dec 31, 1983",1.02 billion
"Dec 31, 1982",1.01 billion
"Dec 31, 1981",0.99 billion
"Dec 31, 1980",0.98 billion
"Dec 31, 1979",0.97 billion
"Dec 31, 1978",0.96 billion
"Dec 31, 1977",0.94 billion
"Dec 31, 1976",0.93 billion
"Dec 31, 1975",0.92 billion
"Dec 31, 1974",0.90 billion
"Dec 31, 1973",0.88 billion
"Dec 31, 1972",0.86 billion
"Dec 31, 1971",0.84 billion
"Dec 31, 1970",0.82 billion
"Dec 31, 1969",0.80 billion
"Dec 31, 1968",0.77 billion
"Dec 31, 1967",0.75 billion
"Dec 31, 1966",0.74 billion
"Dec 31, 1965",0.72 billion
"Dec 31, 1964",0.70 billion
"Dec 31, 1963",0.68 billion
"Dec 31, 1962",0.67 billion
"Dec 31, 1961",0.66 billion
"Dec 31, 1960",0.67 billion
