Date,Value
"Dec 31, 2016",9.50 trillion USD
"Dec 31, 2015",8.91 trillion USD
"Dec 31, 2014",8.33 trillion USD
"Dec 31, 2013",7.77 trillion USD
"Dec 31, 2012",7.21 trillion USD
"Dec 31, 2011",6.68 trillion USD
"Dec 31, 2010",6.10 trillion USD
"Dec 31, 2009",5.51 trillion USD
"Dec 31, 2008",5.04 trillion USD
"Dec 31, 2007",4.60 trillion USD
"Dec 31, 2006",4.02 trillion USD
"Dec 31, 2005",3.57 trillion USD
"Dec 31, 2004",3.20 trillion USD
"Dec 31, 2003",2.91 trillion USD
"Dec 31, 2002",2.64 trillion USD
"Dec 31, 2001",2.42 trillion USD
"Dec 31, 2000",2.24 trillion USD
"Dec 31, 1999",2.06 trillion USD
"Dec 31, 1998",1.92 trillion USD
"Dec 31, 1997",1.78 trillion USD
"Dec 31, 1996",1.63 trillion USD
"Dec 31, 1995",1.48 trillion USD
"Dec 31, 1994",1.33 trillion USD
"Dec 31, 1993",1.18 trillion USD
"Dec 31, 1992",1.04 trillion USD
"Dec 31, 1991",0.91 trillion USD
"Dec 31, 1990",0.83 trillion USD
"Dec 31, 1989",0.80 trillion USD
"Dec 31, 1988",0.77 trillion USD
"Dec 31, 1987",0.69 trillion USD
"Dec 31, 1986",0.62 trillion USD
"Dec 31, 1985",0.57 trillion USD
"Dec 31, 1984",0.50 trillion USD
"Dec 31, 1983",0.43 trillion USD
"Dec 31, 1982",0.39 trillion USD
"Dec 31, 1981",0.36 trillion USD
"Dec 31, 1980",0.34 trillion USD
"Dec 31, 1979",0.32 trillion USD
"Dec 31, 1978",0.29 trillion USD
"Dec 31, 1977",0.26 trillion USD
"Dec 31, 1976",0.24 trillion USD
"Dec 31, 1975",0.25 trillion USD
"Dec 31, 1974",0.23 trillion USD
"Dec 31, 1973",0.22 trillion USD
"Dec 31, 1972",0.21 trillion USD
"Dec 31, 1971",0.20 trillion USD
"Dec 31, 1970",0.19 trillion USD
"Dec 31, 1969",0.16 trillion USD
"Dec 31, 1968",0.13 trillion USD
"Dec 31, 1967",0.14 trillion USD
"Dec 31, 1966",0.15 trillion USD
"Dec 31, 1965",0.13 trillion USD
"Dec 31, 1964",0.11 trillion USD
"Dec 31, 1963",0.10 trillion USD
"Dec 31, 1962",0.09 trillion USD
"Dec 31, 1961",0.09 trillion USD
"Dec 31, 1960",0.13 trillion USD
