Date,Value
"Dec 31, 2017",4.68%
"Dec 31, 2016",4.65%
"Dec 31, 2015",4.61%
"Dec 31, 2014",4.59%
"Dec 31, 2013",4.54%
"Dec 31, 2012",4.47%
"Dec 31, 2011",4.34%
"Dec 31, 2010",4.20%
"Dec 31, 2009",4.29%
"Dec 31, 2008",4.36%
"Dec 31, 2007",3.76%
"Dec 31, 2006",4.00%
"Dec 31, 2005",4.14%
"Dec 31, 2004",4.30%
"Dec 31, 2003",4.30%
"Dec 31, 2002",4.41%
"Dec 31, 2001",4.53%
"Dec 31, 2000",4.53%
"Dec 31, 1999",4.70%
"Dec 31, 1998",4.73%
"Dec 31, 1997",4.60%
"Dec 31, 1996",4.59%
"Dec 31, 1995",4.55%
"Dec 31, 1994",4.34%
"Dec 31, 1993",4.33%
"Dec 31, 1992",4.39%
"Dec 31, 1991",4.89%
