Date,Value
"Dec 31, 2016",2.47 trillion USD
"Dec 31, 2015",2.43 trillion USD
"Dec 31, 2014",2.85 trillion USD
"Dec 31, 2013",2.81 trillion USD
"Dec 31, 2012",2.68 trillion USD
"Dec 31, 2011",2.86 trillion USD
"Dec 31, 2010",2.65 trillion USD
"Dec 31, 2009",2.69 trillion USD
"Dec 31, 2008",2.92 trillion USD
"Dec 31, 2007",2.66 trillion USD
"Dec 31, 2006",2.33 trillion USD
"Dec 31, 2005",2.20 trillion USD
"Dec 31, 2004",2.12 trillion USD
"Dec 31, 2003",1.85 trillion USD
"Dec 31, 2002",1.50 trillion USD
"Dec 31, 2001",1.38 trillion USD
"Dec 31, 2000",1.37 trillion USD
"Dec 31, 1999",1.50 trillion USD
"Dec 31, 1998",1.51 trillion USD
"Dec 31, 1997",1.46 trillion USD
"Dec 31, 1996",1.61 trillion USD
"Dec 31, 1995",1.61 trillion USD
"Dec 31, 1994",1.40 trillion USD
"Dec 31, 1993",1.33 trillion USD
"Dec 31, 1992",1.41 trillion USD
"Dec 31, 1991",1.28 trillion USD
"Dec 31, 1990",1.28 trillion USD
"Dec 31, 1989",1.03 trillion USD
"Dec 31, 1988",1.02 trillion USD
"Dec 31, 1987",0.94 trillion USD
"Dec 31, 1986",0.77 trillion USD
"Dec 31, 1985",0.56 trillion USD
"Dec 31, 1984",0.53 trillion USD
"Dec 31, 1983",0.56 trillion USD
"Dec 31, 1982",0.59 trillion USD
"Dec 31, 1981",0.62 trillion USD
"Dec 31, 1980",0.70 trillion USD
"Dec 31, 1979",0.62 trillion USD
"Dec 31, 1978",0.51 trillion USD
"Dec 31, 1977",0.41 trillion USD
"Dec 31, 1976",0.37 trillion USD
"Dec 31, 1975",0.36 trillion USD
"Dec 31, 1974",0.29 trillion USD
"Dec 31, 1973",0.27 trillion USD
"Dec 31, 1972",0.20 trillion USD
"Dec 31, 1971",0.17 trillion USD
"Dec 31, 1970",0.15 trillion USD
"Dec 31, 1969",0.14 trillion USD
"Dec 31, 1968",0.13 trillion USD
"Dec 31, 1967",0.12 trillion USD
"Dec 31, 1966",0.11 trillion USD
"Dec 31, 1965",0.10 trillion USD
"Dec 31, 1964",0.09 trillion USD
"Dec 31, 1963",0.09 trillion USD
"Dec 31, 1962",0.08 trillion USD
"Dec 31, 1961",0.07 trillion USD
"Dec 31, 1960",0.06 trillion USD
