Date,Value
"Dec 31, 2016",66.89 million
"Dec 31, 2015",66.62 million
"Dec 31, 2014",66.33 million
"Dec 31, 2013",66.00 million
"Dec 31, 2012",65.66 million
"Dec 31, 2011",65.34 million
"Dec 31, 2010",65.03 million
"Dec 31, 2009",64.71 million
"Dec 31, 2008",64.37 million
"Dec 31, 2007",64.02 million
"Dec 31, 2006",63.62 million
"Dec 31, 2005",63.18 million
"Dec 31, 2004",62.70 million
"Dec 31, 2003",62.24 million
"Dec 31, 2002",61.81 million
"Dec 31, 2001",61.36 million
"Dec 31, 2000",60.91 million
"Dec 31, 1999",60.50 million
"Dec 31, 1998",60.19 million
"Dec 31, 1997",59.96 million
"Dec 31, 1996",59.75 million
"Dec 31, 1995",59.54 million
"Dec 31, 1994",59.33 million
"Dec 31, 1993",59.11 million
"Dec 31, 1992",58.85 million
"Dec 31, 1991",58.56 million
"Dec 31, 1990",58.51 million
"Dec 31, 1989",58.18 million
"Dec 31, 1988",57.84 million
"Dec 31, 1987",57.48 million
"Dec 31, 1986",57.13 million
"Dec 31, 1985",56.80 million
"Dec 31, 1984",56.47 million
"Dec 31, 1983",56.16 million
"Dec 31, 1982",55.86 million
"Dec 31, 1981",55.59 million
"Dec 31, 1980",55.34 million
"Dec 31, 1979",55.13 million
"Dec 31, 1978",54.95 million
"Dec 31, 1977",54.76 million
"Dec 31, 1976",54.54 million
"Dec 31, 1975",54.25 million
"Dec 31, 1974",53.88 million
"Dec 31, 1973",53.44 million
"Dec 31, 1972",52.96 million
"Dec 31, 1971",52.48 million
"Dec 31, 1970",52.04 million
"Dec 31, 1969",51.64 million
"Dec 31, 1968",51.28 million
"Dec 31, 1967",50.92 million
"Dec 31, 1966",50.51 million
"Dec 31, 1965",50.02 million
"Dec 31, 1964",49.45 million
"Dec 31, 1963",48.80 million
"Dec 31, 1962",48.12 million
"Dec 31, 1961",47.44 million
"Dec 31, 1960",46.81 million
