Date,Value
"Dec 31, 2017",9.68%
"Dec 31, 2016",10.06%
"Dec 31, 2015",10.36%
"Dec 31, 2014",10.30%
"Dec 31, 2013",9.92%
"Dec 31, 2012",9.40%
"Dec 31, 2011",8.81%
"Dec 31, 2010",8.87%
"Dec 31, 2009",8.74%
"Dec 31, 2008",7.06%
"Dec 31, 2007",7.66%
"Dec 31, 2006",8.45%
"Dec 31, 2005",8.49%
"Dec 31, 2004",8.91%
"Dec 31, 2003",8.31%
"Dec 31, 2002",8.70%
"Dec 31, 2001",8.61%
"Dec 31, 2000",10.22%
"Dec 31, 1999",11.98%
"Dec 31, 1998",12.07%
"Dec 31, 1997",12.57%
"Dec 31, 1996",12.37%
"Dec 31, 1995",11.84%
"Dec 31, 1994",12.59%
"Dec 31, 1993",11.32%
"Dec 31, 1992",10.21%
"Dec 31, 1991",9.13%
