Date,Value
"Sep 30, 2019",112.66
"Jun 30, 2019",112.19
"Mar 31, 2019",111.47
"Dec 31, 2018",111.26
"Sep 30, 2018",110.77
"Jun 30, 2018",110.28
"Mar 31, 2018",109.35
"Dec 31, 2017",108.71
"Sep 30, 2017",107.97
"Jun 30, 2017",107.41
"Mar 31, 2017",107.06
"Dec 31, 2016",106.55
"Sep 30, 2016",106.04
"Jun 30, 2016",105.66
"Mar 31, 2016",104.94
"Dec 31, 2015",105.05
"Sep 30, 2015",105.05
"Jun 30, 2015",104.67
"Mar 31, 2015",104.09
"Dec 31, 2014",104.12
"Sep 30, 2014",103.96
"Jun 30, 2014",103.51
"Mar 31, 2014",102.94
"Dec 31, 2013",102.52
"Sep 30, 2013",101.92
"Jun 30, 2013",101.43
"Mar 31, 2013",101.14
"Dec 31, 2012",100.74
"Sep 30, 2012",100.23
"Jun 30, 2012",99.71
"Mar 31, 2012",99.32
"Dec 31, 2011",98.70
"Sep 30, 2011",98.55
"Jun 30, 2011",97.92
"Mar 31, 2011",97.28
"Dec 31, 2010",96.76
"Sep 30, 2010",96.22
"Jun 30, 2010",95.94
"Mar 31, 2010",95.50
"Dec 31, 2009",95.26
"Sep 30, 2009",94.94
"Jun 30, 2009",94.84
"Mar 31, 2009",94.98
"Dec 31, 2008",94.99
"Sep 30, 2008",94.69
"Jun 30, 2008",93.99
"Mar 31, 2008",93.49
"Dec 31, 2007",93.14
"Sep 30, 2007",92.78
"Jun 30, 2007",92.30
"Mar 31, 2007",91.71
"Dec 31, 2006",90.82
"Sep 30, 2006",90.48
"Jun 30, 2006",89.85
"Mar 31, 2006",89.11
"Dec 31, 2005",88.49
"Sep 30, 2005",87.78
"Jun 30, 2005",87.00
"Mar 31, 2005",86.39
"Dec 31, 2004",85.71
"Sep 30, 2004",85.06
"Jun 30, 2004",84.50
"Mar 31, 2004",83.82
"Dec 31, 2003",83.20
"Sep 30, 2003",82.71
"Jun 30, 2003",82.27
"Mar 31, 2003",82.02
"Dec 31, 2002",81.65
"Sep 30, 2002",81.19
"Jun 30, 2002",80.82
"Mar 31, 2002",80.53
"Dec 31, 2001",80.27
"Sep 30, 2001",80.00
"Jun 30, 2001",79.68
"Mar 31, 2001",79.20
"Dec 31, 2000",78.72
"Sep 30, 2000",78.31
"Jun 30, 2000",77.87
"Mar 31, 2000",77.40
"Dec 31, 1999",76.87
"Sep 30, 1999",76.46
"Jun 30, 1999",76.20
"Mar 31, 1999",75.93
"Dec 31, 1998",75.64
"Sep 30, 1998",75.43
"Jun 30, 1998",75.11
"Mar 31, 1998",74.93
"Dec 31, 1997",74.82
"Sep 30, 1997",74.58
"Jun 30, 1997",74.26
"Mar 31, 1997",74.11
"Dec 31, 1996",73.67
"Sep 30, 1996",73.28
"Jun 30, 1996",73.04
"Mar 31, 1996",72.74
"Dec 31, 1995",72.39
"Sep 30, 1995",72.04
"Jun 30, 1995",71.69
"Mar 31, 1995",71.34
"Dec 31, 1994",70.96
"Sep 30, 1994",70.58
"Jun 30, 1994",70.17
"Mar 31, 1994",69.84
"Dec 31, 1993",69.50
"Sep 30, 1993",69.13
"Jun 30, 1993",68.72
"Mar 31, 1993",68.31
"Dec 31, 1992",67.93
"Sep 30, 1992",67.47
"Jun 30, 1992",67.14
"Mar 31, 1992",66.74
"Dec 31, 1991",66.49
"Sep 30, 1991",66.10
"Jun 30, 1991",65.59
"Mar 31, 1991",65.11
"Dec 31, 1990",64.48
"Sep 30, 1990",64.00
"Jun 30, 1990",63.46
"Mar 31, 1990",62.75
"Dec 31, 1989",62.08
"Sep 30, 1989",61.65
"Jun 30, 1989",61.20
"Mar 31, 1989",60.55
"Dec 31, 1988",59.93
"Sep 30, 1988",59.41
"Jun 30, 1988",58.71
"Mar 31, 1988",58.15
"Dec 31, 1987",57.69
"Sep 30, 1987",57.24
"Jun 30, 1987",56.81
"Mar 31, 1987",56.42
"Dec 31, 1986",56.06
"Sep 30, 1986",55.76
"Jun 30, 1986",55.53
"Mar 31, 1986",55.32
"Dec 31, 1985",55.05
"Sep 30, 1985",54.74
"Jun 30, 1985",54.41
"Mar 31, 1985",54.07
"Dec 31, 1984",53.54
"Sep 30, 1984",53.14
"Jun 30, 1984",52.67
"Mar 31, 1984",52.22
"Dec 31, 1983",51.70
"Sep 30, 1983",51.31
"Jun 30, 1983",50.77
"Mar 31, 1983",50.40
"Dec 31, 1982",50.02
"Sep 30, 1982",49.51
"Jun 30, 1982",48.81
"Mar 31, 1982",48.19
"Dec 31, 1981",47.53
"Sep 30, 1981",46.73
"Jun 30, 1981",45.86
"Mar 31, 1981",44.97
"Dec 31, 1980",43.82
"Sep 30, 1980",42.71
"Jun 30, 1980",41.77
"Mar 31, 1980",40.80
"Dec 31, 1979",39.96
"Sep 30, 1979",39.23
"Jun 30, 1979",38.39
"Mar 31, 1979",37.48
"Dec 31, 1978",36.80
"Sep 30, 1978",36.07
"Jun 30, 1978",35.46
"Mar 31, 1978",34.80
"Dec 31, 1977",34.30
"Sep 30, 1977",33.58
"Jun 30, 1977",33.17
"Mar 31, 1977",32.71
"Dec 31, 1976",32.19
"Sep 30, 1976",31.63
"Jun 30, 1976",31.22
"Mar 31, 1976",30.91
"Dec 31, 1975",30.59
"Sep 30, 1975",30.08
"Jun 30, 1975",29.56
"Mar 31, 1975",29.13
"Dec 31, 1974",28.48
"Sep 30, 1974",27.67
"Jun 30, 1974",26.88
"Mar 31, 1974",26.26
