Date,Value
"Dec 31, 2016",3.48 trillion USD
"Dec 31, 2015",3.38 trillion USD
"Dec 31, 2014",3.89 trillion USD
"Dec 31, 2013",3.75 trillion USD
"Dec 31, 2012",3.54 trillion USD
"Dec 31, 2011",3.76 trillion USD
"Dec 31, 2010",3.42 trillion USD
"Dec 31, 2009",3.42 trillion USD
"Dec 31, 2008",3.75 trillion USD
"Dec 31, 2007",3.44 trillion USD
"Dec 31, 2006",3.00 trillion USD
"Dec 31, 2005",2.86 trillion USD
"Dec 31, 2004",2.82 trillion USD
"Dec 31, 2003",2.51 trillion USD
"Dec 31, 2002",2.08 trillion USD
"Dec 31, 2001",1.95 trillion USD
"Dec 31, 2000",1.95 trillion USD
"Dec 31, 1999",2.20 trillion USD
"Dec 31, 1998",2.24 trillion USD
"Dec 31, 1997",2.22 trillion USD
"Dec 31, 1996",2.50 trillion USD
"Dec 31, 1995",2.59 trillion USD
"Dec 31, 1994",2.21 trillion USD
"Dec 31, 1993",2.07 trillion USD
"Dec 31, 1992",2.12 trillion USD
"Dec 31, 1991",1.86 trillion USD
"Dec 31, 1990",1.76 trillion USD
"Dec 31, 1989",1.39 trillion USD
"Dec 31, 1988",1.40 trillion USD
"Dec 31, 1987",1.29 trillion USD
"Dec 31, 1986",1.04 trillion USD
"Dec 31, 1985",0.73 trillion USD
"Dec 31, 1984",0.72 trillion USD
"Dec 31, 1983",0.77 trillion USD
"Dec 31, 1982",0.77 trillion USD
"Dec 31, 1981",0.80 trillion USD
"Dec 31, 1980",0.95 trillion USD
"Dec 31, 1979",0.88 trillion USD
"Dec 31, 1978",0.74 trillion USD
"Dec 31, 1977",0.60 trillion USD
"Dec 31, 1976",0.52 trillion USD
"Dec 31, 1975",0.49 trillion USD
"Dec 31, 1974",0.44 trillion USD
"Dec 31, 1973",0.40 trillion USD
"Dec 31, 1972",0.30 trillion USD
"Dec 31, 1971",0.25 trillion USD
"Dec 31, 1970",0.22 trillion USD
