Date,Value
"Dec 31, 2016",0.98%
"Dec 31, 2015",0.87%
"Dec 31, 2014",0.42%
"Dec 31, 2013",0.27%
"Dec 31, 2012",0.19%
"Dec 31, 2011",-1.85%
"Dec 31, 2010",-0.15%
"Dec 31, 2009",-0.25%
"Dec 31, 2008",-0.19%
"Dec 31, 2007",-0.13%
"Dec 31, 2006",-0.11%
"Dec 31, 2005",-0.06%
"Dec 31, 2004",-0.02%
"Dec 31, 2003",0.06%
"Dec 31, 2002",0.17%
"Dec 31, 2001",0.17%
"Dec 31, 2000",0.14%
"Dec 31, 1999",0.06%
"Dec 31, 1998",0.02%
"Dec 31, 1997",0.15%
"Dec 31, 1996",0.29%
"Dec 31, 1995",0.29%
"Dec 31, 1994",0.35%
"Dec 31, 1993",0.66%
"Dec 31, 1992",0.76%
"Dec 31, 1991",0.73%
"Dec 31, 1990",0.86%
"Dec 31, 1989",0.77%
"Dec 31, 1988",0.39%
"Dec 31, 1987",0.15%
"Dec 31, 1986",0.05%
"Dec 31, 1985",-0.22%
"Dec 31, 1984",-0.35%
"Dec 31, 1983",-0.26%
"Dec 31, 1982",-0.10%
"Dec 31, 1981",0.15%
"Dec 31, 1980",0.21%
"Dec 31, 1979",0.04%
"Dec 31, 1978",-0.09%
"Dec 31, 1977",-0.23%
"Dec 31, 1976",-0.43%
"Dec 31, 1975",-0.37%
"Dec 31, 1974",0.04%
"Dec 31, 1973",0.31%
"Dec 31, 1972",0.48%
"Dec 31, 1971",0.18%
"Dec 31, 1970",0.33%
"Dec 31, 1969",0.79%
"Dec 31, 1968",0.44%
"Dec 31, 1967",0.46%
"Dec 31, 1966",0.83%
"Dec 31, 1965",0.85%
"Dec 31, 1964",0.81%
"Dec 31, 1963",0.93%
"Dec 31, 1962",0.88%
"Dec 31, 1961",0.77%
"Dec 31, 1960",0.78%
