Date,Value
"Dec 31, 2016",82.49 million
"Dec 31, 2015",81.69 million
"Dec 31, 2014",80.98 million
"Dec 31, 2013",80.65 million
"Dec 31, 2012",80.43 million
"Dec 31, 2011",80.27 million
"Dec 31, 2010",81.78 million
"Dec 31, 2009",81.90 million
"Dec 31, 2008",82.11 million
"Dec 31, 2007",82.27 million
"Dec 31, 2006",82.38 million
"Dec 31, 2005",82.47 million
"Dec 31, 2004",82.52 million
"Dec 31, 2003",82.53 million
"Dec 31, 2002",82.49 million
"Dec 31, 2001",82.35 million
"Dec 31, 2000",82.21 million
"Dec 31, 1999",82.10 million
"Dec 31, 1998",82.05 million
"Dec 31, 1997",82.03 million
"Dec 31, 1996",81.91 million
"Dec 31, 1995",81.68 million
"Dec 31, 1994",81.44 million
"Dec 31, 1993",81.16 million
"Dec 31, 1992",80.62 million
"Dec 31, 1991",80.01 million
"Dec 31, 1990",79.43 million
"Dec 31, 1989",78.75 million
"Dec 31, 1988",78.14 million
"Dec 31, 1987",77.84 million
"Dec 31, 1986",77.72 million
"Dec 31, 1985",77.68 million
"Dec 31, 1984",77.86 million
"Dec 31, 1983",78.13 million
"Dec 31, 1982",78.33 million
"Dec 31, 1981",78.41 million
"Dec 31, 1980",78.29 million
"Dec 31, 1979",78.13 million
"Dec 31, 1978",78.09 million
"Dec 31, 1977",78.16 million
"Dec 31, 1976",78.34 million
"Dec 31, 1975",78.67 million
"Dec 31, 1974",78.97 million
"Dec 31, 1973",78.94 million
"Dec 31, 1972",78.69 million
"Dec 31, 1971",78.31 million
"Dec 31, 1970",78.17 million
"Dec 31, 1969",77.91 million
"Dec 31, 1968",77.29 million
"Dec 31, 1967",76.95 million
"Dec 31, 1966",76.60 million
"Dec 31, 1965",75.96 million
"Dec 31, 1964",75.32 million
"Dec 31, 1963",74.71 million
"Dec 31, 1962",74.03 million
"Dec 31, 1961",73.38 million
"Dec 31, 1960",72.81 million
