Date,Value
"Dec 31, 2017",3.74%
"Dec 31, 2016",4.12%
"Dec 31, 2015",4.62%
"Dec 31, 2014",4.98%
"Dec 31, 2013",5.23%
"Dec 31, 2012",5.38%
"Dec 31, 2011",5.82%
"Dec 31, 2010",6.97%
"Dec 31, 2009",7.74%
"Dec 31, 2008",7.52%
"Dec 31, 2007",8.66%
"Dec 31, 2006",10.25%
"Dec 31, 2005",11.17%
"Dec 31, 2004",10.73%
"Dec 31, 2003",9.78%
"Dec 31, 2002",8.48%
"Dec 31, 2001",7.77%
"Dec 31, 2000",7.92%
"Dec 31, 1999",8.86%
"Dec 31, 1998",9.79%
"Dec 31, 1997",9.86%
"Dec 31, 1996",8.82%
"Dec 31, 1995",8.16%
"Dec 31, 1994",8.73%
"Dec 31, 1993",7.68%
"Dec 31, 1992",6.32%
"Dec 31, 1991",5.32%
