Date,Value
"Dec 13, 2019","3,168.55"
"Dec 1, 2019","3,066.91"
"Nov 1, 2019","3,066.91"
"Oct 1, 2019","2,976.08"
"Sep 1, 2019","2,987.37"
"Aug 1, 2019","2,904.84"
"Jul 1, 2019","3,003.55"
"Jun 1, 2019","2,902.19"
"May 1, 2019","2,867.15"
"Apr 1, 2019","2,922.66"
"Mar 1, 2019","2,837.14"
"Feb 1, 2019","2,803.16"
"Jan 1, 2019","2,664.32"
"Dec 1, 2018","2,628.37"
"Nov 1, 2018","2,779.09"
"Oct 1, 2018","2,833.08"
"Sep 1, 2018","2,956.31"
"Aug 1, 2018","2,915.19"
"Jul 1, 2018","2,851.31"
"Jun 1, 2018","2,811.40"
"May 1, 2018","2,761.84"
"Apr 1, 2018","2,724.19"
"Mar 1, 2018","2,785.67"
"Feb 1, 2018","2,794.43"
"Jan 1, 2018","2,894.94"
"Dec 1, 2017","2,779.81"
"Nov 1, 2017","2,704.42"
"Oct 1, 2017","2,666.31"
"Sep 1, 2017","2,597.77"
"Aug 1, 2017","2,573.16"
"Jul 1, 2017","2,578.64"
"Jun 1, 2017","2,555.74"
"May 1, 2017","2,517.45"
"Apr 1, 2017","2,481.69"
"Mar 1, 2017","2,496.98"
"Feb 1, 2017","2,460.03"
"Jan 1, 2017","2,409.74"
"Dec 1, 2016","2,393.43"
"Nov 1, 2016","2,307.21"
"Oct 1, 2016","2,280.25"
"Sep 1, 2016","2,298.72"
"Aug 1, 2016","2,318.41"
"Jul 1, 2016","2,296.97"
"Jun 1, 2016","2,223.87"
"May 1, 2016","2,211.54"
"Apr 1, 2016","2,231.23"
"Mar 1, 2016","2,183.92"
"Feb 1, 2016","2,065.83"
"Jan 1, 2016","2,082.93"
"Dec 1, 2015","2,233.70"
"Nov 1, 2015","2,254.83"
"Oct 1, 2015","2,189.71"
"Sep 1, 2015","2,101.82"
"Aug 1, 2015","2,201.58"
"Jul 1, 2015","2,256.95"
"Jun 1, 2015","2,262.65"
"May 1, 2015","2,284.26"
"Apr 1, 2015","2,277.33"
"Mar 1, 2015","2,265.76"
"Feb 1, 2015","2,281.67"
"Jan 1, 2015","2,232.13"
"Dec 1, 2014","2,250.20"
"Nov 1, 2014","2,226.88"
"Oct 1, 2014","2,098.62"
"Sep 1, 2014","2,153.81"
"Aug 1, 2014","2,121.16"
"Jul 1, 2014","2,130.10"
"Jun 1, 2014","2,101.20"
"May 1, 2014","2,043.14"
"Apr 1, 2014","2,022.60"
"Mar 1, 2014","2,028.47"
"Feb 1, 2014","1,990.61"
"Jan 1, 2014","2,003.82"
"Dec 1, 2013","1,995.18"
"Nov 1, 2013","1,968.26"
"Oct 1, 2013","1,894.30"
"Sep 1, 2013","1,853.32"
"Aug 1, 2013","1,836.69"
"Jul 1, 2013","1,837.35"
"Jun 1, 2013","1,783.10"
"May 1, 2013","1,810.64"
"Apr 1, 2013","1,737.39"
"Mar 1, 2013","1,713.63"
"Feb 1, 2013","1,675.43"
"Jan 1, 2013","1,653.51"
"Dec 1, 2012","1,593.30"
"Nov 1, 2012","1,557.98"
"Oct 1, 2012","1,598.75"
"Sep 1, 2012","1,604.36"
"Aug 1, 2012","1,566.89"
"Jul 1, 2012","1,526.58"
"Jun 1, 2012","1,483.41"
"May 1, 2012","1,501.14"
"Apr 1, 2012","1,549.87"
"Mar 1, 2012","1,557.70"
"Feb 1, 2012","1,528.01"
"Jan 1, 2012","1,475.83"
"Dec 1, 2011","1,417.06"
"Nov 1, 2011","1,394.36"
"Oct 1, 2011","1,371.37"
"Sep 1, 2011","1,330.74"
"Aug 1, 2011","1,345.74"
"Jul 1, 2011","1,508.70"
"Jun 1, 2011","1,466.85"
"May 1, 2011","1,523.36"
"Apr 1, 2011","1,522.75"
"Mar 1, 2011","1,501.45"
"Feb 1, 2011","1,535.42"
"Jan 1, 2011","1,498.03"
"Dec 1, 2010","1,456.94"
"Nov 1, 2010","1,409.32"
"Oct 1, 2010","1,377.80"
"Sep 1, 2010","1,321.23"
"Aug 1, 2010","1,281.00"
"Jul 1, 2010","1,273.94"
"Jun 1, 2010","1,278.41"
"May 1, 2010","1,326.32"
"Apr 1, 2010","1,412.60"
"Mar 1, 2010","1,361.55"
"Feb 1, 2010","1,292.51"
"Jan 1, 2010","1,333.69"
"Dec 1, 2009","1,322.53"
"Nov 1, 2009","1,293.67"
"Oct 1, 2009","1,270.30"
"Sep 1, 2009","1,244.01"
"Aug 1, 2009","1,203.29"
"Jul 1, 2009","1,117.71"
"Jun 1, 2009","1,104.37"
"May 1, 2009","1,085.34"
"Apr 1, 2009","1,023.03"
"Mar 1, 2009",915.52
"Feb 1, 2009",976.05
"Jan 1, 2009","1,054.42"
"Dec 1, 2008","1,073.67"
"Nov 1, 2008","1,069.20"
"Oct 1, 2008","1,150.57"
"Sep 1, 2008","1,430.68"
"Aug 1, 2008","1,504.45"
"Jul 1, 2008","1,470.22"
"Jun 1, 2008","1,576.58"
"May 1, 2008","1,666.05"
"Apr 1, 2008","1,640.87"
"Mar 1, 2008","1,586.34"
"Feb 1, 2008","1,646.17"
"Jan 1, 2008","1,680.06"
"Dec 1, 2007","1,811.44"
"Nov 1, 2007","1,790.85"
"Oct 1, 2007","1,895.38"
"Sep 1, 2007","1,846.95"
"Aug 1, 2007","1,799.47"
"Jul 1, 2007","1,877.78"
"Jun 1, 2007","1,869.25"
"May 1, 2007","1,869.10"
"Apr 1, 2007","1,821.41"
"Mar 1, 2007","1,762.24"
"Feb 1, 2007","1,826.12"
"Jan 1, 2007","1,809.67"
"Dec 1, 2006","1,805.32"
"Nov 1, 2006","1,772.55"
"Oct 1, 2006","1,737.72"
"Sep 1, 2006","1,670.44"
"Aug 1, 2006","1,623.66"
"Jul 1, 2006","1,592.84"
"Jun 1, 2006","1,588.59"
"May 1, 2006","1,638.52"
"Apr 1, 2006","1,662.18"
"Mar 1, 2006","1,665.47"
"Feb 1, 2006","1,652.56"
"Jan 1, 2006","1,658.60"
"Dec 1, 2005","1,649.46"
"Nov 1, 2005","1,610.63"
"Oct 1, 2005","1,539.06"
"Sep 1, 2005","1,586.10"
"Aug 1, 2005","1,603.32"
"Jul 1, 2005","1,608.85"
"Jun 1, 2005","1,589.86"
"May 1, 2005","1,558.97"
"Apr 1, 2005","1,539.06"
"Mar 1, 2005","1,589.95"
"Feb 1, 2005","1,608.73"
"Jan 1, 2005","1,593.44"
"Dec 1, 2004","1,620.84"
"Nov 1, 2004","1,574.14"
"Oct 1, 2004","1,505.27"
"Sep 1, 2004","1,513.80"
"Aug 1, 2004","1,478.02"
"Jul 1, 2004","1,501.76"
"Jun 1, 2004","1,535.87"
"May 1, 2004","1,499.97"
"Apr 1, 2004","1,550.58"
"Mar 1, 2004","1,542.67"
"Feb 1, 2004","1,579.38"
"Jan 1, 2004","1,572.86"
"Dec 1, 2003","1,508.13"
"Nov 1, 2003","1,463.65"
"Oct 1, 2003","1,444.16"
"Sep 1, 2003","1,415.81"
"Aug 1, 2003","1,378.74"
"Jul 1, 2003","1,388.20"
"Jun 1, 2003","1,383.35"
"May 1, 2003","1,311.92"
"Apr 1, 2003","1,245.50"
"Mar 1, 2003","1,182.19"
"Feb 1, 2003","1,175.81"
"Jan 1, 2003","1,268.12"
"Dec 1, 2002","1,278.48"
"Nov 1, 2002","1,290.91"
"Oct 1, 2002","1,212.45"
"Sep 1, 2002","1,233.19"
"Aug 1, 2002","1,298.92"
"Jul 1, 2002","1,290.45"
"Jun 1, 2002","1,449.77"
"May 1, 2002","1,543.89"
"Apr 1, 2002","1,590.64"
"Mar 1, 2002","1,659.75"
"Feb 1, 2002","1,592.24"
"Jan 1, 2002","1,655.96"
"Dec 1, 2001","1,666.58"
"Nov 1, 2001","1,637.90"
"Oct 1, 2001","1,558.29"
"Sep 1, 2001","1,506.95"
"Aug 1, 2001","1,707.72"
"Jul 1, 2001","1,745.32"
"Jun 1, 2001","1,789.92"
"May 1, 2001","1,838.77"
"Apr 1, 2001","1,730.00"
"Mar 1, 2001","1,731.04"
"Feb 1, 2001","1,910.41"
"Jan 1, 2001","1,961.93"
"Dec 1, 2000","1,967.39"
"Nov 1, 2000","2,035.86"
"Oct 1, 2000","2,054.91"
"Sep 1, 2000","2,173.83"
"Aug 1, 2000","2,211.07"
"Jul 1, 2000","2,192.52"
"Jun 1, 2000","2,181.14"
"May 1, 2000","2,127.37"
"Apr 1, 2000","2,194.24"
"Mar 1, 2000","2,166.75"
"Feb 1, 2000","2,103.82"
"Jan 1, 2000","2,172.23"
"Dec 1, 1999","2,183.41"
"Nov 1, 1999","2,125.82"
"Oct 1, 1999","1,987.95"
"Sep 1, 1999","2,019.32"
"Aug 1, 1999","2,043.33"
"Jul 1, 1999","2,130.78"
"Jun 1, 1999","2,046.75"
"May 1, 1999","2,061.49"
"Apr 1, 1999","2,065.65"
"Mar 1, 1999","1,997.90"
"Feb 1, 1999","1,949.12"
"Jan 1, 1999","1,954.92"
"Dec 1, 1998","1,867.54"
"Nov 1, 1998","1,794.86"
"Oct 1, 1998","1,619.27"
"Sep 1, 1998","1,604.63"
"Aug 1, 1998","1,691.56"
"Jul 1, 1998","1,822.80"
"Jun 1, 1998","1,749.00"
"May 1, 1998","1,751.19"
"Apr 1, 1998","1,760.41"
"Mar 1, 1998","1,707.58"
"Feb 1, 1998","1,626.40"
"Jan 1, 1998","1,533.32"
"Dec 1, 1997","1,534.59"
"Nov 1, 1997","1,495.34"
"Oct 1, 1997","1,513.90"
"Sep 1, 1997","1,495.09"
"Aug 1, 1997","1,483.17"
"Jul 1, 1997","1,482.82"
"Jun 1, 1997","1,406.04"
"May 1, 1997","1,338.40"
"Apr 1, 1997","1,226.52"
"Mar 1, 1997","1,273.44"
"Feb 1, 1997","1,286.67"
"Jan 1, 1997","1,238.70"
"Dec 1, 1996","1,205.36"
"Nov 1, 1996","1,193.07"
"Oct 1, 1996","1,139.74"
"Sep 1, 1996","1,100.03"
"Aug 1, 1996","1,083.58"
"Jul 1, 1996","1,055.16"
"Jun 1, 1996","1,097.28"
"May 1, 1996","1,086.04"
"Apr 1, 1996","1,064.99"
"Mar 1, 1996","1,068.92"
"Feb 1, 1996","1,078.55"
"Jan 1, 1996","1,023.53"
"Dec 1, 1995","1,029.79"
"Nov 1, 1995",997.23
"Oct 1, 1995",975.48
"Sep 1, 1995",971.70
"Aug 1, 1995",940.53
"Jul 1, 1995",940.07
"Jun 1, 1995",909.67
"May 1, 1995",885.20
"Apr 1, 1995",860.03
"Mar 1, 1995",837.79
"Feb 1, 1995",821.43
"Jan 1, 1995",796.18
"Dec 1, 1994",782.09
"Nov 1, 1994",792.09
"Oct 1, 1994",797.96
"Sep 1, 1994",803.92
"Aug 1, 1994",801.38
"Jul 1, 1994",782.37
"Jun 1, 1994",790.45
"May 1, 1994",786.27
"Apr 1, 1994",780.40
"Mar 1, 1994",810.43
"Feb 1, 1994",826.82
"Jan 1, 1994",832.13
"Dec 1, 1993",821.99
"Nov 1, 1993",816.59
"Oct 1, 1993",818.93
"Sep 1, 1993",814.06
"Aug 1, 1993",806.67
"Jul 1, 1993",796.72
"Jun 1, 1993",798.09
"May 1, 1993",794.19
"Apr 1, 1993",791.41
"Mar 1, 1993",806.30
"Feb 1, 1993",793.91
"Jan 1, 1993",785.03
"Dec 1, 1992",789.64
"Nov 1, 1992",765.90
"Oct 1, 1992",748.22
"Sep 1, 1992",761.76
"Aug 1, 1992",762.92
"Jul 1, 1992",759.82
"Jun 1, 1992",749.00
"May 1, 1992",763.73
"Apr 1, 1992",751.18
"Mar 1, 1992",752.16
"Feb 1, 1992",765.61
"Jan 1, 1992",774.94
"Dec 1, 1991",724.64
"Nov 1, 1991",720.33
"Oct 1, 1991",724.23
"Sep 1, 1991",725.88
"Aug 1, 1991",733.21
"Jul 1, 1991",718.05
"Jun 1, 1991",715.44
"May 1, 1991",716.98
"Apr 1, 1991",722.31
"Mar 1, 1991",709.28
"Feb 1, 1991",691.22
"Jan 1, 1991",621.98
"Dec 1, 1990",631.97
"Nov 1, 1990",606.09
"Oct 1, 1990",591.71
"Sep 1, 1990",611.35
"Aug 1, 1990",646.44
"Jul 1, 1990",710.14
"Jun 1, 1990",713.59
"May 1, 1990",697.27
"Apr 1, 1990",674.81
"Mar 1, 1990",676.42
"Feb 1, 1990",664.02
"Jan 1, 1990",686.37
"Dec 1, 1989",711.04
"Nov 1, 1989",695.01
"Oct 1, 1989",711.42
"Sep 1, 1989",714.63
"Aug 1, 1989",715.48
"Jul 1, 1989",686.23
"Jun 1, 1989",670.90
"May 1, 1989",652.16
"Apr 1, 1989",631.63
"Mar 1, 1989",615.57
"Feb 1, 1989",621.87
"Jan 1, 1989",606.17
"Dec 1, 1988",590.19
"Nov 1, 1988",579.41
"Oct 1, 1988",593.59
"Sep 1, 1988",575.39
"Aug 1, 1988",569.96
"Jul 1, 1988",584.09
"Jun 1, 1988",590.05
"May 1, 1988",560.60
"Apr 1, 1988",576.80
"Mar 1, 1988",586.61
"Feb 1, 1988",572.29
"Jan 1, 1988",556.88
"Dec 1, 1987",537.15
"Nov 1, 1987",546.07
"Oct 1, 1987",625.06
"Sep 1, 1987",712.80
"Aug 1, 1987",740.60
"Jul 1, 1987",700.88
"Jun 1, 1987",683.02
"May 1, 1987",657.46
"Apr 1, 1987",660.25
"Mar 1, 1987",671.13
"Feb 1, 1987",647.40
"Jan 1, 1987",611.79
"Dec 1, 1986",578.66
"Nov 1, 1986",571.03
"Oct 1, 1986",553.59
"Sep 1, 1986",556.19
"Aug 1, 1986",574.44
"Jul 1, 1986",564.21
"Jun 1, 1986",576.19
"May 1, 1986",563.31
"Apr 1, 1986",563.68
"Mar 1, 1986",549.17
"Feb 1, 1986",516.30
"Jan 1, 1986",488.60
"Dec 1, 1985",487.82
"Nov 1, 1985",466.04
"Oct 1, 1985",440.59
"Sep 1, 1985",437.23
"Aug 1, 1985",448.45
"Jul 1, 1985",459.30
"Jun 1, 1985",451.55
"May 1, 1985",443.22
"Apr 1, 1985",434.53
"Mar 1, 1985",433.68
"Feb 1, 1985",438.95
"Jan 1, 1985",418.36
"Dec 1, 1984",401.81
"Nov 1, 1984",406.21
"Oct 1, 1984",402.54
"Sep 1, 1984",406.88
"Aug 1, 1984",404.64
"Jul 1, 1984",373.33
"Jun 1, 1984",379.74
"May 1, 1984",389.54
"Apr 1, 1984",393.17
"Mar 1, 1984",394.59
"Feb 1, 1984",395.11
"Jan 1, 1984",420.01
"Dec 1, 1983",417.42
"Nov 1, 1983",419.87
"Oct 1, 1983",427.07
"Sep 1, 1983",427.06
"Aug 1, 1983",416.87
"Jul 1, 1983",429.97
"Jun 1, 1983",430.14
"May 1, 1983",425.48
"Apr 1, 1983",411.38
"Mar 1, 1983",399.08
"Feb 1, 1983",385.68
"Jan 1, 1983",379.50
"Dec 1, 1982",367.36
"Nov 1, 1982",362.45
"Oct 1, 1982",347.57
"Sep 1, 1982",321.58
"Aug 1, 1982",288.80
"Jul 1, 1982",288.60
"Jun 1, 1982",290.88
"May 1, 1982",312.52
"Apr 1, 1982",315.21
"Mar 1, 1982",301.57
"Feb 1, 1982",311.31
"Jan 1, 1982",319.94
"Dec 1, 1981",338.75
"Nov 1, 1981",337.36
"Oct 1, 1981",329.91
"Sep 1, 1981",326.48
"Aug 1, 1981",361.15
"Jul 1, 1981",362.51
"Jun 1, 1981",375.59
"May 1, 1981",377.22
"Apr 1, 1981",387.98
"Mar 1, 1981",387.12
"Feb 1, 1981",375.72
"Jan 1, 1981",393.20
"Dec 1, 1980",397.88
"Nov 1, 1980",408.22
"Oct 1, 1980",394.91
"Sep 1, 1980",387.34
"Aug 1, 1980",381.33
"Jul 1, 1980",372.59
"Jun 1, 1980",356.42
"May 1, 1980",338.65
"Apr 1, 1980",327.07
"Mar 1, 1980",336.20
"Feb 1, 1980",375.87
"Jan 1, 1980",366.64
"Dec 1, 1979",361.50
"Nov 1, 1979",351.42
"Oct 1, 1979",357.42
"Sep 1, 1979",374.43
"Aug 1, 1979",374.31
"Jul 1, 1979",361.36
"Jun 1, 1979",361.80
"May 1, 1979",358.76
"Apr 1, 1979",371.97
"Mar 1, 1979",368.86
"Feb 1, 1979",365.64
"Jan 1, 1979",375.49
"Dec 1, 1978",365.14
"Nov 1, 1978",361.43
"Oct 1, 1978",385.62
"Sep 1, 1978",401.86
"Aug 1, 1978",404.91
"Jul 1, 1978",380.49
"Jun 1, 1978",385.26
"May 1, 1978",388.44
"Apr 1, 1978",373.17
"Mar 1, 1978",360.33
"Feb 1, 1978",363.85
"Jan 1, 1978",371.41
"Dec 1, 1977",388.59
"Nov 1, 1977",391.75
"Oct 1, 1977",391.41
"Sep 1, 1977",403.11
"Aug 1, 1977",410.82
"Jul 1, 1977",422.50
"Jun 1, 1977",420.73
"May 1, 1977",421.26
"Apr 1, 1977",424.61
"Mar 1, 1977",434.88
"Feb 1, 1977",439.56
"Jan 1, 1977",456.38
"Dec 1, 1976",462.71
"Nov 1, 1976",448.78
"Oct 1, 1976",452.67
"Sep 1, 1976",471.10
"Aug 1, 1976",462.88
"Jul 1, 1976",469.37
"Jun 1, 1976",460.98
"May 1, 1976",460.70
"Apr 1, 1976",467.19
"Mar 1, 1976",465.18
"Feb 1, 1976",463.71
"Jan 1, 1976",448.08
"Dec 1, 1975",411.07
"Nov 1, 1975",418.93
"Oct 1, 1975",414.95
"Sep 1, 1975",398.86
"Aug 1, 1975",405.99
"Jul 1, 1975",438.91
"Jun 1, 1975",443.40
"May 1, 1975",435.61
"Apr 1, 1975",411.92
"Mar 1, 1975",408.90
"Feb 1, 1975",392.43
"Jan 1, 1975",358.22
"Dec 1, 1974",332.39
"Nov 1, 1974",358.29
"Oct 1, 1974",349.52
"Sep 1, 1974",346.26
"Aug 1, 1974",391.11
"Jul 1, 1974",412.94
"Jun 1, 1974",471.32
"May 1, 1974",474.56
"Apr 1, 1974",495.45
"Mar 1, 1974",524.32
"Feb 1, 1974",509.24
"Jan 1, 1974",530.48
