Date,Value
"Nov 1, 2019",2.05%
"Oct 1, 2019",1.76%
"Sep 1, 2019",1.71%
"Aug 1, 2019",1.75%
"Jul 1, 2019",1.81%
"Jun 1, 2019",1.65%
"May 1, 2019",1.79%
"Apr 1, 2019",2.00%
"Mar 1, 2019",1.86%
"Feb 1, 2019",1.52%
"Jan 1, 2019",1.55%
"Dec 1, 2018",1.91%
"Nov 1, 2018",2.18%
"Oct 1, 2018",2.52%
"Sep 1, 2018",2.28%
"Aug 1, 2018",2.70%
"Jul 1, 2018",2.95%
"Jun 1, 2018",2.87%
"May 1, 2018",2.80%
"Apr 1, 2018",2.46%
"Mar 1, 2018",2.36%
"Feb 1, 2018",2.21%
"Jan 1, 2018",2.07%
"Dec 1, 2017",2.11%
"Nov 1, 2017",2.20%
"Oct 1, 2017",2.04%
"Sep 1, 2017",2.23%
"Aug 1, 2017",1.94%
"Jul 1, 2017",1.73%
"Jun 1, 2017",1.63%
"May 1, 2017",1.87%
"Apr 1, 2017",2.20%
"Mar 1, 2017",2.38%
"Feb 1, 2017",2.74%
"Jan 1, 2017",2.50%
"Dec 1, 2016",2.07%
"Nov 1, 2016",1.69%
"Oct 1, 2016",1.64%
"Sep 1, 2016",1.46%
"Aug 1, 2016",1.06%
"Jul 1, 2016",0.83%
"Jun 1, 2016",1.00%
"May 1, 2016",1.02%
"Apr 1, 2016",1.13%
"Mar 1, 2016",0.85%
"Feb 1, 2016",1.02%
"Jan 1, 2016",1.37%
"Dec 1, 2015",0.73%
"Nov 1, 2015",0.50%
"Oct 1, 2015",0.17%
"Sep 1, 2015",-0.04%
"Aug 1, 2015",0.20%
"Jul 1, 2015",0.17%
"Jun 1, 2015",0.12%
"May 1, 2015",-0.04%
"Apr 1, 2015",-0.20%
"Mar 1, 2015",-0.07%
"Feb 1, 2015",-0.03%
"Jan 1, 2015",-0.09%
"Dec 1, 2014",0.76%
"Nov 1, 2014",1.32%
"Oct 1, 2014",1.66%
"Sep 1, 2014",1.66%
"Aug 1, 2014",1.70%
"Jul 1, 2014",1.99%
"Jun 1, 2014",2.07%
"May 1, 2014",2.13%
"Apr 1, 2014",1.95%
"Mar 1, 2014",1.51%
"Feb 1, 2014",1.13%
"Jan 1, 2014",1.58%
"Dec 1, 2013",1.50%
"Nov 1, 2013",1.24%
"Oct 1, 2013",0.96%
"Sep 1, 2013",1.18%
"Aug 1, 2013",1.52%
"Jul 1, 2013",1.96%
"Jun 1, 2013",1.75%
"May 1, 2013",1.36%
"Apr 1, 2013",1.06%
"Mar 1, 2013",1.47%
"Feb 1, 2013",1.98%
"Jan 1, 2013",1.59%
"Dec 1, 2012",1.74%
"Nov 1, 2012",1.76%
"Oct 1, 2012",2.16%
"Sep 1, 2012",1.99%
"Aug 1, 2012",1.69%
"Jul 1, 2012",1.41%
