Date,Value
"Dec 31, 2016",4.95 trillion USD
"Dec 31, 2015",4.39 trillion USD
"Dec 31, 2014",4.85 trillion USD
"Dec 31, 2013",5.16 trillion USD
"Dec 31, 2012",6.20 trillion USD
"Dec 31, 2011",6.16 trillion USD
"Dec 31, 2010",5.70 trillion USD
"Dec 31, 2009",5.23 trillion USD
"Dec 31, 2008",5.04 trillion USD
"Dec 31, 2007",4.52 trillion USD
"Dec 31, 2006",4.53 trillion USD
"Dec 31, 2005",4.76 trillion USD
"Dec 31, 2004",4.82 trillion USD
"Dec 31, 2003",4.45 trillion USD
"Dec 31, 2002",4.12 trillion USD
"Dec 31, 2001",4.30 trillion USD
"Dec 31, 2000",4.89 trillion USD
"Dec 31, 1999",4.56 trillion USD
"Dec 31, 1998",4.03 trillion USD
"Dec 31, 1997",4.41 trillion USD
"Dec 31, 1996",4.83 trillion USD
"Dec 31, 1995",5.45 trillion USD
"Dec 31, 1994",4.91 trillion USD
"Dec 31, 1993",4.47 trillion USD
"Dec 31, 1992",3.90 trillion USD
"Dec 31, 1991",3.58 trillion USD
"Dec 31, 1990",3.14 trillion USD
"Dec 31, 1989",3.05 trillion USD
"Dec 31, 1988",3.05 trillion USD
"Dec 31, 1987",2.51 trillion USD
"Dec 31, 1986",2.08 trillion USD
"Dec 31, 1985",1.40 trillion USD
"Dec 31, 1984",1.31 trillion USD
"Dec 31, 1983",1.23 trillion USD
"Dec 31, 1982",1.13 trillion USD
"Dec 31, 1981",1.22 trillion USD
"Dec 31, 1980",1.10 trillion USD
"Dec 31, 1979",1.05 trillion USD
"Dec 31, 1978",1.01 trillion USD
"Dec 31, 1977",0.72 trillion USD
"Dec 31, 1976",0.58 trillion USD
"Dec 31, 1975",0.52 trillion USD
"Dec 31, 1974",0.48 trillion USD
"Dec 31, 1973",0.43 trillion USD
"Dec 31, 1972",0.32 trillion USD
"Dec 31, 1971",0.24 trillion USD
"Dec 31, 1970",0.21 trillion USD
"Dec 31, 1969",0.17 trillion USD
"Dec 31, 1968",0.15 trillion USD
"Dec 31, 1967",0.12 trillion USD
"Dec 31, 1966",0.11 trillion USD
"Dec 31, 1965",0.09 trillion USD
"Dec 31, 1964",0.08 trillion USD
"Dec 31, 1963",0.07 trillion USD
"Dec 31, 1962",0.06 trillion USD
"Dec 31, 1961",0.05 trillion USD
"Dec 31, 1960",0.04 trillion USD
