Date,Value
"Dec 31, 2016",126.99 million
"Dec 31, 2015",127.14 million
"Dec 31, 2014",127.28 million
"Dec 31, 2013",127.44 million
"Dec 31, 2012",127.63 million
"Dec 31, 2011",127.83 million
"Dec 31, 2010",128.07 million
"Dec 31, 2009",128.05 million
"Dec 31, 2008",128.06 million
"Dec 31, 2007",128.00 million
"Dec 31, 2006",127.85 million
"Dec 31, 2005",127.77 million
"Dec 31, 2004",127.76 million
"Dec 31, 2003",127.72 million
"Dec 31, 2002",127.44 million
"Dec 31, 2001",127.15 million
"Dec 31, 2000",126.84 million
"Dec 31, 1999",126.63 million
"Dec 31, 1998",126.40 million
"Dec 31, 1997",126.06 million
"Dec 31, 1996",125.76 million
"Dec 31, 1995",125.44 million
"Dec 31, 1994",124.96 million
"Dec 31, 1993",124.54 million
"Dec 31, 1992",124.23 million
"Dec 31, 1991",123.92 million
"Dec 31, 1990",123.54 million
"Dec 31, 1989",123.12 million
"Dec 31, 1988",122.61 million
"Dec 31, 1987",122.09 million
"Dec 31, 1986",121.49 million
"Dec 31, 1985",120.75 million
"Dec 31, 1984",120.02 million
"Dec 31, 1983",119.26 million
"Dec 31, 1982",118.45 million
"Dec 31, 1981",117.65 million
"Dec 31, 1980",116.78 million
"Dec 31, 1979",115.87 million
"Dec 31, 1978",114.90 million
"Dec 31, 1977",113.86 million
"Dec 31, 1976",112.77 million
"Dec 31, 1975",111.94 million
"Dec 31, 1974",110.16 million
"Dec 31, 1973",108.08 million
"Dec 31, 1972",107.19 million
"Dec 31, 1971",105.70 million
"Dec 31, 1970",104.35 million
"Dec 31, 1969",103.17 million
"Dec 31, 1968",101.06 million
"Dec 31, 1967",100.72 million
"Dec 31, 1966",99.79 million
"Dec 31, 1965",98.88 million
"Dec 31, 1964",97.83 million
"Dec 31, 1963",96.81 million
"Dec 31, 1962",95.83 million
"Dec 31, 1961",94.94 million
"Dec 31, 1960",92.50 million
