Date,Value
"Dec 31, 2017",2.83%
"Dec 31, 2016",3.13%
"Dec 31, 2015",3.33%
"Dec 31, 2014",3.58%
"Dec 31, 2013",4.03%
"Dec 31, 2012",4.35%
"Dec 31, 2011",4.55%
"Dec 31, 2010",5.07%
"Dec 31, 2009",5.08%
"Dec 31, 2008",3.98%
"Dec 31, 2007",3.85%
"Dec 31, 2006",4.13%
"Dec 31, 2005",4.42%
"Dec 31, 2004",4.71%
"Dec 31, 2003",5.25%
"Dec 31, 2002",5.37%
"Dec 31, 2001",5.04%
"Dec 31, 2000",4.73%
"Dec 31, 1999",4.68%
"Dec 31, 1998",4.11%
"Dec 31, 1997",3.39%
"Dec 31, 1996",3.35%
"Dec 31, 1995",3.15%
"Dec 31, 1994",2.89%
"Dec 31, 1993",2.51%
"Dec 31, 1992",2.16%
"Dec 31, 1991",2.09%
