Date,Value
"Sep 30, 2019",9.32%
"Dec 31, 2018",9.84%
"Dec 31, 2017",7.07%
"Dec 31, 2016",5.33%
"Dec 31, 2015",10.00%
"Dec 31, 2014",12.72%
"Dec 31, 2013",11.99%
"Dec 31, 2012",18.25%
"Dec 31, 2011",16.26%
"Dec 31, 2010",1.45%
"Dec 31, 2009",-21.07%
"Dec 31, 2008",2.36%
"Dec 31, 2007",11.45%
"Dec 31, 2006",12.01%
"Dec 31, 2005",14.27%
"Dec 31, 2004",11.83%
"Dec 31, 2003",8.16%
"Dec 31, 2002",2.12%
"Dec 31, 2001",-3.26%
"Dec 31, 2000",-2.52%
"Dec 31, 1999",3.07%
"Dec 31, 1998",4.50%
"Dec 31, 1997",4.01%
"Dec 31, 1996",8.06%
"Dec 31, 1995",4.69%
"Dec 31, 1994",4.71%
"Dec 31, 1993",1.55%
"Dec 31, 1992",1.49%
"Dec 31, 1991",0.97%
"Dec 31, 1990",9.33%
"Dec 31, 1989",13.38%
