Date,Value
"Sep 30, 2019",57.32
"Aug 31, 2019",56.98
"Jul 31, 2019",56.60
"Jun 30, 2019",56.31
"May 31, 2019",55.94
"Apr 30, 2019",55.68
"Mar 31, 2019",55.59
"Feb 28, 2019",55.50
"Jan 31, 2019",55.33
"Dec 31, 2018",55.03
"Nov 30, 2018",54.37
"Oct 31, 2018",53.71
"Sep 30, 2018",53.33
"Aug 31, 2018",52.93
"Jul 31, 2018",52.50
"Jun 30, 2018",52.05
"May 31, 2018",51.79
"Apr 30, 2018",51.67
"Mar 31, 2018",51.54
"Feb 28, 2018",51.28
"Jan 31, 2018",51.15
"Dec 31, 2017",51.05
"Nov 30, 2017",50.76
"Oct 31, 2017",50.50
"Sep 30, 2017",50.20
"Aug 31, 2017",50.13
"Jul 31, 2017",49.95
"Jun 30, 2017",49.58
"May 31, 2017",49.33
"Apr 30, 2017",49.08
"Mar 31, 2017",48.93
"Feb 28, 2017",48.73
"Jan 31, 2017",48.65
"Dec 31, 2016",48.69
"Nov 30, 2016",48.46
"Oct 31, 2016",48.15
"Sep 30, 2016",47.97
"Aug 31, 2016",47.88
"Jul 31, 2016",47.72
"Jun 30, 2016",47.45
"May 31, 2016",47.39
"Apr 30, 2016",47.38
"Mar 31, 2016",47.39
"Feb 29, 2016",47.42
"Jan 31, 2016",47.28
"Dec 31, 2015",47.18
"Nov 30, 2015",46.70
"Oct 31, 2015",46.29
"Sep 30, 2015",45.95
"Aug 31, 2015",45.60
"Jul 31, 2015",45.26
"Jun 30, 2015",44.99
"May 31, 2015",44.81
"Apr 30, 2015",44.70
"Mar 31, 2015",44.45
"Feb 28, 2015",44.22
"Jan 31, 2015",43.91
"Dec 31, 2014",43.21
"Nov 30, 2014",42.62
"Oct 31, 2014",42.04
"Sep 30, 2014",41.60
"Aug 31, 2014",41.23
"Jul 31, 2014",40.76
"Jun 30, 2014",40.34
"May 31, 2014",40.00
"Apr 30, 2014",39.72
"Mar 31, 2014",39.43
"Feb 28, 2014",39.24
"Jan 31, 2014",38.93
"Dec 31, 2013",38.62
"Nov 30, 2013",38.40
"Oct 31, 2013",38.11
"Sep 30, 2013",37.79
"Aug 31, 2013",37.42
"Jul 31, 2013",37.05
"Jun 30, 2013",36.64
"May 31, 2013",36.31
"Apr 30, 2013",35.95
"Mar 31, 2013",35.48
"Feb 28, 2013",35.26
"Jan 31, 2013",35.22
"Dec 31, 2012",35.00
"Nov 30, 2012",34.29
"Oct 31, 2012",33.52
"Sep 30, 2012",32.89
"Aug 31, 2012",32.56
"Jul 31, 2012",32.27
"Jun 30, 2012",31.74
"May 31, 2012",31.33
"Apr 30, 2012",30.94
"Mar 31, 2012",30.67
"Feb 29, 2012",30.55
"Jan 31, 2012",30.34
"Dec 31, 2011",30.12
"Nov 30, 2011",29.57
"Oct 31, 2011",29.08
"Sep 30, 2011",28.55
"Aug 31, 2011",28.27
"Jul 31, 2011",28.03
"Jun 30, 2011",27.74
"May 31, 2011",27.36
"Apr 30, 2011",27.14
"Mar 31, 2011",26.97
"Feb 28, 2011",26.96
"Jan 31, 2011",26.82
"Dec 31, 2010",26.67
"Nov 30, 2010",26.57
"Oct 31, 2010",26.43
"Sep 30, 2010",26.32
"Aug 31, 2010",26.21
"Jul 31, 2010",26.12
"Jun 30, 2010",26.00
"May 31, 2010",25.93
"Apr 30, 2010",25.89
"Mar 31, 2010",25.89
"Feb 28, 2010",26.19
"Jan 31, 2010",26.40
"Dec 31, 2009",26.69
"Nov 30, 2009",27.23
"Oct 31, 2009",27.84
"Sep 30, 2009",28.46
"Aug 31, 2009",29.16
"Jul 31, 2009",29.89
"Jun 30, 2009",30.52
"May 31, 2009",31.45
"Apr 30, 2009",32.21
"Mar 31, 2009",32.96
"Feb 28, 2009",33.49
"Jan 31, 2009",34.12
"Dec 31, 2008",34.73
"Nov 30, 2008",34.56
"Oct 31, 2008",34.08
"Sep 30, 2008",33.92
"Aug 31, 2008",33.82
"Jul 31, 2008",33.63
"Jun 30, 2008",33.75
"May 31, 2008",33.93
"Apr 30, 2008",34.05
"Mar 31, 2008",34.09
"Feb 29, 2008",34.16
"Jan 31, 2008",34.02
"Dec 31, 2007",33.96
"Nov 30, 2007",33.63
"Oct 31, 2007",33.52
"Sep 30, 2007",33.28
"Aug 31, 2007",33.04
"Jul 31, 2007",32.65
"Jun 30, 2007",32.31
"May 31, 2007",32.09
"Apr 30, 2007",32.01
"Mar 31, 2007",31.93
"Feb 28, 2007",31.97
"Jan 31, 2007",31.88
"Dec 31, 2006",31.72
"Nov 30, 2006",31.43
"Oct 31, 2006",31.05
"Sep 30, 2006",30.55
"Aug 31, 2006",30.12
"Jul 31, 2006",29.90
"Jun 30, 2006",29.71
"May 31, 2006",29.49
"Apr 30, 2006",29.36
"Mar 31, 2006",29.33
"Feb 28, 2006",29.25
"Jan 31, 2006",29.06
"Dec 31, 2005",29.04
"Nov 30, 2005",28.59
"Oct 31, 2005",28.04
"Sep 30, 2005",27.78
"Aug 31, 2005",27.88
"Jul 31, 2005",27.78
"Jun 30, 2005",27.67
"May 31, 2005",27.38
"Apr 30, 2005",27.04
"Mar 31, 2005",26.91
"Feb 28, 2005",26.77
"Jan 31, 2005",26.57
"Dec 31, 2004",26.28
"Nov 30, 2004",26.06
"Oct 31, 2004",25.94
"Sep 30, 2004",25.96
"Aug 31, 2004",25.76
"Jul 31, 2004",25.52
"Jun 30, 2004",25.22
"May 31, 2004",25.04
"Apr 30, 2004",24.92
"Mar 31, 2004",24.74
"Feb 29, 2004",24.60
"Jan 31, 2004",24.44
"Dec 31, 2003",24.26
"Nov 30, 2003",23.86
"Oct 31, 2003",23.43
"Sep 30, 2003",23.03
"Aug 31, 2003",22.91
"Jul 31, 2003",22.81
"Jun 30, 2003",22.63
"May 31, 2003",22.69
"Apr 30, 2003",22.68
"Mar 31, 2003",22.65
"Feb 28, 2003",22.72
"Jan 31, 2003",22.82
"Dec 31, 2002",22.85
"Nov 30, 2002",22.67
"Oct 31, 2002",22.54
"Sep 30, 2002",22.45
"Aug 31, 2002",22.60
"Jul 31, 2002",22.79
"Jun 30, 2002",22.93
"May 31, 2002",22.80
"Apr 30, 2002",22.65
"Mar 31, 2002",22.63
"Feb 28, 2002",22.76
"Jan 31, 2002",22.85
"Dec 31, 2001",22.91
"Nov 30, 2001",22.82
"Oct 31, 2001",22.78
"Sep 30, 2001",22.70
"Aug 31, 2001",22.78
"Jul 31, 2001",22.75
"Jun 30, 2001",22.67
"May 31, 2001",22.84
"Apr 30, 2001",23.09
"Mar 31, 2001",23.32
"Feb 28, 2001",23.51
"Jan 31, 2001",23.75
"Dec 31, 2000",24.05
"Nov 30, 2000",24.08
"Oct 31, 2000",24.13
"Sep 30, 2000",24.21
"Aug 31, 2000",24.51
"Jul 31, 2000",24.69
"Jun 30, 2000",24.92
"May 31, 2000",25.08
"Apr 30, 2000",25.14
"Mar 31, 2000",25.18
"Feb 29, 2000",25.36
"Jan 31, 2000",25.47
"Dec 31, 1999",25.51
"Nov 30, 1999",25.48
"Oct 31, 1999",25.47
"Sep 30, 1999",25.49
"Aug 31, 1999",25.52
"Jul 31, 1999",25.48
"Jun 30, 1999",25.45
"May 31, 1999",25.46
"Apr 30, 1999",25.46
"Mar 31, 1999",25.64
"Feb 28, 1999",25.59
"Jan 31, 1999",25.49
"Dec 31, 1998",25.41
"Nov 30, 1998",25.37
"Oct 31, 1998",25.34
"Sep 30, 1998",25.38
"Aug 31, 1998",25.31
"Jul 31, 1998",25.24
"Jun 30, 1998",25.17
"May 31, 1998",25.04
"Apr 30, 1998",24.92
"Mar 31, 1998",24.80
"Feb 28, 1998",24.77
"Jan 31, 1998",24.74
"Dec 31, 1997",24.71
"Nov 30, 1997",24.59
"Oct 31, 1997",24.49
"Sep 30, 1997",24.47
"Aug 31, 1997",24.43
"Jul 31, 1997",24.39
"Jun 30, 1997",24.33
"May 31, 1997",24.30
"Apr 30, 1997",24.23
"Mar 31, 1997",24.21
"Feb 28, 1997",24.18
"Jan 31, 1997",24.17
"Dec 31, 1996",24.16
"Nov 30, 1996",24.04
"Oct 31, 1996",23.95
"Sep 30, 1996",23.90
"Aug 31, 1996",23.76
"Jul 31, 1996",23.60
"Jun 30, 1996",23.43
"May 31, 1996",23.35
"Apr 30, 1996",23.30
"Mar 31, 1996",23.30
"Feb 29, 1996",23.24
"Jan 31, 1996",23.14
"Dec 31, 1995",23.10
"Nov 30, 1995",22.97
"Oct 31, 1995",22.84
"Sep 30, 1995",22.79
"Aug 31, 1995",22.72
"Jul 31, 1995",22.66
"Jun 30, 1995",22.53
"May 31, 1995",22.47
"Apr 30, 1995",22.41
"Mar 31, 1995",22.37
"Feb 28, 1995",22.45
"Jan 31, 1995",22.54
"Dec 31, 1994",22.63
"Nov 30, 1994",22.49
"Oct 31, 1994",22.38
"Sep 30, 1994",22.25
"Aug 31, 1994",22.26
"Jul 31, 1994",22.30
"Jun 30, 1994",22.31
"May 31, 1994",22.31
"Apr 30, 1994",22.25
"Mar 31, 1994",22.20
"Feb 28, 1994",22.20
"Jan 31, 1994",22.20
"Dec 31, 1993",22.19
"Nov 30, 1993",22.15
"Oct 31, 1993",22.13
"Sep 30, 1993",22.19
"Aug 31, 1993",22.24
"Jul 31, 1993",22.30
"Jun 30, 1993",22.31
"May 31, 1993",22.31
"Apr 30, 1993",22.32
"Mar 31, 1993",22.35
"Feb 28, 1993",22.37
"Jan 31, 1993",22.40
"Dec 31, 1992",22.45
"Nov 30, 1992",22.44
"Oct 31, 1992",22.48
"Sep 30, 1992",22.56
"Aug 31, 1992",22.58
"Jul 31, 1992",22.60
"Jun 30, 1992",22.60
"May 31, 1992",22.69
"Apr 30, 1992",22.72
"Mar 31, 1992",22.76
"Feb 29, 1992",22.80
"Jan 31, 1992",22.80
"Dec 31, 1991",22.76
"Nov 30, 1991",22.82
"Oct 31, 1991",22.93
"Sep 30, 1991",23.01
"Aug 31, 1991",23.03
"Jul 31, 1991",23.02
"Jun 30, 1991",22.97
"May 31, 1991",23.02
"Apr 30, 1991",23.06
"Mar 31, 1991",23.07
"Feb 28, 1991",23.09
"Jan 31, 1991",23.11
"Dec 31, 1990",23.23
"Nov 30, 1990",23.07
"Oct 31, 1990",22.96
"Sep 30, 1990",22.94
"Aug 31, 1990",23.02
"Jul 31, 1990",23.12
"Jun 30, 1990",23.09
"May 31, 1990",22.99
"Apr 30, 1990",22.81
"Mar 31, 1990",22.62
"Feb 28, 1990",22.57
"Jan 31, 1990",22.50
"Dec 31, 1989",22.55
"Nov 30, 1989",22.37
"Oct 31, 1989",22.20
"Sep 30, 1989",22.09
"Aug 31, 1989",21.91
"Jul 31, 1989",21.69
"Jun 30, 1989",21.49
"May 31, 1989",21.29
"Apr 30, 1989",21.17
"Mar 31, 1989",21.05
"Feb 28, 1989",20.99
"Jan 31, 1989",20.89
"Dec 31, 1988",20.81
"Nov 30, 1988",20.61
"Oct 31, 1988",20.44
"Sep 30, 1988",20.31
"Aug 31, 1988",20.28
"Jul 31, 1988",20.20
"Jun 30, 1988",20.12
"May 31, 1988",20.00
"Apr 30, 1988",19.86
"Mar 31, 1988",19.76
"Feb 29, 1988",19.74
"Jan 31, 1988",19.69
"Dec 31, 1987",19.64
"Nov 30, 1987",19.52
"Oct 31, 1987",19.43
"Sep 30, 1987",19.37
"Aug 31, 1987",19.37
"Jul 31, 1987",19.36
"Jun 30, 1987",19.31
"May 31, 1987",19.24
"Apr 30, 1987",19.17
"Mar 31, 1987",19.14
"Feb 28, 1987",19.18
"Jan 31, 1987",19.20
"Dec 31, 1986",19.27
"Nov 30, 1986",19.25
"Oct 31, 1986",19.23
"Sep 30, 1986",19.21
"Aug 31, 1986",19.19
"Jul 31, 1986",19.13
"Jun 30, 1986",19.03
"May 31, 1986",19.07
