Date,Value
"Jun 30, 2019",10.44%
"Dec 31, 2018",20.49%
"Dec 31, 2017",16.21%
"Dec 31, 2016",9.27%
"Dec 31, 2015",-15.42%
"Dec 31, 2014",2.11%
"Dec 31, 2013",15.82%
"Dec 31, 2012",-0.51%
"Dec 31, 2011",12.41%
"Dec 31, 2010",51.76%
"Dec 31, 2009",242.54%
"Dec 31, 2008",-77.52%
"Dec 31, 2007",-18.81%
"Dec 31, 2006",16.73%
"Dec 31, 2005",19.27%
"Dec 31, 2004",20.13%
"Dec 31, 2003",76.66%
"Dec 31, 2002",11.75%
"Dec 31, 2001",-50.62%
"Dec 31, 2000",3.80%
"Dec 31, 1999",27.74%
"Dec 31, 1998",-5.06%
"Dec 31, 1997",2.56%
"Dec 31, 1996",14.05%
"Dec 31, 1995",10.98%
"Dec 31, 1994",39.79%
"Dec 31, 1993",14.67%
"Dec 31, 1992",19.54%
"Dec 31, 1991",-25.16%
"Dec 31, 1990",-6.69%
"Dec 31, 1989",-3.71%
