Date,Value
"Sep 30, 2019",133.69
"Aug 31, 2019",134.40
"Jul 31, 2019",135.00
"Jun 30, 2019",135.83
"May 31, 2019",135.56
"Apr 30, 2019",135.56
"Mar 31, 2019",135.98
"Feb 28, 2019",136.07
"Jan 31, 2019",135.96
"Dec 31, 2018",135.54
"Nov 30, 2018",134.43
"Oct 31, 2018",133.30
"Sep 30, 2018",132.85
"Aug 31, 2018",130.32
"Jul 31, 2018",127.70
"Jun 30, 2018",125.02
"May 31, 2018",122.82
"Apr 30, 2018",120.92
"Mar 31, 2018",118.98
"Feb 28, 2018",117.34
"Jan 31, 2018",115.94
"Dec 31, 2017",114.64
"Nov 30, 2017",113.60
"Oct 31, 2017",112.63
"Sep 30, 2017",111.59
"Aug 31, 2017",111.11
"Jul 31, 2017",110.37
"Jun 30, 2017",109.22
"May 31, 2017",108.02
"Apr 30, 2017",106.80
"Mar 31, 2017",105.81
"Feb 28, 2017",103.87
"Jan 31, 2017",102.17
"Dec 31, 2016",100.73
"Nov 30, 2016",98.82
"Oct 31, 2016",96.73
"Sep 30, 2016",94.91
"Aug 31, 2016",94.37
"Jul 31, 2016",93.68
"Jun 30, 2016",92.76
"May 31, 2016",92.89
"Apr 30, 2016",93.10
"Mar 31, 2016",93.36
"Feb 29, 2016",93.80
"Jan 31, 2016",93.91
"Dec 31, 2015",94.10
"Nov 30, 2015",95.27
"Oct 31, 2015",96.55
"Sep 30, 2015",98.00
"Aug 31, 2015",99.38
"Jul 31, 2015",100.76
"Jun 30, 2015",102.30
"May 31, 2015",104.22
"Apr 30, 2015",106.32
"Mar 31, 2015",108.11
"Feb 28, 2015",109.88
"Jan 31, 2015",111.48
"Dec 31, 2014",112.07
"Nov 30, 2014",112.76
"Oct 31, 2014",113.47
"Sep 30, 2014",114.50
"Aug 31, 2014",113.56
"Jul 31, 2014",112.35
"Jun 30, 2014",111.28
"May 31, 2014",110.67
"Apr 30, 2014",110.24
"Mar 31, 2014",109.78
"Feb 28, 2014",110.25
"Jan 31, 2014",110.42
"Dec 31, 2013",110.59
"Nov 30, 2013",108.43
"Oct 31, 2013",106.07
"Sep 30, 2013",103.66
"Aug 31, 2013",102.53
"Jul 31, 2013",101.40
"Jun 30, 2013",100.18
"May 31, 2013",99.23
"Apr 30, 2013",98.21
"Mar 31, 2013",96.91
"Feb 28, 2013",96.72
"Jan 31, 2013",97.07
"Dec 31, 2012",96.91
"Nov 30, 2012",96.65
"Oct 31, 2012",96.19
"Sep 30, 2012",96.14
"Aug 31, 2012",97.10
"Jul 31, 2012",98.17
"Jun 30, 2012",98.54
"May 31, 2012",98.63
"Apr 30, 2012",98.75
"Mar 31, 2012",99.28
"Feb 29, 2012",99.43
"Jan 31, 2012",99.27
"Dec 31, 2011",99.10
"Nov 30, 2011",98.87
"Oct 31, 2011",98.80
"Sep 30, 2011",98.60
"Aug 31, 2011",97.58
"Jul 31, 2011",96.66
"Jun 30, 2011",95.57
"May 31, 2011",94.50
"Apr 30, 2011",93.96
"Mar 31, 2011",93.59
"Feb 28, 2011",92.97
"Jan 31, 2011",91.88
"Dec 31, 2010",90.77
"Nov 30, 2010",88.78
"Oct 31, 2010",86.66
"Sep 30, 2010",84.61
"Aug 31, 2010",82.79
"Jul 31, 2010",81.04
"Jun 30, 2010",79.18
"May 31, 2010",76.68
"Apr 30, 2010",74.31
"Mar 31, 2010",72.01
"Feb 28, 2010",68.37
"Jan 31, 2010",64.44
"Dec 31, 2009",60.71
"Nov 30, 2009",45.37
"Oct 31, 2009",30.16
"Sep 30, 2009",14.93
"Aug 31, 2009",12.95
"Jul 31, 2009",10.97
"Jun 30, 2009",8.96
"May 31, 2009",8.77
"Apr 30, 2009",8.54
"Mar 31, 2009",8.30
"Feb 28, 2009",11.56
"Jan 31, 2009",14.87
"Dec 31, 2008",18.21
"Nov 30, 2008",30.56
"Oct 31, 2008",42.27
"Sep 30, 2008",54.02
"Aug 31, 2008",56.07
"Jul 31, 2008",57.96
"Jun 30, 2008",60.38
"May 31, 2008",64.56
"Apr 30, 2008",68.71
"Mar 31, 2008",72.74
"Feb 29, 2008",75.72
"Jan 31, 2008",78.29
"Dec 31, 2007",81.04
"Nov 30, 2007",86.06
"Oct 31, 2007",91.66
"Sep 30, 2007",96.97
"Aug 31, 2007",99.84
"Jul 31, 2007",102.26
"Jun 30, 2007",104.83
"May 31, 2007",104.31
"Apr 30, 2007",104.21
"Mar 31, 2007",104.15
"Feb 28, 2007",104.40
"Jan 31, 2007",104.27
"Dec 31, 2006",103.89
"Nov 30, 2006",102.79
"Oct 31, 2006",101.39
"Sep 30, 2006",99.60
"Aug 31, 2006",97.40
"Jul 31, 2006",95.87
"Jun 30, 2006",94.43
"May 31, 2006",93.84
"Apr 30, 2006",93.54
"Mar 31, 2006",93.55
"Feb 28, 2006",92.84
"Jan 31, 2006",91.80
"Dec 31, 2005",91.26
"Nov 30, 2005",89.44
"Oct 31, 2005",87.27
"Sep 30, 2005",86.00
"Aug 31, 2005",85.65
"Jul 31, 2005",84.68
"Jun 30, 2005",83.66
"May 31, 2005",82.36
"Apr 30, 2005",80.93
"Mar 31, 2005",80.13
"Feb 28, 2005",80.01
"Jan 31, 2005",79.72
"Dec 31, 2004",79.14
"Nov 30, 2004",78.50
"Oct 31, 2004",78.19
"Sep 30, 2004",78.25
"Aug 31, 2004",77.68
"Jul 31, 2004",76.99
"Jun 30, 2004",76.13
"May 31, 2004",74.49
"Apr 30, 2004",73.04
"Mar 31, 2004",71.37
"Feb 29, 2004",70.33
"Jan 31, 2004",69.20
"Dec 31, 2003",68.02
"Nov 30, 2003",63.23
"Oct 31, 2003",58.35
"Sep 30, 2003",53.58
"Aug 31, 2003",51.88
"Jul 31, 2003",50.20
"Jun 30, 2003",48.38
"May 31, 2003",46.45
"Apr 30, 2003",44.40
"Mar 31, 2003",42.34
"Feb 28, 2003",41.31
"Jan 31, 2003",40.34
"Dec 31, 2002",39.23
"Nov 30, 2002",40.30
"Oct 31, 2002",41.46
"Sep 30, 2002",42.69
"Aug 31, 2002",41.19
"Jul 31, 2002",39.76
"Jun 30, 2002",38.23
"May 31, 2002",37.28
"Apr 30, 2002",36.31
"Mar 31, 2002",35.53
"Feb 28, 2002",35.73
"Jan 31, 2002",35.86
