Date,Value
"Jun 30, 2019",8.41%
"Dec 31, 2018",17.70%
"Dec 31, 2017",13.86%
"Dec 31, 2016",7.81%
"Dec 31, 2015",-15.56%
"Dec 31, 2014",0.55%
"Dec 31, 2013",14.13%
"Dec 31, 2012",-2.45%
"Dec 31, 2011",8.86%
"Dec 31, 2010",49.72%
"Dec 31, 2009",261.66%
"Dec 31, 2008",-79.48%
"Dec 31, 2007",-21.05%
"Dec 31, 2006",13.23%
"Dec 31, 2005",15.28%
"Dec 31, 2004",17.01%
"Dec 31, 2003",72.45%
"Dec 31, 2002",9.96%
"Dec 31, 2001",-51.84%
"Dec 31, 2000",0.30%
"Dec 31, 1999",24.85%
"Dec 31, 1998",-6.49%
"Dec 31, 1997",0.36%
"Dec 31, 1996",10.69%
"Dec 31, 1995",8.10%
"Dec 31, 1994",36.07%
"Dec 31, 1993",11.38%
"Dec 31, 1992",15.90%
"Dec 31, 1991",-28.02%
"Dec 31, 1990",-11.60%
"Dec 31, 1989",-7.94%
