Date,Value
"Jun 30, 2019","1,398.90"
"Dec 31, 2018","1,374.46"
"Dec 31, 2017","1,289.99"
"Dec 31, 2016","1,230.44"
"Dec 31, 2015","1,221.65"
"Dec 31, 2014","1,263.26"
"Dec 31, 2013","1,230.89"
"Dec 31, 2012","1,221.80"
"Dec 31, 2011","1,201.09"
"Dec 31, 2010","1,134.19"
"Dec 31, 2009","1,086.27"
"Dec 31, 2008","1,244.20"
"Dec 31, 2007","1,266.96"
"Dec 31, 2006","1,213.69"
"Dec 31, 2005","1,147.99"
"Dec 31, 2004","1,070.59"
"Dec 31, 2003",991.74
"Dec 31, 2002",963.20
"Dec 31, 2001","1,069.11"
"Dec 31, 2000","1,109.70"
