Date,Value
"Dec 31, 2016",2.65 trillion USD
"Dec 31, 2015",2.89 trillion USD
"Dec 31, 2014",3.02 trillion USD
"Dec 31, 2013",2.74 trillion USD
"Dec 31, 2012",2.66 trillion USD
"Dec 31, 2011",2.62 trillion USD
"Dec 31, 2010",2.44 trillion USD
"Dec 31, 2009",2.38 trillion USD
"Dec 31, 2008",2.89 trillion USD
"Dec 31, 2007",3.07 trillion USD
"Dec 31, 2006",2.69 trillion USD
"Dec 31, 2005",2.52 trillion USD
"Dec 31, 2004",2.40 trillion USD
"Dec 31, 2003",2.04 trillion USD
"Dec 31, 2002",1.77 trillion USD
"Dec 31, 2001",1.62 trillion USD
"Dec 31, 2000",1.65 trillion USD
"Dec 31, 1999",1.67 trillion USD
"Dec 31, 1998",1.64 trillion USD
"Dec 31, 1997",1.55 trillion USD
"Dec 31, 1996",1.41 trillion USD
"Dec 31, 1995",1.34 trillion USD
"Dec 31, 1994",1.14 trillion USD
"Dec 31, 1993",1.06 trillion USD
"Dec 31, 1992",1.18 trillion USD
"Dec 31, 1991",1.14 trillion USD
"Dec 31, 1990",1.09 trillion USD
"Dec 31, 1989",0.93 trillion USD
"Dec 31, 1988",0.91 trillion USD
"Dec 31, 1987",0.75 trillion USD
"Dec 31, 1986",0.60 trillion USD
"Dec 31, 1985",0.49 trillion USD
"Dec 31, 1984",0.46 trillion USD
"Dec 31, 1983",0.49 trillion USD
"Dec 31, 1982",0.52 trillion USD
"Dec 31, 1981",0.54 trillion USD
"Dec 31, 1980",0.56 trillion USD
"Dec 31, 1979",0.44 trillion USD
"Dec 31, 1978",0.34 trillion USD
"Dec 31, 1977",0.26 trillion USD
"Dec 31, 1976",0.23 trillion USD
"Dec 31, 1975",0.24 trillion USD
"Dec 31, 1974",0.21 trillion USD
"Dec 31, 1973",0.19 trillion USD
"Dec 31, 1972",0.17 trillion USD
"Dec 31, 1971",0.15 trillion USD
"Dec 31, 1970",0.13 trillion USD
"Dec 31, 1969",0.11 trillion USD
"Dec 31, 1968",0.10 trillion USD
"Dec 31, 1967",0.11 trillion USD
"Dec 31, 1966",0.11 trillion USD
"Dec 31, 1965",0.10 trillion USD
"Dec 31, 1964",0.09 trillion USD
"Dec 31, 1963",0.09 trillion USD
"Dec 31, 1962",0.08 trillion USD
"Dec 31, 1961",0.08 trillion USD
"Dec 31, 1960",0.07 trillion USD
