Date,Value
"Dec 31, 2016",65.60 million
"Dec 31, 2015",65.13 million
"Dec 31, 2014",64.61 million
"Dec 31, 2013",64.13 million
"Dec 31, 2012",63.70 million
"Dec 31, 2011",63.26 million
"Dec 31, 2010",62.77 million
"Dec 31, 2009",62.28 million
"Dec 31, 2008",61.81 million
"Dec 31, 2007",61.32 million
"Dec 31, 2006",60.85 million
"Dec 31, 2005",60.40 million
"Dec 31, 2004",59.99 million
"Dec 31, 2003",59.65 million
"Dec 31, 2002",59.37 million
"Dec 31, 2001",59.12 million
"Dec 31, 2000",58.89 million
"Dec 31, 1999",58.68 million
"Dec 31, 1998",58.49 million
"Dec 31, 1997",58.32 million
"Dec 31, 1996",58.17 million
"Dec 31, 1995",58.02 million
"Dec 31, 1994",57.87 million
"Dec 31, 1993",57.72 million
"Dec 31, 1992",57.58 million
"Dec 31, 1991",57.42 million
"Dec 31, 1990",57.25 million
"Dec 31, 1989",57.08 million
"Dec 31, 1988",56.93 million
"Dec 31, 1987",56.80 million
"Dec 31, 1986",56.68 million
"Dec 31, 1985",56.55 million
"Dec 31, 1984",56.42 million
"Dec 31, 1983",56.33 million
"Dec 31, 1982",56.31 million
"Dec 31, 1981",56.33 million
"Dec 31, 1980",56.31 million
"Dec 31, 1979",56.25 million
"Dec 31, 1978",56.20 million
"Dec 31, 1977",56.19 million
"Dec 31, 1976",56.21 million
"Dec 31, 1975",56.23 million
"Dec 31, 1974",56.23 million
"Dec 31, 1973",56.19 million
"Dec 31, 1972",56.09 million
"Dec 31, 1971",55.90 million
"Dec 31, 1970",55.66 million
"Dec 31, 1969",55.44 million
"Dec 31, 1968",55.21 million
"Dec 31, 1967",54.94 million
"Dec 31, 1966",54.65 million
"Dec 31, 1965",54.35 million
"Dec 31, 1964",54.00 million
"Dec 31, 1963",53.65 million
"Dec 31, 1962",53.25 million
"Dec 31, 1961",52.80 million
"Dec 31, 1960",52.40 million
