Date,Value
"Dec 31, 2017",4.32%
"Dec 31, 2016",4.81%
"Dec 31, 2015",5.30%
"Dec 31, 2014",6.11%
"Dec 31, 2013",7.53%
"Dec 31, 2012",7.89%
"Dec 31, 2011",8.04%
"Dec 31, 2010",7.79%
"Dec 31, 2009",7.54%
"Dec 31, 2008",5.62%
"Dec 31, 2007",5.26%
"Dec 31, 2006",5.35%
"Dec 31, 2005",4.75%
"Dec 31, 2004",4.59%
"Dec 31, 2003",4.81%
"Dec 31, 2002",5.04%
"Dec 31, 2001",4.70%
"Dec 31, 2000",5.56%
"Dec 31, 1999",6.04%
"Dec 31, 1998",6.20%
"Dec 31, 1997",7.07%
"Dec 31, 1996",8.19%
"Dec 31, 1995",8.69%
"Dec 31, 1994",9.65%
"Dec 31, 1993",10.35%
"Dec 31, 1992",9.78%
"Dec 31, 1991",8.55%
