Date,Value
"Nov 1, 2019",3.50%
"Oct 1, 2019",3.60%
"Sep 1, 2019",3.50%
"Aug 1, 2019",3.70%
"Jul 1, 2019",3.70%
"Jun 1, 2019",3.70%
"May 1, 2019",3.60%
"Apr 1, 2019",3.60%
"Mar 1, 2019",3.80%
"Feb 1, 2019",3.80%
"Jan 1, 2019",4.00%
"Dec 1, 2018",3.90%
"Nov 1, 2018",3.70%
"Oct 1, 2018",3.80%
"Sep 1, 2018",3.70%
"Aug 1, 2018",3.80%
"Jul 1, 2018",3.90%
"Jun 1, 2018",4.00%
"May 1, 2018",3.80%
"Apr 1, 2018",3.90%
"Mar 1, 2018",4.00%
"Feb 1, 2018",4.10%
"Jan 1, 2018",4.10%
"Dec 1, 2017",4.10%
"Nov 1, 2017",4.20%
"Oct 1, 2017",4.10%
"Sep 1, 2017",4.20%
"Aug 1, 2017",4.40%
"Jul 1, 2017",4.30%
"Jun 1, 2017",4.30%
"May 1, 2017",4.40%
"Apr 1, 2017",4.40%
"Mar 1, 2017",4.40%
"Feb 1, 2017",4.70%
"Jan 1, 2017",4.70%
"Dec 1, 2016",4.70%
"Nov 1, 2016",4.70%
"Oct 1, 2016",4.90%
"Sep 1, 2016",5.00%
"Aug 1, 2016",4.90%
"Jul 1, 2016",4.80%
"Jun 1, 2016",4.90%
"May 1, 2016",4.80%
"Apr 1, 2016",5.00%
"Mar 1, 2016",5.00%
"Feb 1, 2016",4.90%
"Jan 1, 2016",4.90%
"Dec 1, 2015",5.00%
"Nov 1, 2015",5.10%
"Oct 1, 2015",5.00%
"Sep 1, 2015",5.00%
"Aug 1, 2015",5.10%
"Jul 1, 2015",5.20%
"Jun 1, 2015",5.30%
"May 1, 2015",5.60%
"Apr 1, 2015",5.40%
"Mar 1, 2015",5.40%
"Feb 1, 2015",5.50%
"Jan 1, 2015",5.70%
"Dec 1, 2014",5.60%
"Nov 1, 2014",5.80%
"Oct 1, 2014",5.70%
"Sep 1, 2014",5.90%
"Aug 1, 2014",6.10%
"Jul 1, 2014",6.20%
"Jun 1, 2014",6.10%
"May 1, 2014",6.30%
"Apr 1, 2014",6.20%
"Mar 1, 2014",6.70%
"Feb 1, 2014",6.70%
"Jan 1, 2014",6.60%
"Dec 1, 2013",6.70%
"Nov 1, 2013",6.90%
"Oct 1, 2013",7.20%
"Sep 1, 2013",7.20%
"Aug 1, 2013",7.20%
"Jul 1, 2013",7.30%
"Jun 1, 2013",7.50%
"May 1, 2013",7.50%
"Apr 1, 2013",7.60%
"Mar 1, 2013",7.50%
"Feb 1, 2013",7.70%
"Jan 1, 2013",8.00%
"Dec 1, 2012",7.90%
"Nov 1, 2012",7.70%
"Oct 1, 2012",7.80%
"Sep 1, 2012",7.80%
"Aug 1, 2012",8.10%
"Jul 1, 2012",8.20%
"Jun 1, 2012",8.20%
"May 1, 2012",8.20%
"Apr 1, 2012",8.20%
"Mar 1, 2012",8.20%
"Feb 1, 2012",8.30%
"Jan 1, 2012",8.30%
"Dec 1, 2011",8.50%
"Nov 1, 2011",8.60%
"Oct 1, 2011",8.80%
"Sep 1, 2011",9.00%
"Aug 1, 2011",9.00%
"Jul 1, 2011",9.00%
"Jun 1, 2011",9.10%
"May 1, 2011",9.00%
"Apr 1, 2011",9.10%
"Mar 1, 2011",9.00%
"Feb 1, 2011",9.00%
"Jan 1, 2011",9.10%
"Dec 1, 2010",9.30%
"Nov 1, 2010",9.80%
"Oct 1, 2010",9.40%
"Sep 1, 2010",9.50%
"Aug 1, 2010",9.50%
"Jul 1, 2010",9.40%
"Jun 1, 2010",9.40%
"May 1, 2010",9.60%
"Apr 1, 2010",9.90%
"Mar 1, 2010",9.90%
"Feb 1, 2010",9.80%
"Jan 1, 2010",9.80%
"Dec 1, 2009",9.90%
"Nov 1, 2009",9.90%
"Oct 1, 2009",10.00%
