Date,Value
"Dec 31, 2016",4.89%
"Dec 31, 2015",4.66%
"Dec 31, 2014",4.26%
"Dec 31, 2013",1.92%
"Dec 31, 2012",2.29%
"Dec 31, 2011",3.39%
"Dec 31, 2010",-0.86%
"Dec 31, 2009",-0.65%
"Dec 31, 2008",1.21%
"Dec 31, 2007",1.56%
"Dec 31, 2006",5.09%
"Dec 31, 2005",4.76%
"Dec 31, 2004",2.37%
"Dec 31, 2003",2.10%
"Dec 31, 2002",-0.61%
"Dec 31, 2001",1.88%
"Dec 31, 2000",4.38%
"Dec 31, 1999",5.56%
"Dec 31, 1998",4.35%
"Dec 31, 1997",5.45%
"Dec 31, 1996",4.86%
"Dec 31, 1995",4.19%
"Dec 31, 1994",4.12%
"Dec 31, 1993",6.66%
"Dec 31, 1992",2.42%
"Dec 31, 1991",1.39%
"Dec 31, 1990",2.42%
"Dec 31, 1989",7.36%
"Dec 31, 1988",4.96%
"Dec 31, 1987",5.37%
"Dec 31, 1986",5.83%
"Dec 31, 1985",5.83%
"Dec 31, 1984",8.12%
"Dec 31, 1983",4.49%
"Dec 31, 1982",6.68%
"Dec 31, 1981",8.18%
"Dec 31, 1980",7.72%
"Dec 31, 1979",10.29%
"Dec 31, 1978",10.12%
"Dec 31, 1977",7.90%
"Dec 31, 1976",8.29%
"Dec 31, 1975",5.23%
"Dec 31, 1974",7.71%
"Dec 31, 1973",7.72%
"Dec 31, 1972",8.70%
"Dec 31, 1971",3.82%
"Dec 31, 1970",4.79%
"Dec 31, 1969",8.95%
"Dec 31, 1968",9.65%
