Date,Value
"Dec 31, 2016","83,143.00"
"Dec 31, 2015","79,263.40"
"Dec 31, 2014","75,737.74"
"Dec 31, 2013","72,641.31"
"Dec 31, 2012","71,274.00"
"Dec 31, 2011","69,676.82"
"Dec 31, 2010","67,391.99"
"Dec 31, 2009","67,976.29"
"Dec 31, 2008","68,424.32"
"Dec 31, 2007","67,608.93"
"Dec 31, 2006","66,570.23"
"Dec 31, 2005","63,344.20"
"Dec 31, 2004","60,466.04"
"Dec 31, 2003","59,066.98"
"Dec 31, 2002","57,852.01"
"Dec 31, 2001","58,208.25"
"Dec 31, 2000","57,134.89"
"Dec 31, 1999","54,736.71"
"Dec 31, 1998","51,855.21"
"Dec 31, 1997","49,692.03"
"Dec 31, 1996","47,123.27"
"Dec 31, 1995","44,937.96"
"Dec 31, 1994","43,132.73"
"Dec 31, 1993","41,427.83"
"Dec 31, 1992","38,839.91"
"Dec 31, 1991","37,921.98"
"Dec 31, 1990","37,402.88"
"Dec 31, 1989","36,520.25"
"Dec 31, 1988","34,016.80"
"Dec 31, 1987","32,409.91"
"Dec 31, 1986","30,759.22"
"Dec 31, 1985","29,066.11"
"Dec 31, 1984","27,463.90"
"Dec 31, 1983","25,400.99"
"Dec 31, 1982","24,309.05"
"Dec 31, 1981","22,786.99"
"Dec 31, 1980","21,063.06"
"Dec 31, 1979","19,553.86"
"Dec 31, 1978","17,729.94"
"Dec 31, 1977","16,100.00"
"Dec 31, 1976","14,921.89"
"Dec 31, 1975","13,779.05"
"Dec 31, 1974","13,093.96"
"Dec 31, 1973","12,157.00"
"Dec 31, 1972","11,286.01"
"Dec 31, 1971","10,382.95"
"Dec 31, 1970","10,000.91"
"Dec 31, 1969","9,543.99"
"Dec 31, 1968","8,760.05"
"Dec 31, 1967","7,989.08"
