Date,Value
"Dec 31, 2016",3.59%
"Dec 31, 2015",4.53%
"Dec 31, 2014",2.58%
"Dec 31, 2013",0.46%
"Dec 31, 2012",0.23%
"Dec 31, 2011",0.20%
"Dec 31, 2010",-2.44%
"Dec 31, 2009",-0.31%
"Dec 31, 2008",-2.54%
"Dec 31, 2007",-1.24%
"Dec 31, 2006",1.79%
"Dec 31, 2005",1.33%
"Dec 31, 2004",-0.32%
"Dec 31, 2003",-0.17%
"Dec 31, 2002",-2.15%
"Dec 31, 2001",-0.94%
"Dec 31, 2000",0.96%
"Dec 31, 1999",3.36%
"Dec 31, 1998",2.96%
"Dec 31, 1997",3.22%
"Dec 31, 1996",2.14%
"Dec 31, 1995",1.73%
"Dec 31, 1994",1.99%
"Dec 31, 1993",4.04%
"Dec 31, 1992",-0.06%
"Dec 31, 1991",-2.17%
"Dec 31, 1990",-2.40%
"Dec 31, 1989",2.86%
"Dec 31, 1988",1.30%
"Dec 31, 1987",1.86%
"Dec 31, 1986",4.00%
"Dec 31, 1985",2.32%
"Dec 31, 1984",3.80%
"Dec 31, 1983",0.21%
"Dec 31, 1982",0.60%
"Dec 31, 1981",-1.15%
"Dec 31, 1980",-3.13%
"Dec 31, 1979",0.73%
"Dec 31, 1978",3.06%
"Dec 31, 1977",1.49%
"Dec 31, 1976",2.40%
"Dec 31, 1975",-2.76%
"Dec 31, 1974",-2.08%
"Dec 31, 1973",1.37%
"Dec 31, 1972",5.53%
"Dec 31, 1971",-0.54%
"Dec 31, 1970",-0.13%
"Dec 31, 1969",4.30%
"Dec 31, 1968",5.51%
