Date,Value
"Dec 31, 2016","83,143.00"
"Dec 31, 2015","80,265.00"
"Dec 31, 2014","76,783.00"
"Dec 31, 2013","74,849.00"
"Dec 31, 2012","74,507.00"
"Dec 31, 2011","74,336.00"
"Dec 31, 2010","74,188.00"
"Dec 31, 2009","76,042.00"
"Dec 31, 2008","76,277.00"
"Dec 31, 2007","78,263.00"
"Dec 31, 2006","79,246.00"
"Dec 31, 2005","77,850.00"
"Dec 31, 2004","76,830.00"
"Dec 31, 2003","77,080.00"
"Dec 31, 2002","77,209.00"
"Dec 31, 2001","78,909.00"
"Dec 31, 2000","79,659.00"
"Dec 31, 1999","78,905.00"
"Dec 31, 1998","76,343.00"
"Dec 31, 1997","74,149.00"
"Dec 31, 1996","71,836.00"
"Dec 31, 1995","70,329.00"
"Dec 31, 1994","69,130.00"
"Dec 31, 1993","67,784.00"
"Dec 31, 1992","65,152.00"
"Dec 31, 1991","65,194.00"
"Dec 31, 1990","66,641.00"
"Dec 31, 1989","68,277.00"
"Dec 31, 1988","66,377.00"
"Dec 31, 1987","65,526.00"
"Dec 31, 1986","64,328.00"
"Dec 31, 1985","61,851.00"
"Dec 31, 1984","60,448.00"
"Dec 31, 1983","58,234.00"
"Dec 31, 1982","58,111.00"
"Dec 31, 1981","57,762.00"
"Dec 31, 1980","58,433.00"
"Dec 31, 1979","60,321.00"
"Dec 31, 1978","59,881.00"
"Dec 31, 1977","58,105.00"
"Dec 31, 1976","57,252.00"
"Dec 31, 1975","55,909.00"
"Dec 31, 1974","57,496.00"
"Dec 31, 1973","58,720.00"
"Dec 31, 1972","57,925.00"
"Dec 31, 1971","54,888.00"
"Dec 31, 1970","55,185.00"
"Dec 31, 1969","55,258.00"
"Dec 31, 1968","52,981.00"
"Dec 31, 1967","50,213.00"
