Date,Value
"Nov 1, 2019",61.00%
"Oct 1, 2019",61.00%
"Sep 1, 2019",61.00%
"Aug 1, 2019",60.90%
"Jul 1, 2019",60.70%
"Jun 1, 2019",60.60%
"May 1, 2019",60.60%
"Apr 1, 2019",60.60%
"Mar 1, 2019",60.60%
"Feb 1, 2019",60.70%
"Jan 1, 2019",60.70%
"Dec 1, 2018",60.60%
"Nov 1, 2018",60.60%
"Oct 1, 2018",60.60%
"Sep 1, 2018",60.40%
"Aug 1, 2018",60.30%
"Jul 1, 2018",60.50%
"Jun 1, 2018",60.40%
"May 1, 2018",60.40%
"Apr 1, 2018",60.30%
"Mar 1, 2018",60.40%
"Feb 1, 2018",60.40%
"Jan 1, 2018",60.20%
"Dec 1, 2017",60.20%
"Nov 1, 2017",60.10%
"Oct 1, 2017",60.20%
"Sep 1, 2017",60.40%
"Aug 1, 2017",60.10%
"Jul 1, 2017",60.10%
"Jun 1, 2017",60.10%
"May 1, 2017",60.00%
"Apr 1, 2017",60.20%
"Mar 1, 2017",60.10%
"Feb 1, 2017",59.90%
"Jan 1, 2017",59.90%
"Dec 1, 2016",59.80%
"Nov 1, 2016",59.80%
"Oct 1, 2016",59.70%
"Sep 1, 2016",59.80%
"Aug 1, 2016",59.80%
"Jul 1, 2016",59.70%
"Jun 1, 2016",59.60%
"May 1, 2016",59.70%
"Apr 1, 2016",59.70%
"Mar 1, 2016",59.80%
"Feb 1, 2016",59.80%
"Jan 1, 2016",59.70%
"Dec 1, 2015",59.60%
"Nov 1, 2015",59.40%
"Oct 1, 2015",59.30%
"Sep 1, 2015",59.20%
"Aug 1, 2015",59.40%
"Jul 1, 2015",59.30%
"Jun 1, 2015",59.30%
"May 1, 2015",59.40%
"Apr 1, 2015",59.30%
"Mar 1, 2015",59.20%
"Feb 1, 2015",59.20%
"Jan 1, 2015",59.30%
"Dec 1, 2014",59.30%
"Nov 1, 2014",59.20%
"Oct 1, 2014",59.30%
"Sep 1, 2014",59.10%
"Aug 1, 2014",59.00%
"Jul 1, 2014",59.00%
"Jun 1, 2014",59.00%
"May 1, 2014",58.90%
"Apr 1, 2014",58.90%
"Mar 1, 2014",58.90%
"Feb 1, 2014",58.70%
"Jan 1, 2014",58.80%
"Dec 1, 2013",58.70%
"Nov 1, 2013",58.60%
"Oct 1, 2013",58.30%
"Sep 1, 2013",58.70%
"Aug 1, 2013",58.70%
"Jul 1, 2013",58.70%
"Jun 1, 2013",58.60%
"May 1, 2013",58.60%
"Apr 1, 2013",58.60%
"Mar 1, 2013",58.50%
"Feb 1, 2013",58.60%
"Jan 1, 2013",58.60%
"Dec 1, 2012",58.70%
"Nov 1, 2012",58.70%
"Oct 1, 2012",58.80%
"Sep 1, 2012",58.70%
"Aug 1, 2012",58.40%
"Jul 1, 2012",58.50%
"Jun 1, 2012",58.60%
"May 1, 2012",58.50%
"Apr 1, 2012",58.40%
"Mar 1, 2012",58.50%
"Feb 1, 2012",58.50%
"Jan 1, 2012",58.40%
"Dec 1, 2011",58.60%
"Nov 1, 2011",58.60%
"Oct 1, 2011",58.40%
"Sep 1, 2011",58.40%
"Aug 1, 2011",58.30%
"Jul 1, 2011",58.20%
"Jun 1, 2011",58.20%
"May 1, 2011",58.30%
"Apr 1, 2011",58.40%
"Mar 1, 2011",58.40%
"Feb 1, 2011",58.40%
"Jan 1, 2011",58.30%
"Dec 1, 2010",58.30%
"Nov 1, 2010",58.20%
"Oct 1, 2010",58.30%
"Sep 1, 2010",58.50%
"Aug 1, 2010",58.60%
"Jul 1, 2010",58.50%
"Jun 1, 2010",58.50%
"May 1, 2010",58.60%
"Apr 1, 2010",58.70%
"Mar 1, 2010",58.50%
"Feb 1, 2010",58.50%
"Jan 1, 2010",58.50%
"Dec 1, 2009",58.30%
"Nov 1, 2009",58.60%
"Oct 1, 2009",58.50%
"Sep 1, 2009",58.70%
"Aug 1, 2009",59.10%
"Jul 1, 2009",59.30%
"Jun 1, 2009",59.40%
"May 1, 2009",59.60%
"Apr 1, 2009",59.80%
"Mar 1, 2009",59.90%
"Feb 1, 2009",60.30%
"Jan 1, 2009",60.60%
"Dec 1, 2008",61.00%
"Nov 1, 2008",61.40%
"Oct 1, 2008",61.70%
"Sep 1, 2008",61.90%
"Aug 1, 2008",62.00%
"Jul 1, 2008",62.20%
"Jun 1, 2008",62.40%
"May 1, 2008",62.50%
