Date,Value
"Sep 30, 2019",19.12 trillion
"Dec 31, 2018",18.78 trillion
"Dec 31, 2017",18.32 trillion
"Dec 31, 2016",17.82 trillion
"Dec 31, 2015",17.47 trillion
"Dec 31, 2014",17.14 trillion
"Dec 31, 2013",16.66 trillion
"Dec 31, 2012",16.24 trillion
"Dec 31, 2011",16.00 trillion
"Dec 31, 2010",15.75 trillion
"Dec 31, 2009",15.36 trillion
"Dec 31, 2008",15.33 trillion
"Dec 31, 2007",15.76 trillion
"Dec 31, 2006",15.46 trillion
"Dec 31, 2005",15.07 trillion
"Dec 31, 2004",14.61 trillion
"Dec 31, 2003",14.15 trillion
"Dec 31, 2002",13.56 trillion
"Dec 31, 2001",13.28 trillion
"Dec 31, 2000",13.26 trillion
"Dec 31, 1999",12.88 trillion
"Dec 31, 1998",12.29 trillion
"Dec 31, 1997",11.72 trillion
"Dec 31, 1996",11.21 trillion
"Dec 31, 1995",10.74 trillion
"Dec 31, 1994",10.51 trillion
"Dec 31, 1993",10.09 trillion
"Dec 31, 1992",9.83 trillion
"Dec 31, 1991",9.42 trillion
"Dec 31, 1990",9.31 trillion
"Dec 31, 1989",9.26 trillion
"Dec 31, 1988",9.01 trillion
"Dec 31, 1987",8.68 trillion
"Dec 31, 1986",8.31 trillion
"Dec 31, 1985",8.07 trillion
"Dec 31, 1984",7.75 trillion
"Dec 31, 1983",7.34 trillion
"Dec 31, 1982",6.80 trillion
"Dec 31, 1981",6.90 trillion
"Dec 31, 1980",6.81 trillion
"Dec 31, 1979",6.82 trillion
"Dec 31, 1978",6.73 trillion
"Dec 31, 1977",6.31 trillion
"Dec 31, 1976",6.01 trillion
"Dec 31, 1975",5.76 trillion
"Dec 31, 1974",5.62 trillion
"Dec 31, 1973",5.73 trillion
"Dec 31, 1972",5.51 trillion
"Dec 31, 1971",5.15 trillion
"Dec 31, 1970",4.94 trillion
"Dec 31, 1969",4.94 trillion
"Dec 31, 1968",4.84 trillion
"Dec 31, 1967",4.62 trillion
"Dec 31, 1966",4.50 trillion
"Dec 31, 1965",4.30 trillion
"Dec 31, 1964",3.97 trillion
"Dec 31, 1963",3.77 trillion
"Dec 31, 1962",3.59 trillion
"Dec 31, 1961",3.44 trillion
"Dec 31, 1960",3.23 trillion
"Dec 31, 1959",3.20 trillion
"Dec 31, 1958",3.06 trillion
"Dec 31, 1957",2.98 trillion
"Dec 31, 1956",2.97 trillion
"Dec 31, 1955",2.91 trillion
"Dec 31, 1954",2.74 trillion
"Dec 31, 1953",2.66 trillion
"Dec 31, 1952",2.65 trillion
"Dec 31, 1951",2.51 trillion
"Dec 31, 1950",2.38 trillion
"Dec 31, 1949",2.10 trillion
"Dec 31, 1948",2.13 trillion
"Dec 31, 1947",2.06 trillion
"Dec 31, 1946",2.06 trillion
"Dec 31, 1945",2.33 trillion
"Dec 31, 1944",2.35 trillion
"Dec 31, 1943",2.18 trillion
"Dec 31, 1942",1.86 trillion
"Dec 31, 1941",1.57 trillion
"Dec 31, 1940",1.33 trillion
"Dec 31, 1939",1.22 trillion
"Dec 31, 1938",1.13 trillion
"Dec 31, 1937",1.17 trillion
"Dec 31, 1936",1.11 trillion
"Dec 31, 1935",0.99 trillion
"Dec 31, 1934",0.91 trillion
"Dec 31, 1933",0.82 trillion
"Dec 31, 1932",0.83 trillion
"Dec 31, 1931",0.95 trillion
"Dec 31, 1930",1.02 trillion
"Dec 31, 1929",1.11 trillion
