Date,Value
"Sep 30, 2019","65,368.35"
"Dec 31, 2018","63,696.80"
"Dec 31, 2017","61,088.42"
"Dec 31, 2016","58,608.48"
"Dec 31, 2015","57,020.65"
"Dec 31, 2014","55,867.06"
"Dec 31, 2013","53,868.06"
"Dec 31, 2012","51,945.49"
"Dec 31, 2011","50,529.41"
"Dec 31, 2010","49,106.71"
"Dec 31, 2009","47,500.54"
"Dec 31, 2008","47,689.34"
"Dec 31, 2007","48,528.53"
"Dec 31, 2006","46,844.04"
"Dec 31, 2005","44,925.86"
"Dec 31, 2004","42,590.98"
"Dec 31, 2003","40,393.77"
"Dec 31, 2002","38,335.60"
"Dec 31, 2001","37,255.67"
"Dec 31, 2000","36,829.97"
"Dec 31, 1999","35,296.18"
"Dec 31, 1998","33,519.75"
"Dec 31, 1997","31,979.24"
"Dec 31, 1996","30,494.85"
"Dec 31, 1995","29,037.74"
"Dec 31, 1994","28,185.12"
"Dec 31, 1993","26,836.24"
"Dec 31, 1992","25,888.35"
"Dec 31, 1991","24,612.34"
"Dec 31, 1990","23,923.14"
"Dec 31, 1989","23,182.18"
"Dec 31, 1988","21,996.96"
"Dec 31, 1987","20,591.28"
"Dec 31, 1986","19,323.64"
"Dec 31, 1985","18,606.69"
"Dec 31, 1984","17,526.87"
"Dec 31, 1983","16,172.50"
"Dec 31, 1982","14,631.63"
"Dec 31, 1981","14,240.71"
"Dec 31, 1980","13,085.64"
"Dec 31, 1979","12,054.83"
"Dec 31, 1978","11,076.67"
"Dec 31, 1977","9,783.63"
"Dec 31, 1976","8,834.29"
"Dec 31, 1975","8,125.17"
"Dec 31, 1974","7,449.58"
"Dec 31, 1973","6,940.13"
"Dec 31, 1972","6,306.03"
"Dec 31, 1971","5,706.35"
"Dec 31, 1970","5,280.90"
"Dec 31, 1969","5,097.06"
"Dec 31, 1968","4,803.32"
"Dec 31, 1967","4,417.10"
"Dec 31, 1966","4,220.16"
"Dec 31, 1965","3,953.52"
"Dec 31, 1964","3,614.93"
"Dec 31, 1963","3,435.35"
"Dec 31, 1962","3,262.74"
"Dec 31, 1961","3,140.46"
"Dec 31, 1960","2,969.28"
"Dec 31, 1959","2,952.85"
"Dec 31, 1958","2,836.86"
"Dec 31, 1957","2,742.05"
"Dec 31, 1956","2,705.85"
"Dec 31, 1955","2,614.71"
"Dec 31, 1954","2,433.69"
"Dec 31, 1953","2,392.04"
"Dec 31, 1952","2,400.26"
"Dec 31, 1951","2,283.44"
"Dec 31, 1950","2,085.98"
"Dec 31, 1949","1,798.33"
"Dec 31, 1948","1,898.49"
"Dec 31, 1947","1,788.94"
"Dec 31, 1946","1,596.16"
"Dec 31, 1945","1,622.35"
"Dec 31, 1944","1,613.98"
"Dec 31, 1943","1,477.84"
"Dec 31, 1942","1,223.80"
"Dec 31, 1941",964.86
"Dec 31, 1940",775.69
"Dec 31, 1939",710.82
"Dec 31, 1938",670.94
"Dec 31, 1937",719.58
"Dec 31, 1936",660.57
"Dec 31, 1935",581.57
"Dec 31, 1934",527.07
"Dec 31, 1933",454.29
"Dec 31, 1932",475.44
"Dec 31, 1931",622.32
"Dec 31, 1930",746.69
"Dec 31, 1929",855.18
