Date,Value
"Sep 30, 2019",21.54 trillion
"Dec 31, 2018",20.90 trillion
"Dec 31, 2017",19.92 trillion
"Dec 31, 2016",18.99 trillion
"Dec 31, 2015",18.35 trillion
"Dec 31, 2014",17.85 trillion
"Dec 31, 2013",17.08 trillion
"Dec 31, 2012",16.36 trillion
"Dec 31, 2011",15.80 trillion
"Dec 31, 2010",15.24 trillion
"Dec 31, 2009",14.63 trillion
"Dec 31, 2008",14.56 trillion
"Dec 31, 2007",14.68 trillion
"Dec 31, 2006",14.04 trillion
"Dec 31, 2005",13.33 trillion
"Dec 31, 2004",12.52 trillion
"Dec 31, 2003",11.77 trillion
"Dec 31, 2002",11.07 trillion
"Dec 31, 2001",10.66 trillion
"Dec 31, 2000",10.44 trillion
"Dec 31, 1999",9.90 trillion
"Dec 31, 1998",9.29 trillion
"Dec 31, 1997",8.77 trillion
"Dec 31, 1996",8.26 trillion
"Dec 31, 1995",7.77 trillion
"Dec 31, 1994",7.46 trillion
"Dec 31, 1993",7.01 trillion
"Dec 31, 1992",6.68 trillion
"Dec 31, 1991",6.26 trillion
"Dec 31, 1990",6.00 trillion
"Dec 31, 1989",5.75 trillion
"Dec 31, 1988",5.40 trillion
"Dec 31, 1987",5.01 trillion
"Dec 31, 1986",4.66 trillion
"Dec 31, 1985",4.44 trillion
"Dec 31, 1984",4.15 trillion
"Dec 31, 1983",3.79 trillion
"Dec 31, 1982",3.40 trillion
"Dec 31, 1981",3.28 trillion
"Dec 31, 1980",2.99 trillion
"Dec 31, 1979",2.72 trillion
"Dec 31, 1978",2.48 trillion
"Dec 31, 1977",2.16 trillion
"Dec 31, 1976",1.93 trillion
"Dec 31, 1975",1.76 trillion
"Dec 31, 1974",1.60 trillion
"Dec 31, 1973",1.48 trillion
"Dec 31, 1972",1.33 trillion
"Dec 31, 1971",1.19 trillion
"Dec 31, 1970",1.09 trillion
"Dec 31, 1969",1.04 trillion
"Dec 31, 1968",0.97 trillion
"Dec 31, 1967",0.88 trillion
"Dec 31, 1966",0.83 trillion
"Dec 31, 1965",0.77 trillion
"Dec 31, 1964",0.70 trillion
"Dec 31, 1963",0.65 trillion
"Dec 31, 1962",0.61 trillion
"Dec 31, 1961",0.58 trillion
"Dec 31, 1960",0.54 trillion
"Dec 31, 1959",0.53 trillion
"Dec 31, 1958",0.50 trillion
"Dec 31, 1957",0.47 trillion
"Dec 31, 1956",0.46 trillion
"Dec 31, 1955",0.44 trillion
"Dec 31, 1954",0.40 trillion
"Dec 31, 1953",0.39 trillion
"Dec 31, 1952",0.38 trillion
"Dec 31, 1951",0.36 trillion
"Dec 31, 1950",0.32 trillion
"Dec 31, 1949",0.27 trillion
"Dec 31, 1948",0.28 trillion
"Dec 31, 1947",0.26 trillion
"Dec 31, 1946",0.23 trillion
"Dec 31, 1945",0.23 trillion
"Dec 31, 1944",0.22 trillion
"Dec 31, 1943",0.20 trillion
"Dec 31, 1942",0.17 trillion
"Dec 31, 1941",0.13 trillion
"Dec 31, 1940",0.10 trillion
"Dec 31, 1939",0.09 trillion
"Dec 31, 1938",0.09 trillion
"Dec 31, 1937",0.09 trillion
"Dec 31, 1936",0.08 trillion
"Dec 31, 1935",0.07 trillion
"Dec 31, 1934",0.07 trillion
"Dec 31, 1933",0.06 trillion
"Dec 31, 1932",0.06 trillion
"Dec 31, 1931",0.08 trillion
"Dec 31, 1930",0.09 trillion
"Dec 31, 1929",0.10 trillion
