Date,Value
"Dec 31, 2017",126.22 million
"Dec 31, 2016",125.82 million
"Dec 31, 2015",124.59 million
"Dec 31, 2014",123.23 million
"Dec 31, 2013",122.46 million
"Dec 31, 2012",121.08 million
"Dec 31, 2011",119.93 million
"Dec 31, 2010",117.54 million
"Dec 31, 2009",117.18 million
"Dec 31, 2008",116.78 million
"Dec 31, 2007",116.01 million
"Dec 31, 2006",114.38 million
"Dec 31, 2005",113.34 million
"Dec 31, 2004",112.00 million
"Dec 31, 2003",111.28 million
"Dec 31, 2002",109.30 million
"Dec 31, 2001",108.21 million
"Dec 31, 2000",104.71 million
"Dec 31, 1999",103.87 million
"Dec 31, 1998",102.53 million
"Dec 31, 1997",101.02 million
"Dec 31, 1996",99.63 million
"Dec 31, 1995",98.99 million
"Dec 31, 1994",97.11 million
"Dec 31, 1993",96.43 million
"Dec 31, 1992",95.67 million
"Dec 31, 1991",94.31 million
"Dec 31, 1990",93.35 million
"Dec 31, 1989",92.83 million
"Dec 31, 1988",91.12 million
"Dec 31, 1987",89.48 million
"Dec 31, 1986",88.46 million
"Dec 31, 1985",86.79 million
"Dec 31, 1984",85.29 million
"Dec 31, 1983",83.92 million
"Dec 31, 1982",83.53 million
"Dec 31, 1981",82.37 million
"Dec 31, 1980",80.78 million
"Dec 31, 1979",77.33 million
"Dec 31, 1978",76.03 million
"Dec 31, 1977",74.14 million
"Dec 31, 1976",72.87 million
"Dec 31, 1975",71.12 million
"Dec 31, 1974",69.86 million
"Dec 31, 1973",68.25 million
"Dec 31, 1972",66.68 million
"Dec 31, 1971",64.78 million
"Dec 31, 1970",63.40 million
"Dec 31, 1969",62.21 million
"Dec 31, 1968",60.81 million
"Dec 31, 1967",59.24 million
"Dec 31, 1966",58.41 million
"Dec 31, 1965",57.44 million
"Dec 31, 1964",56.15 million
"Dec 31, 1963",55.27 million
"Dec 31, 1962",54.76 million
"Dec 31, 1961",53.56 million
"Dec 31, 1960",52.80 million
"Dec 31, 1959",51.44 million
"Dec 31, 1958",50.47 million
"Dec 31, 1957",49.67 million
"Dec 31, 1956",48.90 million
"Dec 31, 1955",47.87 million
"Dec 31, 1954",46.96 million
"Dec 31, 1953",46.38 million
"Dec 31, 1952",45.54 million
"Dec 31, 1951",44.67 million
"Dec 31, 1950",43.55 million
"Dec 31, 1949",42.18 million
"Dec 31, 1948",40.53 million
"Dec 31, 1947",39.11 million
"Dec 31, 1940",34.95 million
