Date,Value
"Dec 31, 2016",4.90%
"Dec 31, 2015",4.89%
"Dec 31, 2014",0.50%
"Dec 31, 2013",4.16%
"Dec 31, 2013",1.94%
"Dec 31, 2012",2.64%
"Dec 31, 2011",3.75%
"Dec 31, 2010",0.11%
"Dec 31, 2009",-1.61%
"Dec 31, 2008",0.60%
"Dec 31, 2007",1.72%
"Dec 31, 2006",5.26%
"Dec 31, 2005",4.94%
"Dec 31, 2004",2.50%
"Dec 31, 2003",2.11%
"Dec 31, 2002",-0.25%
"Dec 31, 2001",2.26%
"Dec 31, 2000",5.21%
"Dec 31, 1999",5.56%
"Dec 31, 1998",4.57%
"Dec 31, 1997",6.09%
"Dec 31, 1996",5.28%
"Dec 31, 1995",4.06%
"Dec 31, 1994",4.93%
"Dec 31, 1993",6.26%
"Dec 31, 1992",1.57%
"Dec 31, 1991",1.60%
"Dec 31, 1990",2.35%
"Dec 31, 1989",7.11%
"Dec 31, 1988",5.91%
"Dec 31, 1987",6.18%
"Dec 31, 1986",5.97%
"Dec 31, 1985",6.63%
"Dec 31, 1984",8.78%
"Dec 31, 1983",5.72%
"Dec 31, 1982",5.95%
"Dec 31, 1981",8.85%
"Dec 31, 1980",8.64%
"Dec 31, 1979",11.05%
"Dec 31, 1978",11.58%
"Dec 31, 1977",9.75%
"Dec 31, 1976",9.40%
"Dec 31, 1975",8.39%
"Dec 31, 1974",7.34%
"Dec 31, 1973",9.87%
"Dec 31, 1972",10.30%
"Dec 31, 1971",7.55%
"Dec 31, 1970",5.65%
"Dec 31, 1969",10.11%
"Dec 31, 1968",10.84%
