Date,Value
"Dec 31, 2016","33,205.00"
"Dec 31, 2015","31,653.00"
"Dec 31, 2014","30,176.00"
"Dec 31, 2013","30,027.00"
"Dec 31, 2013","28,829.00"
"Dec 31, 2012","28,281.00"
"Dec 31, 2011","27,554.00"
"Dec 31, 2010","26,558.00"
"Dec 31, 2009","26,530.00"
"Dec 31, 2008","26,964.00"
"Dec 31, 2007","26,804.00"
"Dec 31, 2006","26,352.00"
"Dec 31, 2005","25,036.00"
"Dec 31, 2004","23,857.00"
"Dec 31, 2003","23,276.00"
"Dec 31, 2002","22,794.00"
"Dec 31, 2001","22,851.00"
"Dec 31, 2000","22,346.00"
"Dec 31, 1999","21,239.00"
"Dec 31, 1998","20,120.00"
"Dec 31, 1997","19,241.00"
"Dec 31, 1996","18,136.00"
"Dec 31, 1995","17,227.00"
"Dec 31, 1994","16,555.00"
"Dec 31, 1993","15,777.00"
"Dec 31, 1992","14,847.00"
"Dec 31, 1991","14,617.00"
"Dec 31, 1990","14,387.00"
"Dec 31, 1989","14,056.00"
"Dec 31, 1988","13,123.00"
"Dec 31, 1987","12,391.00"
"Dec 31, 1986","11,670.00"
"Dec 31, 1985","11,013.00"
"Dec 31, 1984","10,328.00"
"Dec 31, 1983","9,494.00"
"Dec 31, 1982","8,980.00"
"Dec 31, 1981","8,476.00"
"Dec 31, 1980","7,787.00"
"Dec 31, 1979","7,168.00"
"Dec 31, 1978","6,455.00"
"Dec 31, 1977","5,785.00"
"Dec 31, 1976","5,271.00"
"Dec 31, 1975","4,818.00"
"Dec 31, 1974","4,445.00"
"Dec 31, 1973","4,141.00"
"Dec 31, 1972","3,769.00"
"Dec 31, 1971","3,417.00"
"Dec 31, 1970","3,177.00"
"Dec 31, 1969","3,007.00"
"Dec 31, 1968","2,731.00"
"Dec 31, 1967","2,464.00"
