Date,Value
"Nov 1, 2019",0.74%
"Oct 1, 2019",0.77%
"Sep 1, 2019",0.80%
"Aug 1, 2019",0.76%
"Jul 1, 2019",0.71%
"Jun 1, 2019",0.87%
"May 1, 2019",0.80%
"Apr 1, 2019",0.76%
"Mar 1, 2019",0.80%
"Feb 1, 2019",0.78%
"Jan 1, 2019",0.77%
"Dec 1, 2018",0.80%
"Nov 1, 2018",0.77%
"Oct 1, 2018",0.84%
"Sep 1, 2018",0.85%
"Aug 1, 2018",0.82%
"Jul 1, 2018",0.87%
"Jun 1, 2018",0.90%
"May 1, 2018",0.74%
"Apr 1, 2018",0.81%
"Mar 1, 2018",0.83%
"Feb 1, 2018",0.87%
"Jan 1, 2018",0.89%
"Dec 1, 2017",0.94%
"Nov 1, 2017",0.99%
"Oct 1, 2017",1.01%
"Sep 1, 2017",1.07%
"Aug 1, 2017",1.07%
"Jul 1, 2017",1.08%
"Jun 1, 2017",1.07%
"May 1, 2017",1.05%
"Apr 1, 2017",1.03%
"Mar 1, 2017",1.05%
"Feb 1, 2017",1.11%
"Jan 1, 2017",1.15%
"Dec 1, 2016",1.17%
"Nov 1, 2016",1.17%
"Oct 1, 2016",1.23%
"Sep 1, 2016",1.22%
"Aug 1, 2016",1.24%
"Jul 1, 2016",1.23%
"Jun 1, 2016",1.27%
"May 1, 2016",1.20%
"Apr 1, 2016",1.32%
"Mar 1, 2016",1.39%
"Feb 1, 2016",1.35%
"Jan 1, 2016",1.31%
"Dec 1, 2015",1.34%
"Nov 1, 2015",1.31%
"Oct 1, 2015",1.36%
"Sep 1, 2015",1.34%
"Aug 1, 2015",1.38%
"Jul 1, 2015",1.36%
"Jun 1, 2015",1.38%
"May 1, 2015",1.59%
"Apr 1, 2015",1.63%
"Mar 1, 2015",1.63%
"Feb 1, 2015",1.70%
"Jan 1, 2015",1.76%
"Dec 1, 2014",1.79%
"Nov 1, 2014",1.81%
"Oct 1, 2014",1.85%
"Sep 1, 2014",1.89%
"Aug 1, 2014",1.89%
"Jul 1, 2014",2.01%
"Jun 1, 2014",2.00%
"May 1, 2014",2.16%
"Apr 1, 2014",2.24%
"Mar 1, 2014",2.37%
"Feb 1, 2014",2.43%
"Jan 1, 2014",2.32%
"Dec 1, 2013",2.49%
"Nov 1, 2013",2.60%
"Oct 1, 2013",2.60%
"Sep 1, 2013",2.65%
"Aug 1, 2013",2.76%
"Jul 1, 2013",2.74%
"Jun 1, 2013",2.80%
"May 1, 2013",2.79%
"Apr 1, 2013",2.88%
"Mar 1, 2013",2.94%
"Feb 1, 2013",3.02%
"Jan 1, 2013",3.01%
"Dec 1, 2012",3.06%
"Nov 1, 2012",3.09%
"Oct 1, 2012",3.21%
"Sep 1, 2012",3.17%
"Aug 1, 2012",3.26%
"Jul 1, 2012",3.36%
"Jun 1, 2012",3.49%
"May 1, 2012",3.49%
"Apr 1, 2012",3.32%
"Mar 1, 2012",3.38%
"Feb 1, 2012",3.39%
"Jan 1, 2012",3.55%
"Dec 1, 2011",3.63%
"Nov 1, 2011",3.70%
"Oct 1, 2011",3.79%
"Sep 1, 2011",4.09%
"Aug 1, 2011",3.93%
"Jul 1, 2011",4.04%
"Jun 1, 2011",4.09%
"May 1, 2011",4.01%
"Apr 1, 2011",3.86%
"Mar 1, 2011",3.98%
"Feb 1, 2011",3.85%
"Jan 1, 2011",4.03%
"Dec 1, 2010",4.18%
"Nov 1, 2010",4.10%
"Oct 1, 2010",4.05%
"Sep 1, 2010",4.00%
"Aug 1, 2010",4.06%
"Jul 1, 2010",4.23%
"Jun 1, 2010",4.31%
"May 1, 2010",4.31%
"Apr 1, 2010",4.40%
"Mar 1, 2010",4.25%
"Feb 1, 2010",3.99%
"Jan 1, 2010",4.12%
"Dec 1, 2009",4.00%
"Nov 1, 2009",3.84%
"Oct 1, 2009",3.67%
"Sep 1, 2009",3.57%
"Aug 1, 2009",3.26%
"Jul 1, 2009",3.18%
"Jun 1, 2009",2.81%
"May 1, 2009",2.57%
"Apr 1, 2009",2.43%
"Mar 1, 2009",2.12%
"Feb 1, 2009",1.94%
"Jan 1, 2009",1.75%
"Dec 1, 2008",1.69%
"Nov 1, 2008",1.43%
"Oct 1, 2008",1.47%
"Sep 1, 2008",1.31%
"Aug 1, 2008",1.21%
"Jul 1, 2008",1.08%
"Jun 1, 2008",1.02%
"May 1, 2008",1.01%
"Apr 1, 2008",0.89%
"Mar 1, 2008",0.86%
"Feb 1, 2008",0.86%
"Jan 1, 2008",0.90%
"Dec 1, 2007",0.86%
"Nov 1, 2007",0.89%
"Oct 1, 2007",0.85%
"Sep 1, 2007",0.82%
"Aug 1, 2007",0.82%
"Jul 1, 2007",0.84%
"Jun 1, 2007",0.75%
"May 1, 2007",0.74%
"Apr 1, 2007",0.79%
"Mar 1, 2007",0.81%
"Feb 1, 2007",0.82%
"Jan 1, 2007",0.75%
"Dec 1, 2006",0.72%
"Nov 1, 2006",0.74%
"Oct 1, 2006",0.71%
"Sep 1, 2006",0.82%
"Aug 1, 2006",0.86%
"Jul 1, 2006",0.86%
"Jun 1, 2006",0.76%
"May 1, 2006",0.88%
"Apr 1, 2006",0.88%
"Mar 1, 2006",0.87%
"Feb 1, 2006",0.90%
"Jan 1, 2006",0.78%
"Dec 1, 2005",0.90%
"Nov 1, 2005",0.91%
"Oct 1, 2005",0.95%
"Sep 1, 2005",0.96%
"Aug 1, 2005",0.94%
"Jul 1, 2005",0.92%
"Jun 1, 2005",0.92%
"May 1, 2005",1.03%
"Apr 1, 2005",1.08%
"Mar 1, 2005",1.12%
"Feb 1, 2005",1.10%
"Jan 1, 2005",1.11%
"Dec 1, 2004",1.12%
"Nov 1, 2004",1.15%
"Oct 1, 2004",1.18%
"Sep 1, 2004",1.15%
"Aug 1, 2004",1.11%
"Jul 1, 2004",1.14%
"Jun 1, 2004",1.25%
"May 1, 2004",1.22%
"Apr 1, 2004",1.23%
"Mar 1, 2004",1.35%
"Feb 1, 2004",1.27%
"Jan 1, 2004",1.30%
"Dec 1, 2003",1.32%
"Nov 1, 2003",1.36%
"Oct 1, 2003",1.34%
"Sep 1, 2003",1.37%
"Aug 1, 2003",1.36%
"Jul 1, 2003",1.35%
"Jun 1, 2003",1.43%
"May 1, 2003",1.32%
"Apr 1, 2003",1.32%
"Mar 1, 2003",1.23%
"Feb 1, 2003",1.28%
"Jan 1, 2003",1.21%
"Dec 1, 2002",1.33%
"Nov 1, 2002",1.20%
"Oct 1, 2002",1.14%
"Sep 1, 2002",1.09%
"Aug 1, 2002",1.08%
"Jul 1, 2002",1.09%
"Jun 1, 2002",1.13%
"May 1, 2002",1.09%
"Apr 1, 2002",1.01%
"Mar 1, 2002",0.92%
"Feb 1, 2002",0.84%
"Jan 1, 2002",0.84%
"Dec 1, 2001",0.78%
"Nov 1, 2001",0.77%
"Oct 1, 2001",0.63%
"Sep 1, 2001",0.57%
"Aug 1, 2001",0.60%
"Jul 1, 2001",0.49%
"Jun 1, 2001",0.50%
"May 1, 2001",0.44%
"Apr 1, 2001",0.50%
"Mar 1, 2001",0.48%
"Feb 1, 2001",0.50%
"Jan 1, 2001",0.47%
"Dec 1, 2000",0.45%
"Nov 1, 2000",0.41%
"Oct 1, 2000",0.44%
"Sep 1, 2000",0.45%
"Aug 1, 2000",0.50%
"Jul 1, 2000",0.49%
"Jun 1, 2000",0.44%
"May 1, 2000",0.45%
"Apr 1, 2000",0.42%
"Mar 1, 2000",0.45%
"Feb 1, 2000",0.44%
"Jan 1, 2000",0.51%
"Dec 1, 1999",0.49%
"Nov 1, 1999",0.49%
"Oct 1, 1999",0.52%
"Sep 1, 1999",0.51%
"Aug 1, 1999",0.51%
"Jul 1, 1999",0.52%
"Jun 1, 1999",0.58%
"May 1, 1999",0.52%
"Apr 1, 1999",0.50%
"Mar 1, 1999",0.51%
"Feb 1, 1999",0.58%
"Jan 1, 1999",0.51%
"Dec 1, 1998",0.58%
"Nov 1, 1998",0.63%
"Oct 1, 1998",0.62%
"Sep 1, 1998",0.66%
"Aug 1, 1998",0.59%
"Jul 1, 1998",0.60%
"Jun 1, 1998",0.57%
"May 1, 1998",0.61%
"Apr 1, 1998",0.64%
"Mar 1, 1998",0.67%
"Feb 1, 1998",0.70%
"Jan 1, 1998",0.73%
"Dec 1, 1997",0.72%
"Nov 1, 1997",0.68%
"Oct 1, 1997",0.76%
"Sep 1, 1997",0.79%
"Aug 1, 1997",0.79%
"Jul 1, 1997",0.79%
"Jun 1, 1997",0.79%
"May 1, 1997",0.77%
"Apr 1, 1997",0.81%
"Mar 1, 1997",0.81%
"Feb 1, 1997",0.82%
"Jan 1, 1997",0.85%
"Dec 1, 1996",0.85%
"Nov 1, 1996",0.85%
"Oct 1, 1996",0.88%
"Sep 1, 1996",0.90%
"Aug 1, 1996",0.94%
"Jul 1, 1996",0.99%
"Jun 1, 1996",1.02%
"May 1, 1996",1.02%
"Apr 1, 1996",1.01%
"Mar 1, 1996",1.00%
"Feb 1, 1996",0.90%
"Jan 1, 1996",0.91%
"Dec 1, 1995",0.92%
"Nov 1, 1995",0.95%
"Oct 1, 1995",0.92%
"Sep 1, 1995",0.95%
"Aug 1, 1995",0.93%
"Jul 1, 1995",0.94%
"Jun 1, 1995",0.94%
"May 1, 1995",1.00%
"Apr 1, 1995",1.07%
"Mar 1, 1995",1.01%
"Feb 1, 1995",0.93%
"Jan 1, 1995",1.01%
"Dec 1, 1994",1.04%
"Nov 1, 1994",1.11%
"Oct 1, 1994",1.21%
"Sep 1, 1994",1.17%
"Aug 1, 1994",1.20%
"Jul 1, 1994",1.20%
"Jun 1, 1994",1.21%
"May 1, 1994",1.30%
"Apr 1, 1994",1.34%
"Mar 1, 1994",1.37%
"Feb 1, 1994",1.35%
"Jan 1, 1994",1.33%
"Dec 1, 1993",1.37%
"Nov 1, 1993",1.39%
"Oct 1, 1993",1.40%
"Sep 1, 1993",1.36%
"Aug 1, 1993",1.37%
"Jul 1, 1993",1.37%
"Jun 1, 1993",1.38%
"May 1, 1993",1.37%
"Apr 1, 1993",1.27%
"Mar 1, 1993",1.40%
"Feb 1, 1993",1.48%
"Jan 1, 1993",1.53%
"Dec 1, 1992",1.60%
"Nov 1, 1992",1.55%
"Oct 1, 1992",1.71%
"Sep 1, 1992",1.64%
"Aug 1, 1992",1.61%
"Jul 1, 1992",1.65%
"Jun 1, 1992",1.67%
"May 1, 1992",1.55%
"Apr 1, 1992",1.37%
"Mar 1, 1992",1.39%
"Feb 1, 1992",1.34%
"Jan 1, 1992",1.28%
"Dec 1, 1991",1.19%
"Nov 1, 1991",1.09%
"Oct 1, 1991",0.98%
"Sep 1, 1991",0.94%
"Aug 1, 1991",0.93%
"Jul 1, 1991",0.88%
"Jun 1, 1991",0.88%
"May 1, 1991",0.83%
"Apr 1, 1991",0.77%
"Mar 1, 1991",0.75%
"Feb 1, 1991",0.72%
"Jan 1, 1991",0.69%
"Dec 1, 1990",0.66%
"Nov 1, 1990",0.66%
"Oct 1, 1990",0.62%
"Sep 1, 1990",0.62%
"Aug 1, 1990",0.58%
"Jul 1, 1990",0.55%
"Jun 1, 1990",0.51%
"May 1, 1990",0.51%
"Apr 1, 1990",0.52%
"Mar 1, 1990",0.51%
"Feb 1, 1990",0.50%
"Jan 1, 1990",0.51%
"Dec 1, 1989",0.51%
"Nov 1, 1989",0.53%
"Oct 1, 1989",0.52%
"Sep 1, 1989",0.48%
"Aug 1, 1989",0.45%
"Jul 1, 1989",0.50%
"Jun 1, 1989",0.49%
"May 1, 1989",0.51%
"Apr 1, 1989",0.58%
"Mar 1, 1989",0.54%
"Feb 1, 1989",0.52%
"Jan 1, 1989",0.59%
"Dec 1, 1988",0.60%
"Nov 1, 1988",0.57%
"Oct 1, 1988",0.63%
"Sep 1, 1988",0.67%
"Aug 1, 1988",0.65%
"Jul 1, 1988",0.65%
"Jun 1, 1988",0.66%
"May 1, 1988",0.70%
"Apr 1, 1988",0.67%
"Mar 1, 1988",0.70%
"Feb 1, 1988",0.73%
"Jan 1, 1988",0.72%
"Dec 1, 1987",0.75%
"Nov 1, 1987",0.77%
"Oct 1, 1987",0.79%
"Sep 1, 1987",0.82%
"Aug 1, 1987",0.87%
"Jul 1, 1987",0.82%
"Jun 1, 1987",0.90%
"May 1, 1987",0.93%
"Apr 1, 1987",0.90%
"Mar 1, 1987",0.94%
"Feb 1, 1987",0.93%
"Jan 1, 1987",0.96%
"Dec 1, 1986",0.97%
"Nov 1, 1986",0.98%
"Oct 1, 1986",1.02%
"Sep 1, 1986",1.04%
"Aug 1, 1986",1.01%
"Jul 1, 1986",1.03%
"Jun 1, 1986",1.08%
"May 1, 1986",0.99%
"Apr 1, 1986",1.00%
"Mar 1, 1986",1.00%
"Feb 1, 1986",1.01%
"Jan 1, 1986",0.93%
"Dec 1, 1985",1.04%
"Nov 1, 1985",1.12%
"Oct 1, 1985",1.03%
"Sep 1, 1985",1.06%
"Aug 1, 1985",1.06%
"Jul 1, 1985",1.10%
"Jun 1, 1985",1.11%
"May 1, 1985",1.07%
"Apr 1, 1985",1.19%
"Mar 1, 1985",1.17%
"Feb 1, 1985",1.17%
"Jan 1, 1985",1.15%
"Dec 1, 1984",1.22%
"Nov 1, 1984",1.25%
"Oct 1, 1984",1.25%
"Sep 1, 1984",1.27%
"Aug 1, 1984",1.33%
"Jul 1, 1984",1.40%
"Jun 1, 1984",1.38%
"May 1, 1984",1.49%
"Apr 1, 1984",1.56%
"Mar 1, 1984",1.58%
"Feb 1, 1984",1.63%
"Jan 1, 1984",1.82%
"Dec 1, 1983",1.83%
"Nov 1, 1983",1.93%
"Oct 1, 1983",2.03%
"Sep 1, 1983",2.17%
"Aug 1, 1983",2.25%
"Jul 1, 1983",2.32%
"Jun 1, 1983",2.58%
"May 1, 1983",2.48%
"Apr 1, 1983",2.45%
"Mar 1, 1983",2.48%
"Feb 1, 1983",2.45%
"Jan 1, 1983",2.41%
"Dec 1, 1982",2.31%
"Nov 1, 1982",2.11%
"Oct 1, 1982",2.03%
"Sep 1, 1982",1.82%
"Aug 1, 1982",1.69%
"Jul 1, 1982",1.65%
"Jun 1, 1982",1.62%
"May 1, 1982",1.46%
"Apr 1, 1982",1.37%
"Mar 1, 1982",1.24%
"Feb 1, 1982",1.17%
"Jan 1, 1982",1.09%
"Dec 1, 1981",1.08%
"Nov 1, 1981",1.05%
"Oct 1, 1981",1.04%
"Sep 1, 1981",1.03%
"Aug 1, 1981",1.07%
"Jul 1, 1981",1.00%
"Jun 1, 1981",1.04%
"May 1, 1981",1.05%
"Apr 1, 1981",1.04%
"Mar 1, 1981",1.12%
"Feb 1, 1981",1.15%
"Jan 1, 1981",1.17%
"Dec 1, 1980",1.07%
"Nov 1, 1980",1.05%
"Oct 1, 1980",0.99%
"Sep 1, 1980",0.90%
"Aug 1, 1980",0.87%
"Jul 1, 1980",0.82%
"Jun 1, 1980",0.72%
"May 1, 1980",0.67%
"Apr 1, 1980",0.65%
"Mar 1, 1980",0.58%
"Feb 1, 1980",0.48%
"Jan 1, 1980",0.51%
"Dec 1, 1979",0.51%
"Nov 1, 1979",0.52%
"Oct 1, 1979",0.50%
"Sep 1, 1979",0.50%
"Aug 1, 1979",0.51%
"Jul 1, 1979",0.45%
"Jun 1, 1979",0.50%
"May 1, 1979",0.50%
"Apr 1, 1979",0.53%
"Mar 1, 1979",0.57%
"Feb 1, 1979",0.53%
"Jan 1, 1979",0.51%
"Dec 1, 1978",0.49%
"Nov 1, 1978",0.51%
"Oct 1, 1978",0.58%
"Sep 1, 1978",0.61%
"Aug 1, 1978",0.60%
"Jul 1, 1978",0.64%
"Jun 1, 1978",0.63%
"May 1, 1978",0.68%
"Apr 1, 1978",0.67%
"Mar 1, 1978",0.71%
"Feb 1, 1978",0.66%
"Jan 1, 1978",0.81%
"Dec 1, 1977",0.85%
"Nov 1, 1977",0.89%
"Oct 1, 1977",0.91%
"Sep 1, 1977",0.94%
"Aug 1, 1977",0.90%
"Jul 1, 1977",0.98%
"Jun 1, 1977",1.04%
"May 1, 1977",1.08%
"Apr 1, 1977",1.14%
"Mar 1, 1977",1.19%
"Feb 1, 1977",1.23%
"Jan 1, 1977",1.25%
"Dec 1, 1976",1.37%
"Nov 1, 1976",1.31%
"Oct 1, 1976",1.27%
"Sep 1, 1976",1.25%
"Aug 1, 1976",1.32%
"Jul 1, 1976",1.29%
"Jun 1, 1976",1.41%
"May 1, 1976",1.27%
"Apr 1, 1976",1.47%
"Mar 1, 1976",1.53%
"Feb 1, 1976",1.61%
"Jan 1, 1976",1.67%
"Dec 1, 1975",1.68%
"Nov 1, 1975",1.75%
"Oct 1, 1975",1.54%
"Sep 1, 1975",1.70%
"Aug 1, 1975",1.56%
"Jul 1, 1975",1.49%
"Jun 1, 1975",1.39%
"May 1, 1975",1.16%
"Apr 1, 1975",1.03%
"Mar 1, 1975",0.83%
"Feb 1, 1975",0.77%
"Jan 1, 1975",0.67%
"Dec 1, 1974",0.58%
"Nov 1, 1974",0.46%
"Oct 1, 1974",0.43%
"Sep 1, 1974",0.42%
"Aug 1, 1974",0.42%
"Jul 1, 1974",0.42%
"Jun 1, 1974",0.40%
"May 1, 1974",0.39%
"Apr 1, 1974",0.39%
"Mar 1, 1974",0.36%
"Feb 1, 1974",0.37%
"Jan 1, 1974",0.36%
"Dec 1, 1973",0.36%
"Nov 1, 1973",0.39%
"Oct 1, 1973",0.37%
"Sep 1, 1973",0.33%
"Aug 1, 1973",0.37%
"Jul 1, 1973",0.31%
"Jun 1, 1973",0.36%
"May 1, 1973",0.39%
"Apr 1, 1973",0.38%
"Mar 1, 1973",0.44%
"Feb 1, 1973",0.42%
"Jan 1, 1973",0.47%
"Dec 1, 1972",0.52%
"Nov 1, 1972",0.54%
"Oct 1, 1972",0.60%
"Sep 1, 1972",0.63%
"Aug 1, 1972",0.61%
"Jul 1, 1972",0.60%
"Jun 1, 1972",0.63%
"May 1, 1972",0.67%
"Apr 1, 1972",0.78%
"Mar 1, 1972",0.73%
"Feb 1, 1972",0.76%
"Jan 1, 1972",0.69%
"Dec 1, 1971",0.68%
"Nov 1, 1971",0.68%
"Oct 1, 1971",0.70%
"Sep 1, 1971",0.66%
"Aug 1, 1971",0.65%
"Jul 1, 1971",0.67%
"Jun 1, 1971",0.65%
"May 1, 1971",0.60%
"Apr 1, 1971",0.54%
"Mar 1, 1971",0.54%
"Feb 1, 1971",0.54%
"Jan 1, 1971",0.51%
"Dec 1, 1970",0.46%
"Nov 1, 1970",0.40%
"Oct 1, 1970",0.31%
"Sep 1, 1970",0.34%
"Aug 1, 1970",0.30%
"Jul 1, 1970",0.28%
"Jun 1, 1970",0.27%
"May 1, 1970",0.28%
"Apr 1, 1970",0.24%
"Mar 1, 1970",0.22%
"Feb 1, 1970",0.20%
"Jan 1, 1970",0.17%
"Dec 1, 1969",0.16%
"Nov 1, 1969",0.18%
"Oct 1, 1969",0.17%
"Sep 1, 1969",0.18%
"Aug 1, 1969",0.16%
"Jul 1, 1969",0.20%
"Jun 1, 1969",0.15%
"May 1, 1969",0.16%
"Apr 1, 1969",0.17%
"Mar 1, 1969",0.15%
"Feb 1, 1969",0.14%
"Jan 1, 1969",0.16%
"Dec 1, 1968",0.20%
"Nov 1, 1968",0.17%
"Oct 1, 1968",0.17%
"Sep 1, 1968",0.17%
"Aug 1, 1968",0.19%
