Date,Value
"Dec 31, 2017",60.80 million
"Dec 31, 2016",60.25 million
"Dec 31, 2015",60.01 million
"Dec 31, 2014",59.63 million
"Dec 31, 2013",59.20 million
"Dec 31, 2012",58.95 million
"Dec 31, 2011",58.66 million
"Dec 31, 2010",58.41 million
"Dec 31, 2009",59.12 million
"Dec 31, 2008",58.37 million
"Dec 31, 2007",58.94 million
"Dec 31, 2006",58.18 million
"Dec 31, 2005",57.97 million
"Dec 31, 2004",57.72 million
"Dec 31, 2003",57.32 million
"Dec 31, 2002",56.75 million
"Dec 31, 2001",56.59 million
"Dec 31, 2000",55.31 million
"Dec 31, 1999",54.77 million
"Dec 31, 1998",54.32 million
"Dec 31, 1997",53.60 million
"Dec 31, 1996",53.57 million
"Dec 31, 1995",53.86 million
"Dec 31, 1994",53.17 million
"Dec 31, 1993",53.09 million
"Dec 31, 1992",52.46 million
"Dec 31, 1991",52.15 million
"Dec 31, 1990",52.32 million
"Dec 31, 1989",52.10 million
"Dec 31, 1988",51.67 million
"Dec 31, 1987",51.54 million
"Dec 31, 1986",50.93 million
"Dec 31, 1985",50.35 million
"Dec 31, 1984",50.08 million
"Dec 31, 1983",49.91 million
"Dec 31, 1982",49.63 million
"Dec 31, 1981",49.29 million
"Dec 31, 1980",49.11 million
"Dec 31, 1979",47.66 million
"Dec 31, 1978",47.36 million
"Dec 31, 1977",47.47 million
"Dec 31, 1976",47.30 million
"Dec 31, 1975",46.95 million
"Dec 31, 1974",46.79 million
"Dec 31, 1973",46.30 million
"Dec 31, 1972",45.72 million
"Dec 31, 1971",44.93 million
"Dec 31, 1970",44.73 million
"Dec 31, 1969",44.09 million
"Dec 31, 1968",43.51 million
"Dec 31, 1967",42.74 million
"Dec 31, 1966",42.26 million
"Dec 31, 1965",41.69 million
"Dec 31, 1964",41.34 million
"Dec 31, 1963",40.89 million
"Dec 31, 1962",40.40 million
"Dec 31, 1961",39.62 million
"Dec 31, 1960",39.25 million
"Dec 31, 1959",38.41 million
"Dec 31, 1958",37.91 million
"Dec 31, 1957",37.72 million
"Dec 31, 1956",37.05 million
"Dec 31, 1955",36.25 million
"Dec 31, 1954",35.93 million
"Dec 31, 1953",35.58 million
"Dec 31, 1952",35.16 million
"Dec 31, 1951",34.39 million
"Dec 31, 1950",34.08 million
"Dec 31, 1949",33.26 million
"Dec 31, 1948",31.90 million
"Dec 31, 1947",30.61 million
"Dec 31, 1940",26.57 million
