Date,Value
"Dec 31, 2016",4.46%
"Dec 31, 2015",5.33%
"Dec 31, 2014",3.31%
"Dec 31, 2013",1.81%
"Dec 31, 2012",1.92%
"Dec 31, 2011",1.58%
"Dec 31, 2010",-1.01%
"Dec 31, 2009",-1.05%
"Dec 31, 2008",0.14%
"Dec 31, 2007",4.22%
"Dec 31, 2006",4.05%
"Dec 31, 2005",4.49%
"Dec 31, 2004",2.35%
"Dec 31, 2003",2.14%
"Dec 31, 2002",0.43%
"Dec 31, 2001",0.57%
"Dec 31, 2000",3.18%
"Dec 31, 1999",4.66%
"Dec 31, 1998",5.08%
"Dec 31, 1997",4.26%
"Dec 31, 1996",4.16%
"Dec 31, 1995",5.62%
"Dec 31, 1994",3.27%
"Dec 31, 1993",1.97%
"Dec 31, 1992",1.69%
"Dec 31, 1991",0.61%
"Dec 31, 1990",3.59%
"Dec 31, 1989",6.18%
"Dec 31, 1988",4.47%
"Dec 31, 1987",4.68%
"Dec 31, 1986",5.41%
"Dec 31, 1985",5.37%
"Dec 31, 1984",7.32%
"Dec 31, 1983",3.54%
"Dec 31, 1982",5.75%
"Dec 31, 1981",7.70%
"Dec 31, 1980",7.59%
"Dec 31, 1979",9.27%
"Dec 31, 1978",10.99%
"Dec 31, 1977",6.98%
"Dec 31, 1976",7.51%
"Dec 31, 1975",5.39%
"Dec 31, 1974",6.52%
"Dec 31, 1973",8.40%
"Dec 31, 1972",7.41%
"Dec 31, 1971",3.37%
"Dec 31, 1970",4.11%
"Dec 31, 1969",8.34%
"Dec 31, 1968",8.40%
