Date,Value
"Dec 31, 2016","59,039.00"
"Dec 31, 2015","56,515.84"
"Dec 31, 2014","53,657.47"
"Dec 31, 2013","51,939.48"
"Dec 31, 2012","51,016.86"
"Dec 31, 2011","50,053.97"
"Dec 31, 2010","49,275.88"
"Dec 31, 2009","49,776.75"
"Dec 31, 2008","50,303.00"
"Dec 31, 2007","50,233.08"
"Dec 31, 2006","48,200.96"
"Dec 31, 2005","46,326.29"
"Dec 31, 2004","44,333.89"
"Dec 31, 2003","43,317.83"
"Dec 31, 2002","42,409.12"
"Dec 31, 2001","42,228.26"
"Dec 31, 2000","41,990.29"
"Dec 31, 1999","40,696.14"
"Dec 31, 1998","38,885.13"
"Dec 31, 1997","37,005.14"
"Dec 31, 1996","35,492.02"
"Dec 31, 1995","34,076.14"
"Dec 31, 1994","32,263.76"
"Dec 31, 1993","31,240.78"
"Dec 31, 1992","30,635.79"
"Dec 31, 1991","30,125.73"
"Dec 31, 1990","29,943.18"
"Dec 31, 1989","28,906.19"
"Dec 31, 1988","27,224.92"
"Dec 31, 1987","26,061.08"
"Dec 31, 1986","24,896.95"
"Dec 31, 1985","23,618.12"
"Dec 31, 1984","22,414.82"
"Dec 31, 1983","20,885.13"
"Dec 31, 1982","20,171.02"
"Dec 31, 1981","19,073.98"
"Dec 31, 1980","17,710.01"
"Dec 31, 1979","16,461.02"
"Dec 31, 1978","15,063.98"
"Dec 31, 1977","13,571.88"
"Dec 31, 1976","12,685.90"
"Dec 31, 1975","11,800.01"
"Dec 31, 1974","11,196.91"
"Dec 31, 1973","10,511.92"
"Dec 31, 1972","9,696.91"
"Dec 31, 1971","9,027.96"
"Dec 31, 1970","8,733.97"
"Dec 31, 1969","8,389.04"
"Dec 31, 1968","7,743.02"
"Dec 31, 1967","7,142.97"
