Date,Value
"Dec 31, 2016",3.16%
"Dec 31, 2015",5.21%
"Dec 31, 2014",1.64%
"Dec 31, 2013",0.35%
"Dec 31, 2012",-0.13%
"Dec 31, 2011",-1.56%
"Dec 31, 2010",-2.58%
"Dec 31, 2009",-0.70%
"Dec 31, 2008",-3.56%
"Dec 31, 2007",1.34%
"Dec 31, 2006",0.78%
"Dec 31, 2005",1.07%
"Dec 31, 2004",-0.35%
"Dec 31, 2003",-0.13%
"Dec 31, 2002",-1.13%
"Dec 31, 2001",-2.22%
"Dec 31, 2000",-0.21%
"Dec 31, 1999",2.48%
"Dec 31, 1998",3.68%
"Dec 31, 1997",2.06%
"Dec 31, 1996",1.45%
"Dec 31, 1995",3.13%
"Dec 31, 1994",1.16%
"Dec 31, 1993",-0.53%
"Dec 31, 1992",-0.77%
"Dec 31, 1991",-2.92%
"Dec 31, 1990",-1.28%
"Dec 31, 1989",1.73%
"Dec 31, 1988",0.82%
"Dec 31, 1987",1.19%
"Dec 31, 1986",3.60%
"Dec 31, 1985",1.87%
"Dec 31, 1984",3.04%
"Dec 31, 1983",-0.70%
"Dec 31, 1982",-0.27%
"Dec 31, 1981",-1.59%
"Dec 31, 1980",-3.25%
"Dec 31, 1979",-0.19%
"Dec 31, 1978",3.87%
"Dec 31, 1977",0.63%
"Dec 31, 1976",1.66%
"Dec 31, 1975",-2.62%
"Dec 31, 1974",-3.17%
"Dec 31, 1973",2.02%
"Dec 31, 1972",4.28%
"Dec 31, 1971",-0.97%
"Dec 31, 1970",-0.78%
"Dec 31, 1969",3.72%
"Dec 31, 1968",4.31%
