Date,Value
"Dec 31, 2016","59,039.00"
"Dec 31, 2015","57,230.00"
"Dec 31, 2014","54,398.00"
"Dec 31, 2013","53,518.00"
"Dec 31, 2012","53,331.00"
"Dec 31, 2011","53,401.00"
"Dec 31, 2010","54,245.00"
"Dec 31, 2009","55,683.00"
"Dec 31, 2008","56,076.00"
"Dec 31, 2007","58,149.00"
"Dec 31, 2006","57,379.00"
"Dec 31, 2005","56,935.00"
"Dec 31, 2004","56,332.00"
"Dec 31, 2003","56,528.00"
"Dec 31, 2002","56,599.00"
"Dec 31, 2001","57,246.00"
"Dec 31, 2000","58,544.00"
"Dec 31, 1999","58,665.00"
"Dec 31, 1998","57,248.00"
"Dec 31, 1997","55,218.00"
"Dec 31, 1996","54,105.00"
"Dec 31, 1995","53,330.00"
"Dec 31, 1994","51,710.00"
"Dec 31, 1993","51,116.00"
"Dec 31, 1992","51,390.00"
"Dec 31, 1991","51,791.00"
"Dec 31, 1990","53,350.00"
"Dec 31, 1989","54,042.00"
"Dec 31, 1988","53,124.00"
"Dec 31, 1987","52,690.00"
"Dec 31, 1986","52,068.00"
"Dec 31, 1985","50,258.00"
"Dec 31, 1984","49,335.00"
"Dec 31, 1983","47,881.00"
"Dec 31, 1982","48,219.00"
"Dec 31, 1981","48,350.00"
"Dec 31, 1980","49,131.00"
"Dec 31, 1979","50,780.00"
"Dec 31, 1978","50,877.00"
"Dec 31, 1977","48,981.00"
"Dec 31, 1976","48,673.00"
"Dec 31, 1975","47,879.00"
"Dec 31, 1974","49,166.00"
"Dec 31, 1973","50,774.00"
"Dec 31, 1972","49,769.00"
"Dec 31, 1971","47,725.00"
"Dec 31, 1970","48,194.00"
"Dec 31, 1969","48,571.00"
"Dec 31, 1968","46,830.00"
"Dec 31, 1967","44,895.00"
