Date,Value
"Dec 1, 2019",0.61%
"Nov 1, 2019",0.61%
"Oct 1, 2019",0.61%
"Sep 1, 2019",0.61%
"Aug 1, 2019",0.61%
"Jul 1, 2019",0.61%
"Jun 1, 2019",0.61%
"May 1, 2019",0.61%
"Apr 1, 2019",0.61%
"Mar 1, 2019",0.61%
"Feb 1, 2019",0.62%
"Jan 1, 2019",0.62%
"Dec 1, 2018",0.62%
"Nov 1, 2018",0.62%
"Oct 1, 2018",0.62%
"Sep 1, 2018",0.62%
"Aug 1, 2018",0.62%
"Jul 1, 2018",0.62%
"Jun 1, 2018",0.62%
"May 1, 2018",0.62%
"Apr 1, 2018",0.62%
"Mar 1, 2018",0.62%
"Feb 1, 2018",0.62%
"Jan 1, 2018",0.62%
"Dec 1, 2017",0.62%
"Nov 1, 2017",0.63%
"Oct 1, 2017",0.63%
"Sep 1, 2017",0.64%
"Aug 1, 2017",0.64%
"Jul 1, 2017",0.64%
"Jun 1, 2017",0.65%
"May 1, 2017",0.66%
"Apr 1, 2017",0.66%
"Mar 1, 2017",0.68%
"Feb 1, 2017",0.68%
"Jan 1, 2017",0.69%
"Dec 1, 2016",0.69%
"Nov 1, 2016",0.70%
"Oct 1, 2016",0.71%
"Sep 1, 2016",0.71%
"Aug 1, 2016",0.72%
"Jul 1, 2016",0.73%
"Jun 1, 2016",0.73%
"May 1, 2016",0.73%
"Apr 1, 2016",0.73%
"Mar 1, 2016",0.73%
"Feb 1, 2016",0.73%
"Jan 1, 2016",0.72%
"Dec 1, 2015",0.73%
"Nov 1, 2015",0.72%
"Oct 1, 2015",0.73%
"Sep 1, 2015",0.73%
"Aug 1, 2015",0.73%
"Jul 1, 2015",0.74%
"Jun 1, 2015",0.74%
"May 1, 2015",0.74%
"Apr 1, 2015",0.74%
"Mar 1, 2015",0.74%
"Feb 1, 2015",0.74%
"Jan 1, 2015",0.75%
"Dec 1, 2014",0.75%
"Nov 1, 2014",0.75%
"Oct 1, 2014",0.75%
"Sep 1, 2014",0.75%
