Date,Value
"Sep 30, 2019","58,024.99"
"Dec 31, 2018","57,252.39"
"Dec 31, 2017","56,192.49"
"Dec 31, 2016","55,004.99"
"Dec 31, 2015","54,280.36"
"Dec 31, 2014","53,654.59"
"Dec 31, 2013","52,545.25"
"Dec 31, 2012","51,565.08"
"Dec 31, 2011","51,193.47"
"Dec 31, 2010","50,749.31"
"Dec 31, 2009","49,864.85"
"Dec 31, 2008","50,206.55"
"Dec 31, 2007","52,100.04"
"Dec 31, 2006","51,581.77"
"Dec 31, 2005","50,769.93"
"Dec 31, 2004","49,690.96"
"Dec 31, 2003","48,549.55"
"Dec 31, 2002","46,948.69"
"Dec 31, 2001","46,414.16"
"Dec 31, 2000","46,784.54"
"Dec 31, 1999","45,914.91"
"Dec 31, 1998","44,314.30"
"Dec 31, 1997","42,739.43"
"Dec 31, 1996","41,394.99"
"Dec 31, 1995","40,114.34"
"Dec 31, 1994","39,719.95"
"Dec 31, 1993","38,610.79"
"Dec 31, 1992","38,109.05"
"Dec 31, 1991","37,016.14"
"Dec 31, 1990","37,103.24"
"Dec 31, 1989","37,339.87"
"Dec 31, 1988","36,705.32"
"Dec 31, 1987","35,690.18"
"Dec 31, 1986","34,468.56"
"Dec 31, 1985","33,801.11"
"Dec 31, 1984","32,738.56"
"Dec 31, 1983","31,281.67"
"Dec 31, 1982","29,251.66"
"Dec 31, 1981","29,959.39"
"Dec 31, 1980","29,863.02"
"Dec 31, 1979","30,165.61"
"Dec 31, 1978","30,095.60"
"Dec 31, 1977","28,522.73"
"Dec 31, 1976","27,441.89"
"Dec 31, 1975","26,564.30"
"Dec 31, 1974","26,155.26"
"Dec 31, 1973","26,927.51"
"Dec 31, 1972","26,129.54"
"Dec 31, 1971","24,695.09"
"Dec 31, 1970","23,943.55"
"Dec 31, 1969","24,274.47"
"Dec 31, 1968","24,040.42"
"Dec 31, 1967","23,132.37"
"Dec 31, 1966","22,768.51"
"Dec 31, 1965","22,034.02"
"Dec 31, 1964","20,562.00"
"Dec 31, 1963","19,815.63"
"Dec 31, 1962","19,112.84"
"Dec 31, 1961","18,599.89"
"Dec 31, 1960","17,765.11"
"Dec 31, 1959","17,896.96"
"Dec 31, 1958","17,393.09"
"Dec 31, 1957","17,227.75"
"Dec 31, 1956","17,470.21"
"Dec 31, 1955","17,437.39"
"Dec 31, 1954","16,653.43"
"Dec 31, 1953","16,499.53"
"Dec 31, 1952","16,694.70"
"Dec 31, 1951","16,114.25"
"Dec 31, 1950","15,540.82"
"Dec 31, 1949","13,971.29"
"Dec 31, 1948","14,455.30"
"Dec 31, 1947","14,156.51"
"Dec 31, 1946","14,441.95"
"Dec 31, 1945","16,569.34"
"Dec 31, 1944","16,913.70"
"Dec 31, 1943","15,850.96"
"Dec 31, 1942","13,723.54"
"Dec 31, 1941","11,684.24"
"Dec 31, 1940","10,027.46"
"Dec 31, 1939","9,303.07"
"Dec 31, 1938","8,686.95"
"Dec 31, 1937","9,055.14"
"Dec 31, 1936","8,672.27"
"Dec 31, 1935","7,729.76"
"Dec 31, 1934","7,145.40"
"Dec 31, 1933","6,491.14"
"Dec 31, 1932","6,612.17"
"Dec 31, 1931","7,638.29"
"Dec 31, 1930","8,220.90"
"Dec 31, 1929","9,070.19"
