Date,Value
"Dec 31, 2016",3.59%
"Dec 31, 2015",4.78%
"Dec 31, 2014",-1.12%
"Dec 31, 2013",4.16%
"Dec 31, 2013",0.48%
"Dec 31, 2012",0.57%
"Dec 31, 2011",0.55%
"Dec 31, 2010",-1.49%
"Dec 31, 2009",-1.27%
"Dec 31, 2008",-3.12%
"Dec 31, 2007",-1.09%
"Dec 31, 2006",1.95%
"Dec 31, 2005",1.50%
"Dec 31, 2004",-0.20%
"Dec 31, 2003",-0.15%
"Dec 31, 2002",-1.80%
"Dec 31, 2001",-0.57%
"Dec 31, 2000",1.76%
"Dec 31, 1999",3.36%
"Dec 31, 1998",3.17%
"Dec 31, 1997",3.85%
"Dec 31, 1996",2.54%
"Dec 31, 1995",1.61%
"Dec 31, 1994",2.79%
"Dec 31, 1993",3.65%
"Dec 31, 1992",-0.89%
"Dec 31, 1991",-1.97%
"Dec 31, 1990",-2.46%
"Dec 31, 1989",2.62%
"Dec 31, 1988",2.22%
"Dec 31, 1987",2.65%
"Dec 31, 1986",4.14%
"Dec 31, 1985",3.09%
"Dec 31, 1984",4.44%
"Dec 31, 1983",1.39%
"Dec 31, 1982",-0.09%
"Dec 31, 1981",-0.54%
"Dec 31, 1980",-2.30%
"Dec 31, 1979",1.43%
"Dec 31, 1978",4.42%
"Dec 31, 1977",3.23%
"Dec 31, 1976",3.45%
"Dec 31, 1975",0.16%
"Dec 31, 1974",-2.42%
"Dec 31, 1973",3.40%
"Dec 31, 1972",7.09%
"Dec 31, 1971",3.03%
"Dec 31, 1970",0.70%
"Dec 31, 1969",5.41%
"Dec 31, 1968",6.65%
