Date,Value
"Dec 31, 2016","33,205.00"
"Dec 31, 2015","32,053.00"
"Dec 31, 2014","30,592.00"
"Dec 31, 2013","30,940.00"
"Dec 31, 2013","29,705.00"
"Dec 31, 2012","29,564.00"
"Dec 31, 2011","29,396.00"
"Dec 31, 2010","29,236.00"
"Dec 31, 2009","29,678.00"
"Dec 31, 2008","30,059.00"
"Dec 31, 2007","31,028.00"
"Dec 31, 2006","31,370.00"
"Dec 31, 2005","30,769.00"
"Dec 31, 2004","30,313.00"
"Dec 31, 2003","30,374.00"
"Dec 31, 2002","30,421.00"
"Dec 31, 2001","30,978.00"
"Dec 31, 2000","31,155.00"
"Dec 31, 1999","30,617.00"
"Dec 31, 1998","29,621.00"
"Dec 31, 1997","28,711.00"
"Dec 31, 1996","27,647.00"
"Dec 31, 1995","26,961.00"
"Dec 31, 1994","26,533.00"
"Dec 31, 1993","25,814.00"
"Dec 31, 1992","24,905.00"
"Dec 31, 1991","25,129.00"
"Dec 31, 1990","25,633.00"
"Dec 31, 1989","26,279.00"
"Dec 31, 1988","25,607.00"
"Dec 31, 1987","25,052.00"
"Dec 31, 1986","24,406.00"
"Dec 31, 1985","23,435.00"
"Dec 31, 1984","22,732.00"
"Dec 31, 1983","21,766.00"
"Dec 31, 1982","21,467.00"
"Dec 31, 1981","21,486.00"
"Dec 31, 1980","21,603.00"
"Dec 31, 1979","22,112.00"
"Dec 31, 1978","21,801.00"
"Dec 31, 1977","20,878.00"
"Dec 31, 1976","20,224.00"
"Dec 31, 1975","19,549.00"
"Dec 31, 1974","19,518.00"
"Dec 31, 1973","20,002.00"
"Dec 31, 1972","19,344.00"
"Dec 31, 1971","18,063.00"
"Dec 31, 1970","17,531.00"
"Dec 31, 1969","17,410.00"
"Dec 31, 1968","16,517.00"
"Dec 31, 1967","15,487.00"
