Date,Value
"Oct 1, 2019",1.32%
"Sep 1, 2019",2.32%
"Aug 1, 2019",2.56%
"Jul 1, 2019",1.69%
"Jun 1, 2019",1.66%
"May 1, 2019",1.20%
"Apr 1, 2019",1.75%
"Mar 1, 2019",1.93%
"Feb 1, 2019",0.38%
"Jan 1, 2019",1.07%
"Dec 1, 2018",-0.50%
"Nov 1, 2018",1.75%
"Oct 1, 2018",2.27%
"Sep 1, 2018",1.58%
"Aug 1, 2018",3.29%
"Jul 1, 2018",3.46%
"Jun 1, 2018",3.12%
"May 1, 2018",3.56%
"Apr 1, 2018",2.15%
"Mar 1, 2018",2.50%
"Feb 1, 2018",2.51%
"Jan 1, 2018",2.22%
"Dec 1, 2017",3.21%
"Nov 1, 2017",3.74%
"Oct 1, 2017",3.05%
"Sep 1, 2017",2.89%
"Aug 1, 2017",1.65%
"Jul 1, 2017",1.79%
"Jun 1, 2017",1.70%
"May 1, 2017",2.05%
"Apr 1, 2017",2.48%
"Mar 1, 2017",2.17%
"Feb 1, 2017",1.65%
"Jan 1, 2017",3.03%
"Dec 1, 2016",1.61%
"Nov 1, 2016",1.34%
"Oct 1, 2016",1.83%
"Sep 1, 2016",1.43%
"Aug 1, 2016",0.98%
"Jul 1, 2016",1.12%
"Jun 1, 2016",1.72%
"May 1, 2016",0.84%
"Apr 1, 2016",1.25%
"Mar 1, 2016",1.22%
"Feb 1, 2016",2.88%
"Jan 1, 2016",1.40%
"Dec 1, 2015",2.01%
"Nov 1, 2015",1.27%
"Oct 1, 2015",1.54%
"Sep 1, 2015",2.31%
"Aug 1, 2015",2.17%
"Jul 1, 2015",3.00%
"Jun 1, 2015",2.52%
"May 1, 2015",2.74%
"Apr 1, 2015",2.26%
"Mar 1, 2015",3.01%
"Feb 1, 2015",2.54%
"Jan 1, 2015",4.31%
"Dec 1, 2014",3.02%
"Nov 1, 2014",3.53%
"Oct 1, 2014",3.24%
"Sep 1, 2014",3.38%
"Aug 1, 2014",3.52%
"Jul 1, 2014",2.19%
"Jun 1, 2014",2.63%
"May 1, 2014",2.68%
"Apr 1, 2014",3.20%
"Mar 1, 2014",2.02%
"Feb 1, 2014",0.65%
"Jan 1, 2014",-0.03%
"Dec 1, 2013",1.91%
"Nov 1, 2013",1.95%
"Oct 1, 2013",2.29%
"Sep 1, 2013",1.76%
"Aug 1, 2013",2.29%
"Jul 1, 2013",3.27%
"Jun 1, 2013",3.08%
"May 1, 2013",2.32%
"Apr 1, 2013",1.99%
"Mar 1, 2013",1.59%
"Feb 1, 2013",2.22%
"Jan 1, 2013",2.65%
"Dec 1, 2012",2.54%
"Nov 1, 2012",2.28%
"Oct 1, 2012",1.90%
"Sep 1, 2012",2.51%
"Aug 1, 2012",3.00%
"Jul 1, 2012",2.39%
"Jun 1, 2012",1.69%
"May 1, 2012",3.26%
"Apr 1, 2012",2.66%
"Mar 1, 2012",3.42%
"Feb 1, 2012",3.73%
"Jan 1, 2012",3.32%
"Dec 1, 2011",3.06%
"Nov 1, 2011",3.10%
"Oct 1, 2011",3.61%
"Sep 1, 2011",3.89%
"Aug 1, 2011",3.71%
"Jul 1, 2011",4.18%
"Jun 1, 2011",4.49%
"May 1, 2011",3.72%
"Apr 1, 2011",3.31%
"Mar 1, 2011",3.94%
"Feb 1, 2011",5.92%
"Jan 1, 2011",5.67%
"Dec 1, 2010",5.12%
"Nov 1, 2010",5.46%
"Oct 1, 2010",5.17%
"Sep 1, 2010",4.94%
"Aug 1, 2010",1.74%
"Jul 1, 2010",2.86%
"Jun 1, 2010",3.10%
"May 1, 2010",3.81%
"Apr 1, 2010",5.46%
"Mar 1, 2010",5.11%
"Feb 1, 2010",1.17%
"Jan 1, 2010",0.12%
