Date,Value
"Oct 1, 2019",526.26 billion
"Sep 1, 2019",526.08 billion
"Aug 1, 2019",528.20 billion
"Jul 1, 2019",525.22 billion
"Jun 1, 2019",522.22 billion
"May 1, 2019",520.39 billion
"Apr 1, 2019",518.89 billion
"Mar 1, 2019",519.68 billion
"Feb 1, 2019",513.29 billion
"Jan 1, 2019",518.30 billion
"Dec 1, 2018",511.77 billion
"Nov 1, 2018",520.70 billion
"Oct 1, 2018",519.42 billion
"Sep 1, 2018",514.14 billion
"Aug 1, 2018",515.03 billion
"Jul 1, 2018",516.49 billion
"Jun 1, 2018",513.71 billion
"May 1, 2018",514.22 billion
"Apr 1, 2018",509.98 billion
"Mar 1, 2018",509.85 billion
"Feb 1, 2018",511.36 billion
"Jan 1, 2018",512.83 billion
"Dec 1, 2017",514.35 billion
"Nov 1, 2017",511.75 billion
"Oct 1, 2017",507.89 billion
"Sep 1, 2017",506.12 billion
"Aug 1, 2017",498.64 billion
"Jul 1, 2017",499.23 billion
"Jun 1, 2017",498.18 billion
"May 1, 2017",496.54 billion
"Apr 1, 2017",499.26 billion
"Mar 1, 2017",497.42 billion
"Feb 1, 2017",498.84 billion
"Jan 1, 2017",501.70 billion
"Dec 1, 2016",498.34 billion
"Nov 1, 2016",493.30 billion
"Oct 1, 2016",492.87 billion
"Sep 1, 2016",491.90 billion
"Aug 1, 2016",490.54 billion
"Jul 1, 2016",490.45 billion
"Jun 1, 2016",489.86 billion
"May 1, 2016",486.56 billion
"Apr 1, 2016",487.16 billion
"Mar 1, 2016",486.86 billion
"Feb 1, 2016",490.76 billion
"Jan 1, 2016",486.96 billion
"Dec 1, 2015",490.42 billion
"Nov 1, 2015",486.76 billion
"Oct 1, 2015",484.01 billion
"Sep 1, 2015",484.97 billion
"Aug 1, 2015",485.79 billion
"Jul 1, 2015",485.00 billion
"Jun 1, 2015",481.58 billion
"May 1, 2015",482.49 billion
"Apr 1, 2015",481.14 billion
"Mar 1, 2015",481.01 billion
"Feb 1, 2015",477.03 billion
"Jan 1, 2015",480.25 billion
"Dec 1, 2014",480.77 billion
"Nov 1, 2014",480.63 billion
"Oct 1, 2014",476.67 billion
"Sep 1, 2014",474.01 billion
"Aug 1, 2014",475.47 billion
"Jul 1, 2014",470.89 billion
"Jun 1, 2014",469.76 billion
"May 1, 2014",469.62 billion
"Apr 1, 2014",470.53 billion
"Mar 1, 2014",466.95 billion
"Feb 1, 2014",465.21 billion
"Jan 1, 2014",460.39 billion
"Dec 1, 2013",466.70 billion
"Nov 1, 2013",464.23 billion
"Oct 1, 2013",461.71 billion
"Sep 1, 2013",458.51 billion
"Aug 1, 2013",459.28 billion
"Jul 1, 2013",460.79 billion
"Jun 1, 2013",457.70 billion
"May 1, 2013",457.35 billion
"Apr 1, 2013",455.95 billion
"Mar 1, 2013",457.71 billion
"Feb 1, 2013",462.22 billion
"Jan 1, 2013",460.54 billion
"Dec 1, 2012",457.95 billion
"Nov 1, 2012",455.36 billion
"Oct 1, 2012",451.36 billion
"Sep 1, 2012",450.56 billion
"Aug 1, 2012",448.98 billion
"Jul 1, 2012",446.21 billion
"Jun 1, 2012",444.01 billion
"May 1, 2012",446.97 billion
"Apr 1, 2012",447.06 billion
"Mar 1, 2012",450.53 billion
"Feb 1, 2012",452.17 billion
"Jan 1, 2012",448.65 billion
"Dec 1, 2011",446.59 billion
"Nov 1, 2011",445.21 billion
"Oct 1, 2011",442.94 billion
"Sep 1, 2011",439.52 billion
"Aug 1, 2011",435.91 billion
"Jul 1, 2011",435.80 billion
"Jun 1, 2011",436.65 billion
"May 1, 2011",432.86 billion
"Apr 1, 2011",435.46 billion
"Mar 1, 2011",435.62 billion
"Feb 1, 2011",435.89 billion
"Jan 1, 2011",434.24 billion
"Dec 1, 2010",433.32 billion
"Nov 1, 2010",431.82 billion
"Oct 1, 2010",427.51 billion
"Sep 1, 2010",423.07 billion
"Aug 1, 2010",420.31 billion
"Jul 1, 2010",418.33 billion
"Jun 1, 2010",417.88 billion
"May 1, 2010",417.34 billion
"Apr 1, 2010",421.51 billion
"Mar 1, 2010",419.09 billion
"Feb 1, 2010",411.53 billion
"Jan 1, 2010",410.93 billion
"Dec 1, 2009",412.19 billion
"Nov 1, 2009",409.45 billion
"Oct 1, 2009",406.50 billion
"Sep 1, 2009",403.14 billion
"Aug 1, 2009",413.12 billion
"Jul 1, 2009",406.70 billion
"Jun 1, 2009",405.30 billion
"May 1, 2009",402.01 billion
"Apr 1, 2009",399.67 billion
"Mar 1, 2009",398.73 billion
"Feb 1, 2009",406.77 billion
"Jan 1, 2009",410.44 billion
"Dec 1, 2008",406.30 billion
"Nov 1, 2008",410.89 billion
"Oct 1, 2008",419.17 billion
"Sep 1, 2008",431.14 billion
"Aug 1, 2008",437.06 billion
"Jul 1, 2008",438.54 billion
"Jun 1, 2008",442.51 billion
"May 1, 2008",446.47 billion
"Apr 1, 2008",446.08 billion
"Mar 1, 2008",448.99 billion
"Feb 1, 2008",451.78 billion
"Jan 1, 2008",457.24 billion
"Dec 1, 2007",458.36 billion
"Nov 1, 2007",463.64 billion
"Oct 1, 2007",461.99 billion
"Sep 1, 2007",460.00 billion
"Aug 1, 2007",459.40 billion
"Jul 1, 2007",456.40 billion
"Jun 1, 2007",454.48 billion
"May 1, 2007",458.80 billion
"Apr 1, 2007",455.70 billion
"Mar 1, 2007",459.87 billion
"Feb 1, 2007",460.08 billion
"Jan 1, 2007",462.04 billion
"Dec 1, 2006",463.60 billion
"Nov 1, 2006",458.59 billion
"Oct 1, 2006",456.88 billion
"Sep 1, 2006",455.04 billion
"Aug 1, 2006",454.99 billion
"Jul 1, 2006",453.76 billion
"Jun 1, 2006",453.67 billion
"May 1, 2006",453.07 billion
"Apr 1, 2006",456.24 billion
"Mar 1, 2006",457.86 billion
"Feb 1, 2006",459.15 billion
"Jan 1, 2006",463.48 billion
"Dec 1, 2005",454.04 billion
"Nov 1, 2005",452.10 billion
"Oct 1, 2005",444.30 billion
"Sep 1, 2005",445.01 billion
"Aug 1, 2005",449.60 billion
"Jul 1, 2005",456.20 billion
"Jun 1, 2005",454.91 billion
"May 1, 2005",442.60 billion
"Apr 1, 2005",444.87 billion
"Mar 1, 2005",443.87 billion
"Feb 1, 2005",446.60 billion
"Jan 1, 2005",443.33 billion
"Dec 1, 2004",448.56 billion
"Nov 1, 2004",441.48 billion
"Oct 1, 2004",440.23 billion
"Sep 1, 2004",439.61 billion
"Aug 1, 2004",432.95 billion
"Jul 1, 2004",432.59 billion
"Jun 1, 2004",427.04 billion
"May 1, 2004",433.85 billion
"Apr 1, 2004",428.92 billion
"Mar 1, 2004",434.96 billion
"Feb 1, 2004",430.14 billion
"Jan 1, 2004",429.50 billion
"Dec 1, 2003",429.02 billion
"Nov 1, 2003",430.11 billion
"Oct 1, 2003",423.78 billion
"Sep 1, 2003",424.88 billion
"Aug 1, 2003",428.88 billion
"Jul 1, 2003",423.43 billion
"Jun 1, 2003",419.52 billion
"May 1, 2003",415.47 billion
"Apr 1, 2003",413.66 billion
"Mar 1, 2003",413.77 billion
"Feb 1, 2003",409.01 billion
"Jan 1, 2003",417.94 billion
"Dec 1, 2002",417.94 billion
"Nov 1, 2002",413.52 billion
"Oct 1, 2002",410.82 billion
"Sep 1, 2002",409.84 billion
"Aug 1, 2002",416.56 billion
"Jul 1, 2002",414.71 billion
"Jun 1, 2002",410.86 billion
"May 1, 2002",407.63 billion
"Apr 1, 2002",413.18 billion
"Mar 1, 2002",408.92 billion
"Feb 1, 2002",412.36 billion
"Jan 1, 2002",411.75 billion
"Dec 1, 2001",412.97 billion
"Nov 1, 2001",416.28 billion
"Oct 1, 2001",426.33 billion
"Sep 1, 2001",398.27 billion
"Aug 1, 2001",407.78 billion
"Jul 1, 2001",405.02 billion
"Jun 1, 2001",405.18 billion
"May 1, 2001",407.45 billion
"Apr 1, 2001",408.29 billion
"Mar 1, 2001",403.55 billion
"Feb 1, 2001",407.86 billion
"Jan 1, 2001",409.59 billion
"Dec 1, 2000",407.68 billion
"Nov 1, 2000",407.79 billion
"Oct 1, 2000",409.36 billion
"Sep 1, 2000",410.98 billion
"Aug 1, 2000",406.23 billion
"Jul 1, 2000",405.80 billion
"Jun 1, 2000",407.93 billion
"May 1, 2000",407.02 billion
"Apr 1, 2000",406.98 billion
"Mar 1, 2000",413.44 billion
"Feb 1, 2000",412.05 billion
"Jan 1, 2000",408.43 billion
"Dec 1, 1999",412.42 billion
"Nov 1, 1999",404.94 billion
"Oct 1, 1999",400.37 billion
"Sep 1, 1999",400.31 billion
"Aug 1, 1999",400.56 billion
"Jul 1, 1999",397.24 billion
"Jun 1, 1999",395.33 billion
"May 1, 1999",394.22 billion
"Apr 1, 1999",390.73 billion
"Mar 1, 1999",390.75 billion
"Feb 1, 1999",390.14 billion
"Jan 1, 1999",386.47 billion
"Dec 1, 1998",386.88 billion
"Nov 1, 1998",383.13 billion
"Oct 1, 1998",380.40 billion
"Sep 1, 1998",375.04 billion
"Aug 1, 1998",372.08 billion
"Jul 1, 1998",374.17 billion
"Jun 1, 1998",377.09 billion
"May 1, 1998",374.56 billion
"Apr 1, 1998",373.52 billion
"Mar 1, 1998",369.61 billion
"Feb 1, 1998",368.07 billion
"Jan 1, 1998",368.60 billion
"Dec 1, 1997",368.64 billion
"Nov 1, 1997",367.00 billion
"Oct 1, 1997",365.81 billion
"Sep 1, 1997",367.48 billion
"Aug 1, 1997",366.79 billion
