Date,Value
"Oct 1, 2019",3.10%
"Sep 1, 2019",4.07%
"Aug 1, 2019",4.35%
"Jul 1, 2019",3.53%
"Jun 1, 2019",3.33%
"May 1, 2019",3.01%
"Apr 1, 2019",3.78%
"Mar 1, 2019",3.83%
"Feb 1, 2019",1.90%
"Jan 1, 2019",2.63%
"Dec 1, 2018",1.40%
"Nov 1, 2018",3.96%
"Oct 1, 2018",4.85%
"Sep 1, 2018",3.90%
"Aug 1, 2018",6.08%
"Jul 1, 2018",6.51%
"Jun 1, 2018",6.08%
"May 1, 2018",6.46%
"Apr 1, 2018",4.66%
"Mar 1, 2018",4.92%
"Feb 1, 2018",4.78%
"Jan 1, 2018",4.33%
"Dec 1, 2017",5.39%
"Nov 1, 2017",6.03%
"Oct 1, 2017",5.15%
"Sep 1, 2017",5.19%
"Aug 1, 2017",3.62%
"Jul 1, 2017",3.55%
"Jun 1, 2017",3.36%
"May 1, 2017",3.96%
"Apr 1, 2017",4.74%
"Mar 1, 2017",4.60%
"Feb 1, 2017",4.43%
"Jan 1, 2017",5.60%
"Dec 1, 2016",3.72%
"Nov 1, 2016",3.06%
"Oct 1, 2016",3.50%
"Sep 1, 2016",2.91%
"Aug 1, 2016",2.05%
"Jul 1, 2016",1.96%
"Jun 1, 2016",2.74%
"May 1, 2016",1.87%
"Apr 1, 2016",2.39%
"Mar 1, 2016",2.08%
"Feb 1, 2016",3.92%
"Jan 1, 2016",2.79%
"Dec 1, 2015",2.75%
"Nov 1, 2015",1.78%
"Oct 1, 2015",1.71%
"Sep 1, 2015",2.28%
"Aug 1, 2015",2.37%
"Jul 1, 2015",3.17%
"Jun 1, 2015",2.64%
"May 1, 2015",2.70%
"Apr 1, 2015",2.05%
"Mar 1, 2015",2.94%
"Feb 1, 2015",2.52%
"Jan 1, 2015",4.22%
"Dec 1, 2014",3.80%
"Nov 1, 2014",4.90%
"Oct 1, 2014",4.96%
"Sep 1, 2014",5.09%
"Aug 1, 2014",5.28%
"Jul 1, 2014",4.23%
"Jun 1, 2014",4.76%
"May 1, 2014",4.87%
"Apr 1, 2014",5.21%
"Mar 1, 2014",3.56%
"Feb 1, 2014",1.78%
"Jan 1, 2014",1.55%
"Dec 1, 2013",3.44%
"Nov 1, 2013",3.21%
"Oct 1, 2013",3.28%
"Sep 1, 2013",2.97%
"Aug 1, 2013",3.85%
"Jul 1, 2013",5.29%
"Jun 1, 2013",4.89%
"May 1, 2013",3.72%
"Apr 1, 2013",3.07%
"Mar 1, 2013",3.09%
"Feb 1, 2013",4.24%
"Jan 1, 2013",4.29%
"Dec 1, 2012",4.33%
"Nov 1, 2012",4.08%
"Oct 1, 2012",4.10%
"Sep 1, 2012",4.55%
"Aug 1, 2012",4.74%
"Jul 1, 2012",3.83%
"Jun 1, 2012",3.38%
"May 1, 2012",5.02%
"Apr 1, 2012",5.03%
"Mar 1, 2012",6.17%
"Feb 1, 2012",6.71%
"Jan 1, 2012",6.34%
"Dec 1, 2011",6.12%
"Nov 1, 2011",6.60%
"Oct 1, 2011",7.26%
"Sep 1, 2011",7.91%
"Aug 1, 2011",7.62%
"Jul 1, 2011",7.96%
"Jun 1, 2011",8.21%
"May 1, 2011",7.42%
"Apr 1, 2011",6.58%
"Mar 1, 2011",6.73%
"Feb 1, 2011",8.15%
"Jan 1, 2011",7.40%
"Dec 1, 2010",6.70%
"Nov 1, 2010",6.67%
"Oct 1, 2010",6.40%
"Sep 1, 2010",6.14%
"Aug 1, 2010",2.91%
"Jul 1, 2010",4.13%
"Jun 1, 2010",4.19%
"May 1, 2010",5.91%
"Apr 1, 2010",7.82%
"Mar 1, 2010",7.54%
"Feb 1, 2010",3.34%
"Jan 1, 2010",2.75%
"Dec 1, 2009",4.21%
"Nov 1, 2009",1.48%
"Oct 1, 2009",-3.20%
"Sep 1, 2009",-7.70%
"Aug 1, 2009",-6.88%
"Jul 1, 2009",-9.20%
"Jun 1, 2009",-9.71%
"May 1, 2009",-11.11%
"Apr 1, 2009",-11.06%
"Mar 1, 2009",-11.54%
"Feb 1, 2009",-9.75%
"Jan 1, 2009",-10.21%
"Dec 1, 2008",-11.28%
"Nov 1, 2008",-10.43%
"Oct 1, 2008",-5.95%
"Sep 1, 2008",-1.65%
"Aug 1, 2008",0.25%
"Jul 1, 2008",1.47%
"Jun 1, 2008",2.25%
"May 1, 2008",1.38%
"Apr 1, 2008",1.74%
"Mar 1, 2008",1.52%
"Feb 1, 2008",2.15%
"Jan 1, 2008",3.20%
"Dec 1, 2007",2.91%
"Nov 1, 2007",5.45%
"Oct 1, 2007",4.69%
"Sep 1, 2007",3.87%
"Aug 1, 2007",2.96%
"Jul 1, 2007",2.95%
"Jun 1, 2007",2.87%
"May 1, 2007",3.99%
"Apr 1, 2007",2.45%
"Mar 1, 2007",3.23%
"Feb 1, 2007",2.62%
"Jan 1, 2007",1.76%
"Dec 1, 2006",4.70%
"Nov 1, 2006",3.44%
"Oct 1, 2006",4.17%
"Sep 1, 2006",4.36%
"Aug 1, 2006",5.06%
"Jul 1, 2006",3.59%
"Jun 1, 2006",4.04%
"May 1, 2006",6.63%
"Apr 1, 2006",6.19%
"Mar 1, 2006",6.62%
"Feb 1, 2006",6.51%
"Jan 1, 2006",8.71%
"Dec 1, 2005",4.68%
"Nov 1, 2005",5.94%
"Oct 1, 2005",5.31%
"Sep 1, 2005",5.97%
"Aug 1, 2005",7.63%
"Jul 1, 2005",8.80%
"Jun 1, 2005",9.22%
"May 1, 2005",4.88%
"Apr 1, 2005",7.36%
"Mar 1, 2005",5.26%
"Feb 1, 2005",6.95%
"Jan 1, 2005",6.29%
"Dec 1, 2004",7.96%
"Nov 1, 2004",6.26%
"Oct 1, 2004",7.19%
"Sep 1, 2004",6.09%
"Aug 1, 2004",3.63%
"Jul 1, 2004",5.22%
"Jun 1, 2004",5.12%
"May 1, 2004",7.61%
"Apr 1, 2004",6.06%
"Mar 1, 2004",6.95%
"Feb 1, 2004",6.95%
"Jan 1, 2004",4.74%
"Dec 1, 2003",4.58%
"Nov 1, 2003",5.85%
"Oct 1, 2003",5.26%
"Sep 1, 2003",6.08%
"Aug 1, 2003",5.18%
"Jul 1, 2003",4.26%
"Jun 1, 2003",4.26%
"May 1, 2003",4.02%
"Apr 1, 2003",2.34%
"Mar 1, 2003",4.24%
"Feb 1, 2003",2.14%
"Jan 1, 2003",4.14%
"Dec 1, 2002",3.61%
"Nov 1, 2002",1.52%
"Oct 1, 2002",-1.69%
"Sep 1, 2002",4.46%
"Aug 1, 2002",3.99%
"Jul 1, 2002",3.89%
"Jun 1, 2002",2.49%
"May 1, 2002",1.23%
"Apr 1, 2002",2.86%
"Mar 1, 2002",2.83%
"Feb 1, 2002",2.25%
"Jan 1, 2002",1.68%
"Dec 1, 2001",2.87%
"Nov 1, 2001",4.01%
"Oct 1, 2001",6.36%
"Sep 1, 2001",-0.53%
"Aug 1, 2001",3.11%
"Jul 1, 2001",2.52%
"Jun 1, 2001",2.55%
"May 1, 2001",3.72%
"Apr 1, 2001",3.60%
"Mar 1, 2001",0.46%
"Feb 1, 2001",2.48%
"Jan 1, 2001",4.03%
"Dec 1, 2000",2.20%
"Nov 1, 2000",4.18%
"Oct 1, 2000",5.77%
"Sep 1, 2000",6.21%
"Aug 1, 2000",4.88%
"Jul 1, 2000",5.89%
"Jun 1, 2000",7.04%
"May 1, 2000",6.54%
"Apr 1, 2000",7.35%
"Mar 1, 2000",9.78%
"Feb 1, 2000",9.02%
"Jan 1, 2000",8.58%
"Dec 1, 1999",9.46%
"Nov 1, 1999",8.46%
"Oct 1, 1999",7.94%
"Sep 1, 1999",9.54%
"Aug 1, 1999",10.09%
"Jul 1, 1999",8.44%
"Jun 1, 1999",6.90%
"May 1, 1999",7.45%
"Apr 1, 1999",6.99%
"Mar 1, 1999",7.54%
"Feb 1, 1999",7.70%
"Jan 1, 1999",6.60%
"Dec 1, 1998",6.64%
"Nov 1, 1998",6.01%
"Oct 1, 1998",5.53%
"Sep 1, 1998",3.58%
"Aug 1, 1998",3.08%
"Jul 1, 1998",3.81%
"Jun 1, 1998",5.71%
"May 1, 1998",6.35%
"Apr 1, 1998",5.06%
"Mar 1, 1998",3.06%
"Feb 1, 1998",2.78%
"Jan 1, 1998",3.63%
"Dec 1, 1997",4.14%
"Nov 1, 1997",4.29%
"Oct 1, 1997",3.97%
"Sep 1, 1997",5.04%
"Aug 1, 1997",5.99%
"Jul 1, 1997",5.72%
"Jun 1, 1997",4.62%
"May 1, 1997",3.07%
"Apr 1, 1997",4.63%
"Mar 1, 1997",5.74%
"Feb 1, 1997",6.33%
"Jan 1, 1997",7.08%
"Dec 1, 1996",5.51%
"Nov 1, 1996",5.89%
"Oct 1, 1996",7.22%
"Sep 1, 1996",5.92%
"Aug 1, 1996",4.76%
"Jul 1, 1996",5.57%
"Jun 1, 1996",5.14%
"May 1, 1996",6.56%
"Apr 1, 1996",6.79%
"Mar 1, 1996",6.81%
"Feb 1, 1996",6.86%
"Jan 1, 1996",3.54%
"Dec 1, 1995",4.83%
"Nov 1, 1995",4.47%
"Oct 1, 1995",3.31%
"Sep 1, 1995",4.67%
"Aug 1, 1995",5.28%
"Jul 1, 1995",5.77%
"Jun 1, 1995",6.41%
"May 1, 1995",6.31%
"Apr 1, 1995",4.90%
"Mar 1, 1995",4.52%
"Feb 1, 1995",5.49%
"Jan 1, 1995",8.87%
"Dec 1, 1994",7.67%
"Nov 1, 1994",8.11%
"Oct 1, 1994",9.12%
"Sep 1, 1994",8.80%
"Aug 1, 1994",8.55%
"Jul 1, 1994",7.19%
"Jun 1, 1994",8.40%
"May 1, 1994",7.01%
"Apr 1, 1994",8.42%
"Mar 1, 1994",11.19%
"Feb 1, 1994",8.25%
"Jan 1, 1994",5.73%
"Dec 1, 1993",7.68%
"Nov 1, 1993",8.04%
"Oct 1, 1993",7.18%
"Sep 1, 1993",7.30%
"Aug 1, 1993",7.69%
"Jul 1, 1993",8.06%
"Jun 1, 1993",7.27%
"May 1, 1993",7.74%
"Apr 1, 1993",7.31%
"Mar 1, 1993",5.24%
"Feb 1, 1993",5.80%
"Jan 1, 1993",6.71%
