Date,Value
"Oct 1, 2019",526.54 billion
"Sep 1, 2019",525.16 billion
"Aug 1, 2019",526.86 billion
"Jul 1, 2019",523.92 billion
"Jun 1, 2019",520.05 billion
"May 1, 2019",518.13 billion
"Apr 1, 2019",515.54 billion
"Mar 1, 2019",513.61 billion
"Feb 1, 2019",504.44 billion
"Jan 1, 2019",507.22 billion
"Dec 1, 2018",499.88 billion
"Nov 1, 2018",510.23 billion
"Oct 1, 2018",510.68 billion
"Sep 1, 2018",504.60 billion
"Aug 1, 2018",504.90 billion
"Jul 1, 2018",506.05 billion
"Jun 1, 2018",503.28 billion
"May 1, 2018",502.99 billion
"Apr 1, 2018",496.77 billion
"Mar 1, 2018",494.68 billion
"Feb 1, 2018",495.03 billion
"Jan 1, 2018",494.21 billion
"Dec 1, 2017",492.98 billion
"Nov 1, 2017",490.78 billion
"Oct 1, 2017",487.07 billion
"Sep 1, 2017",485.68 billion
"Aug 1, 2017",475.98 billion
"Jul 1, 2017",475.12 billion
"Jun 1, 2017",474.45 billion
"May 1, 2017",472.45 billion
"Apr 1, 2017",474.64 billion
"Mar 1, 2017",471.49 billion
"Feb 1, 2017",472.46 billion
"Jan 1, 2017",473.68 billion
"Dec 1, 2016",467.77 billion
"Nov 1, 2016",462.89 billion
"Oct 1, 2016",463.21 billion
"Sep 1, 2016",461.72 billion
"Aug 1, 2016",459.34 billion
"Jul 1, 2016",458.83 billion
"Jun 1, 2016",459.03 billion
"May 1, 2016",454.44 billion
"Apr 1, 2016",453.17 billion
"Mar 1, 2016",450.75 billion
"Feb 1, 2016",452.41 billion
"Jan 1, 2016",448.55 billion
"Dec 1, 2015",450.99 billion
"Nov 1, 2015",449.15 billion
"Oct 1, 2015",447.56 billion
"Sep 1, 2015",448.65 billion
"Aug 1, 2015",450.11 billion
"Jul 1, 2015",450.02 billion
"Jun 1, 2015",446.81 billion
"May 1, 2015",446.09 billion
"Apr 1, 2015",442.59 billion
"Mar 1, 2015",441.57 billion
"Feb 1, 2015",435.33 billion
"Jan 1, 2015",436.37 billion
"Dec 1, 2014",438.91 billion
"Nov 1, 2014",441.28 billion
"Oct 1, 2014",440.02 billion
"Sep 1, 2014",438.67 billion
"Aug 1, 2014",439.69 billion
"Jul 1, 2014",436.18 billion
"Jun 1, 2014",435.31 billion
"May 1, 2014",434.37 billion
"Apr 1, 2014",433.69 billion
"Mar 1, 2014",428.98 billion
"Feb 1, 2014",424.64 billion
"Jan 1, 2014",418.70 billion
"Dec 1, 2013",422.86 billion
"Nov 1, 2013",420.66 billion
"Oct 1, 2013",419.23 billion
"Sep 1, 2013",417.40 billion
"Aug 1, 2013",417.62 billion
"Jul 1, 2013",418.49 billion
"Jun 1, 2013",415.52 billion
"May 1, 2013",414.21 billion
"Apr 1, 2013",412.21 billion
"Mar 1, 2013",414.23 billion
"Feb 1, 2013",417.22 billion
"Jan 1, 2013",412.32 billion
