Date,Value
"Dec 31, 2014",36.14 million kt
"Dec 31, 2013",35.84 million kt
"Dec 31, 2012",35.47 million kt
"Dec 31, 2011",34.85 million kt
"Dec 31, 2010",33.47 million kt
"Dec 31, 2009",31.89 million kt
"Dec 31, 2008",32.18 million kt
"Dec 31, 2007",31.18 million kt
"Dec 31, 2006",30.57 million kt
"Dec 31, 2005",29.49 million kt
"Dec 31, 2004",28.39 million kt
"Dec 31, 2003",27.05 million kt
"Dec 31, 2002",25.65 million kt
"Dec 31, 2001",25.28 million kt
"Dec 31, 2000",24.69 million kt
"Dec 31, 1999",24.06 million kt
"Dec 31, 1998",24.11 million kt
"Dec 31, 1997",23.98 million kt
"Dec 31, 1996",23.57 million kt
"Dec 31, 1995",23.04 million kt
"Dec 31, 1994",22.55 million kt
"Dec 31, 1993",22.16 million kt
"Dec 31, 1992",22.18 million kt
"Dec 31, 1991",22.40 million kt
"Dec 31, 1990",22.15 million kt
"Dec 31, 1989",22.03 million kt
"Dec 31, 1988",21.57 million kt
"Dec 31, 1987",20.82 million kt
"Dec 31, 1986",20.32 million kt
"Dec 31, 1985",19.72 million kt
"Dec 31, 1984",19.15 million kt
"Dec 31, 1983",18.48 million kt
"Dec 31, 1982",18.56 million kt
"Dec 31, 1981",18.73 million kt
"Dec 31, 1980",19.32 million kt
"Dec 31, 1979",19.53 million kt
"Dec 31, 1978",18.50 million kt
"Dec 31, 1977",18.28 million kt
"Dec 31, 1976",17.73 million kt
"Dec 31, 1975",16.75 million kt
"Dec 31, 1974",16.85 million kt
"Dec 31, 1973",16.82 million kt
"Dec 31, 1972",15.96 million kt
"Dec 31, 1971",15.32 million kt
"Dec 31, 1970",14.79 million kt
"Dec 31, 1969",13.80 million kt
"Dec 31, 1968",13.02 million kt
"Dec 31, 1967",12.39 million kt
"Dec 31, 1966",12.01 million kt
"Dec 31, 1965",11.43 million kt
"Dec 31, 1964",10.95 million kt
"Dec 31, 1963",10.36 million kt
"Dec 31, 1962",9.82 million kt
"Dec 31, 1961",9.43 million kt
"Dec 31, 1960",9.40 million kt
