Date,Value
"Dec 31, 2016",2.49%
"Dec 31, 2015",2.83%
"Dec 31, 2014",2.86%
"Dec 31, 2013",2.63%
"Dec 31, 2012",2.45%
"Dec 31, 2011",3.18%
"Dec 31, 2010",4.32%
"Dec 31, 2009",-1.74%
"Dec 31, 2008",1.82%
"Dec 31, 2007",4.25%
"Dec 31, 2006",4.32%
"Dec 31, 2005",3.84%
"Dec 31, 2004",4.46%
"Dec 31, 2003",2.91%
"Dec 31, 2002",2.15%
"Dec 31, 2001",1.92%
"Dec 31, 2000",4.40%
"Dec 31, 1999",3.26%
"Dec 31, 1998",2.52%
"Dec 31, 1997",3.71%
"Dec 31, 1996",3.38%
"Dec 31, 1995",3.05%
"Dec 31, 1994",3.01%
"Dec 31, 1993",1.63%
"Dec 31, 1992",1.79%
"Dec 31, 1991",1.43%
"Dec 31, 1990",3.00%
"Dec 31, 1989",3.75%
"Dec 31, 1988",4.65%
"Dec 31, 1987",3.58%
"Dec 31, 1986",3.31%
"Dec 31, 1985",3.87%
"Dec 31, 1984",4.53%
"Dec 31, 1983",2.40%
"Dec 31, 1982",0.36%
"Dec 31, 1981",1.93%
"Dec 31, 1980",1.96%
"Dec 31, 1979",4.15%
"Dec 31, 1978",3.99%
"Dec 31, 1977",4.01%
"Dec 31, 1976",5.37%
"Dec 31, 1975",0.77%
"Dec 31, 1974",1.99%
"Dec 31, 1973",6.54%
"Dec 31, 1972",5.76%
"Dec 31, 1971",4.31%
"Dec 31, 1970",4.68%
"Dec 31, 1969",6.13%
"Dec 31, 1968",6.19%
"Dec 31, 1967",4.42%
"Dec 31, 1966",5.79%
"Dec 31, 1965",5.56%
"Dec 31, 1964",6.66%
"Dec 31, 1963",5.21%
"Dec 31, 1962",5.56%
"Dec 31, 1961",4.33%
