Date,Value
"Dec 31, 2016",1.66%
"Dec 31, 2015",1.53%
"Dec 31, 2014",2.51%
"Dec 31, 2013",2.69%
"Dec 31, 2012",3.78%
"Dec 31, 2011",4.98%
"Dec 31, 2010",3.49%
"Dec 31, 2009",2.92%
"Dec 31, 2008",8.95%
"Dec 31, 2007",5.11%
"Dec 31, 2006",4.46%
"Dec 31, 2005",4.17%
"Dec 31, 2004",3.61%
"Dec 31, 2003",3.30%
"Dec 31, 2002",3.08%
"Dec 31, 2001",3.98%
"Dec 31, 2000",3.56%
"Dec 31, 1999",3.26%
"Dec 31, 1998",5.19%
"Dec 31, 1997",5.61%
"Dec 31, 1996",6.95%
"Dec 31, 1995",9.27%
"Dec 31, 1994",10.30%
"Dec 31, 1993",8.02%
"Dec 31, 1992",7.83%
"Dec 31, 1991",9.32%
"Dec 31, 1990",8.51%
"Dec 31, 1989",7.55%
"Dec 31, 1988",7.41%
"Dec 31, 1987",6.80%
"Dec 31, 1986",6.17%
"Dec 31, 1985",7.30%
"Dec 31, 1984",8.42%
"Dec 31, 1983",9.41%
"Dec 31, 1982",10.53%
"Dec 31, 1981",12.74%
"Dec 31, 1980",13.98%
"Dec 31, 1978",8.86%
"Dec 31, 1977",11.37%
