Date,Value
"Dec 31, 2016",72.04
"Dec 31, 2015",71.86
"Dec 31, 2014",71.69
"Dec 31, 2013",71.46
"Dec 31, 2012",71.22
"Dec 31, 2011",70.97
"Dec 31, 2010",70.68
"Dec 31, 2009",70.41
"Dec 31, 2008",70.08
"Dec 31, 2007",69.79
"Dec 31, 2006",69.47
"Dec 31, 2005",69.14
"Dec 31, 2004",68.86
"Dec 31, 2003",68.52
"Dec 31, 2002",68.25
"Dec 31, 2001",67.98
"Dec 31, 2000",67.68
"Dec 31, 1999",67.41
"Dec 31, 1998",67.17
"Dec 31, 1997",66.91
"Dec 31, 1996",66.61
"Dec 31, 1995",66.32
"Dec 31, 1994",66.13
"Dec 31, 1993",65.92
"Dec 31, 1992",65.79
"Dec 31, 1991",65.62
"Dec 31, 1990",65.44
"Dec 31, 1989",65.24
"Dec 31, 1988",65.02
"Dec 31, 1987",64.82
"Dec 31, 1986",64.56
"Dec 31, 1985",64.27
"Dec 31, 1984",64.02
"Dec 31, 1983",63.76
"Dec 31, 1982",63.52
"Dec 31, 1981",63.20
"Dec 31, 1980",62.87
"Dec 31, 1979",62.59
"Dec 31, 1978",62.23
"Dec 31, 1977",61.88
"Dec 31, 1976",61.46
"Dec 31, 1975",61.05
"Dec 31, 1974",60.60
"Dec 31, 1973",60.11
"Dec 31, 1972",59.67
"Dec 31, 1971",59.18
"Dec 31, 1970",58.65
"Dec 31, 1969",58.06
"Dec 31, 1968",57.45
"Dec 31, 1967",56.84
"Dec 31, 1966",56.13
"Dec 31, 1965",55.38
"Dec 31, 1964",54.72
"Dec 31, 1963",54.04
"Dec 31, 1962",53.50
"Dec 31, 1961",53.08
"Dec 31, 1960",52.57
