Date,Value
"Dec 31, 2016",2.23% GDP
"Dec 31, 2015",2.26% GDP
"Dec 31, 2014",2.25% GDP
"Dec 31, 2013",2.30% GDP
"Dec 31, 2012",2.36% GDP
"Dec 31, 2011",2.40% GDP
"Dec 31, 2010",2.51% GDP
"Dec 31, 2009",2.61% GDP
"Dec 31, 2008",2.38% GDP
"Dec 31, 2007",2.31% GDP
"Dec 31, 2006",2.35% GDP
"Dec 31, 2005",2.38% GDP
"Dec 31, 2004",2.38% GDP
"Dec 31, 2003",2.39% GDP
"Dec 31, 2002",2.33% GDP
"Dec 31, 2001",2.22% GDP
"Dec 31, 2000",2.17% GDP
"Dec 31, 1999",2.19% GDP
"Dec 31, 1998",2.24% GDP
"Dec 31, 1997",2.29% GDP
"Dec 31, 1996",2.30% GDP
"Dec 31, 1995",2.37% GDP
"Dec 31, 1994",2.55% GDP
"Dec 31, 1993",2.73% GDP
"Dec 31, 1992",2.90% GDP
"Dec 31, 1991",2.95% GDP
"Dec 31, 1990",3.20% GDP
"Dec 31, 1989",3.31% GDP
"Dec 31, 1988",3.42% GDP
"Dec 31, 1987",3.67% GDP
"Dec 31, 1986",3.78% GDP
"Dec 31, 1985",4.09% GDP
"Dec 31, 1984",4.03% GDP
"Dec 31, 1983",4.06% GDP
"Dec 31, 1982",4.24% GDP
"Dec 31, 1981",3.73% GDP
"Dec 31, 1980",3.47% GDP
"Dec 31, 1979",3.43% GDP
"Dec 31, 1978",3.50% GDP
"Dec 31, 1977",3.67% GDP
"Dec 31, 1976",3.58% GDP
"Dec 31, 1975",3.72% GDP
"Dec 31, 1974",3.71% GDP
"Dec 31, 1973",3.68% GDP
"Dec 31, 1972",4.07% GDP
"Dec 31, 1971",4.30% GDP
"Dec 31, 1970",4.75% GDP
"Dec 31, 1969",5.29% GDP
"Dec 31, 1968",5.68% GDP
"Dec 31, 1967",5.79% GDP
"Dec 31, 1966",5.36% GDP
"Dec 31, 1965",4.99% GDP
"Dec 31, 1964",5.23% GDP
"Dec 31, 1963",5.66% GDP
"Dec 31, 1962",5.98% GDP
"Dec 31, 1961",5.98% GDP
"Dec 31, 1960",6.01% GDP
