Date,Value
"Dec 31, 2016",1.18%
"Dec 31, 2015",1.18%
"Dec 31, 2014",1.20%
"Dec 31, 2013",1.20%
"Dec 31, 2012",1.21%
"Dec 31, 2011",1.18%
"Dec 31, 2010",1.22%
"Dec 31, 2009",1.23%
"Dec 31, 2008",1.24%
"Dec 31, 2007",1.24%
"Dec 31, 2006",1.25%
"Dec 31, 2005",1.25%
"Dec 31, 2004",1.26%
"Dec 31, 2003",1.26%
"Dec 31, 2002",1.28%
"Dec 31, 2001",1.30%
"Dec 31, 2000",1.32%
"Dec 31, 1999",1.35%
"Dec 31, 1998",1.39%
"Dec 31, 1997",1.43%
"Dec 31, 1996",1.45%
"Dec 31, 1995",1.51%
"Dec 31, 1994",1.51%
"Dec 31, 1993",1.56%
"Dec 31, 1992",1.57%
"Dec 31, 1991",1.65%
"Dec 31, 1990",1.74%
"Dec 31, 1989",1.74%
"Dec 31, 1988",1.77%
"Dec 31, 1987",1.78%
"Dec 31, 1986",1.77%
"Dec 31, 1985",1.75%
"Dec 31, 1984",1.75%
"Dec 31, 1983",1.78%
"Dec 31, 1982",1.80%
"Dec 31, 1981",1.77%
"Dec 31, 1980",1.75%
"Dec 31, 1979",1.77%
"Dec 31, 1978",1.75%
"Dec 31, 1977",1.75%
"Dec 31, 1976",1.79%
"Dec 31, 1975",1.88%
"Dec 31, 1974",1.96%
"Dec 31, 1973",1.98%
"Dec 31, 1972",2.04%
"Dec 31, 1971",2.11%
"Dec 31, 1970",2.09%
"Dec 31, 1969",2.12%
"Dec 31, 1968",2.04%
"Dec 31, 1967",2.06%
"Dec 31, 1966",2.11%
"Dec 31, 1965",2.06%
"Dec 31, 1964",2.06%
"Dec 31, 1963",2.09%
"Dec 31, 1962",1.73%
"Dec 31, 1961",1.36%
